area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	160:DAVID CHIU	161:ALEJANDRO FERNANDEZ
PCT7513	MV	790	208	0	0	0	42	166	2	121	43
PCT7514	ED	863	95	-2	0	0	32	65	1	41	23
PCT7514	MV	863	235	2	0	1	48	184	0	140	44
PCT7515	ED	845	150	0	0	0	36	114	1	88	25
PCT7515	MV	845	289	3	0	0	65	221	1	170	50
PCT7516	ED	886	145	0	0	0	32	113	0	88	25
PCT7516	MV	886	378	0	0	0	76	302	2	253	47
PCT7517	ED	863	228	-1	0	0	62	167	4	132	31
PCT7517	MV	863	251	0	0	0	61	190	3	161	26
PCT7518	ED	939	235	0	0	0	57	178	2	132	44
PCT7518	MV	939	298	0	0	0	80	218	0	188	30
PCT7519	ED	726	179	0	0	0	36	143	2	107	34
PCT7519	MV	726	185	1	0	0	46	138	0	117	21
PCT7521	ED	802	211	0	0	0	50	161	1	129	31
PCT7521	MV	802	215	-1	0	1	64	151	1	125	25
PCT7522	ED	743	175	-1	0	0	44	132	2	105	25
PCT7522	MV	743	240	-2	0	0	58	184	1	164	19
PCT7523	ED	737	208	0	0	0	62	146	3	105	38
PCT7523	MV	737	223	-2	0	0	48	177	1	149	27
PCT7524	ED	646	143	2	0	0	40	101	1	83	17
PCT7524	MV	646	165	1	0	0	30	134	2	105	27
PCT7525	ED	779	145	-3	0	0	46	102	2	76	24
PCT7525	MV	779	214	4	0	0	45	165	2	138	25
PCT7526	ED	947	197	1	0	0	42	154	1	123	30
PCT7526	MV	947	313	2	0	0	71	240	2	208	30
PCT7527	ED	729	162	0	0	0	49	113	0	89	24
PCT7527	MV	729	237	4	0	0	55	178	1	141	36
PCT7529	ED	925	214	-1	0	0	58	157	1	124	32
PCT7529	MV	925	300	2	0	0	78	220	1	182	37
PCT7531	ED	847	179	0	0	0	37	142	0	119	23
PCT7531	MV	847	263	0	0	0	76	187	1	164	22
PCT7532	ED	823	172	1	0	0	51	120	1	95	24
PCT7532	MV	823	226	0	0	0	46	180	2	146	32
PCT7533	ED	951	268	-1	0	0	60	209	2	168	39
PCT7533	MV	951	297	0	0	0	70	227	5	178	44
PCT7534	ED	883	241	0	0	0	57	184	2	144	38
PCT7534	MV	883	240	-1	0	0	61	180	0	142	38
PCT7535	ED	743	201	0	0	0	59	142	1	111	30
PCT7535	MV	743	251	0	0	0	68	183	1	151	31
PCT7536	ED	856	206	-1	0	0	50	157	1	124	32
PCT7536	MV	856	279	0	0	0	72	207	0	177	30
PCT7537	ED	734	187	0	0	0	43	144	3	118	23
PCT7537	MV	734	225	1	0	0	61	163	3	131	29
PCT7538	ED	757	223	0	0	0	65	158	4	128	26
PCT7538	MV	757	256	0	0	0	58	198	2	165	31
PCT7539	ED	884	250	1	0	0	69	180	1	143	36
PCT7539	MV	884	286	-1	0	0	68	219	2	185	32
PCT7541	ED	791	215	1	0	0	60	154	2	116	36
PCT7541	MV	791	245	1	0	0	48	196	2	171	23
