area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	118:GERALD PLUMMER	119:TOM PALZER	120:JOHN THOMPSON PARKER	121:DOUGLAS HOWARD PIERCE	122:HERBERT G. PETERS	123:JAMES P BRADLEY	124:ARUN K. BHUMITRA	125:JERRY JOSEPH LAWS	126:PATRICK LITTLE	127:TIM GILDERSLEEVE	128:MICHAEL FAHMY GIRGIS	129:DON J. GRUNDMANN	130:RASH BIHARI GHOSH	131:LING LING SHI	132:JOHN ''JACK'' CREW	133:ERIN CRUZ	134:DERRICK MICHAEL REID	135:DIANNE FEINSTEIN	136:COLLEEN SHEA FERNALD	137:ADRIENNE NICOLE EDWARDS	138:PAUL A TAYLOR	139:DONNIE O. TURNER	140:PAT HARRIS	141:ALISON HARTSON	142:JASON M. HANANIA	143:DAVID HILDEBRAND	144:LEE OLSON	145:ROQUE ''ROCKY'' DE LA FUENTE	146:KEVIN DE LEON	147:KEVIN MOTTUS	148:DAVID MOORE	149:MARIO NABLIBA	195:SEELAM PRABHAKAR REDDY	196:MICHAEL V. ZIESING	197:URSULA M. SCHILLING
PCT7637	ED	732	89	0	0	2	4	83	0	0	0	1	1	0	3	2	1	1	0	0	1	0	0	0	0	1	49	0	0	1	0	1	1	0	0	1	1	18	0	0	0	0	0	0
PCT7637	MV	732	249	0	0	3	12	234	0	2	0	2	0	0	7	4	0	1	0	0	0	0	0	1	0	1	164	0	0	2	1	2	3	0	0	1	1	40	0	0	2	0	0	0
PCT7638	ED	1365	129	0	0	1	8	120	0	0	2	0	1	0	4	3	0	0	0	0	0	0	0	0	0	3	80	0	0	2	0	1	5	0	1	0	2	16	0	0	0	0	0	0
PCT7638	MV	1365	492	2	0	1	20	469	1	0	0	0	0	1	22	3	1	1	0	0	0	0	1	0	3	13	323	0	1	13	0	1	3	3	0	0	6	69	3	0	1	0	0	0
PCT7639	ED	962	110	1	0	0	10	99	1	2	0	0	0	0	7	0	0	1	0	0	0	0	1	0	0	1	65	0	0	0	1	1	2	1	1	0	0	15	0	0	0	0	0	0
PCT7639	MV	962	319	-2	0	3	12	306	1	0	2	2	0	0	12	2	0	0	0	0	1	0	1	1	2	7	202	0	3	7	0	1	2	4	0	0	0	54	1	0	1	0	0	0
PCT7641	ED	931	114	0	0	0	7	107	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	4	75	0	1	2	0	2	0	0	0	1	0	18	0	0	0	0	0	0
PCT7641	MV	931	374	0	0	2	22	350	0	0	2	3	2	0	10	9	0	2	0	0	0	3	3	1	4	5	219	0	3	4	1	3	3	0	1	2	4	61	2	1	2	0	0	0
PCT7642	ED	909	84	0	0	0	3	81	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	58	0	1	1	1	2	1	0	0	0	0	13	0	0	0	0	0	0
PCT7642	MV	909	268	0	0	2	19	247	1	1	2	0	0	0	1	6	1	0	0	1	0	1	1	1	2	4	177	1	1	7	5	3	5	2	0	0	4	19	0	0	1	0	0	0
