area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	150:NANCY PELOSI	151:STEPHEN JAFFE	152:SHAHID BUTTAR	153:RYAN A. KHOJASTEH	154:MICHAEL GOLDSTEIN	155:LISA REMMER	156:BARRY HERMANSON
PCT7333	ED	974	174	1	0	0	15	158	0	114	11	13	7	2	10	1
PCT7333	MV	974	323	0	0	1	45	277	1	197	9	17	12	2	32	7
PCT7334	ED	854	113	0	0	0	7	106	0	70	10	9	5	1	7	4
PCT7334	MV	854	275	-2	0	0	28	249	2	181	17	18	5	6	18	2
PCT7335	ED	936	144	0	0	0	7	137	0	103	12	9	2	1	7	3
PCT7335	MV	936	354	-2	0	1	29	326	0	228	16	15	5	6	51	5
PCT7336	ED	920	155	2	0	0	10	143	0	103	9	8	7	1	10	5
PCT7336	MV	920	324	0	0	0	20	304	1	198	23	16	10	1	50	5
PCT7337	ED	825	115	0	0	0	14	101	0	69	7	9	2	2	10	2
PCT7337	MV	825	305	0	0	0	25	280	1	188	14	18	10	1	46	2
PCT7338	ED	884	100	1	0	0	15	84	0	60	5	3	8	0	6	2
PCT7338	MV	884	364	-3	0	0	67	300	0	203	15	11	16	1	52	2
PCT7339	ED	618	111	-1	0	1	13	98	0	60	13	6	6	0	10	3
PCT7339	MV	618	181	1	0	1	13	166	0	112	14	8	18	1	10	3
PCT7341	ED	877	124	0	0	0	11	113	0	70	13	9	4	4	6	7
PCT7341	MV	877	246	-2	0	0	17	231	0	152	27	16	8	5	14	9
PCT7342	ED	911	234	3	0	0	15	216	0	142	13	28	8	6	18	1
PCT7342	MV	911	251	0	0	0	11	240	0	168	13	21	8	2	24	4
PCT7343	ED	707	144	0	0	0	6	138	0	94	10	21	3	1	5	4
PCT7343	MV	707	186	3	0	1	11	171	0	120	12	12	9	2	12	4
PCT7344	ED	1039	179	-1	0	0	17	163	0	106	16	14	5	3	16	3
PCT7344	MV	1039	334	-1	0	1	12	322	0	216	23	19	22	7	24	11
PCT7345	ED	1077	183	0	0	0	20	163	0	102	14	26	8	3	8	2
PCT7345	MV	1077	283	2	0	0	16	265	0	185	24	20	10	2	20	4
PCT7346	ED	877	168	1	0	0	11	156	0	100	16	21	7	3	7	2
PCT7346	MV	877	221	-1	0	2	10	210	0	142	14	19	13	1	14	7
PCT7347	ED	968	137	0	0	0	13	124	0	79	13	16	8	1	5	2
PCT7347	MV	968	279	0	0	0	11	268	0	188	14	26	19	1	13	7
PCT7348	ED	832	139	-1	0	0	5	135	1	85	13	16	6	1	11	2
PCT7348	MV	832	202	1	0	0	12	189	1	131	13	16	3	2	18	5
PCT7349	ED	921	147	-1	0	1	11	136	0	89	9	11	6	3	14	4
PCT7349	MV	921	282	0	0	1	25	256	0	176	18	19	8	3	29	3
PCT7501	ED	554	118	-1	0	0	12	107	0	84	6	10	1	2	4	0
PCT7501	MV	554	168	0	0	1	20	147	0	116	4	3	3	1	19	1
PCT7502	ED	741	113	1	0	0	8	104	0	63	16	11	4	0	9	1
PCT7502	MV	741	349	-4	0	0	27	326	0	230	25	14	10	9	35	3
PCT7503	ED	727	132	1	0	0	12	119	1	93	6	6	4	2	7	0
PCT7503	MV	727	226	2	0	3	15	206	1	159	9	8	5	1	22	1
