area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSExh	RSTot	RSWri	178:MICHELLE BRAVO	179:LONDON BREED	180:MARK LENO	181:JANE KIM	182:RICHIE GREENBERG	183:ANGELA ALIOTO	184:AMY FARAH WEISS	185:ELLEN LEE ZHOU	200:ANTOINE R. ROGERS
PCT7024	ED	386	30	0	0	0	0	0	30	0	1	23	2	1	0	0	0	3	0
PCT7024	MV	386	47	0	0	1	0	0	46	0	0	30	3	5	1	1	2	4	0
PCT7025	ED	448	66	1	0	0	0	0	65	0	0	45	7	9	1	3	0	0	0
PCT7025	MV	448	78	1	0	2	0	0	75	0	0	48	7	12	1	5	1	1	0
PCT7026	ED	971	90	0	0	0	0	0	90	0	0	44	11	13	1	7	0	14	0
PCT7026	MV	971	350	-2	0	1	8	0	343	0	1	142	50	50	6	20	3	71	0
PCT7027	ED	845	136	0	0	0	3	0	133	0	0	91	15	17	2	8	0	0	0
PCT7027	MV	845	271	0	0	1	0	0	270	1	1	139	28	43	10	9	2	37	0
PCT7028	ED	835	157	0	0	0	2	0	155	0	0	111	21	18	1	4	0	0	0
PCT7028	MV	835	180	-3	0	3	0	0	180	0	2	96	30	28	0	6	0	18	0
PCT7029	ED	855	115	-1	0	0	0	0	116	1	2	101	3	4	2	2	1	0	0
PCT7029	MV	855	166	-1	0	1	0	0	166	0	1	111	14	22	1	6	0	10	1
PCT7030	ED	729	94	-2	0	0	0	0	96	0	0	43	9	20	1	8	0	15	0
PCT7030	MV	729	277	1	0	0	4	0	272	0	3	74	47	55	3	11	4	75	0
PCT7031	ED	611	50	0	0	0	0	0	50	0	0	31	7	7	0	2	0	3	0
PCT7031	MV	611	224	-2	0	2	1	0	223	0	2	92	44	32	8	8	1	36	0
PCT7032	ED	867	126	0	0	0	2	0	124	0	1	90	12	15	0	4	0	2	0
PCT7032	MV	867	238	1	0	0	1	0	236	0	0	137	37	26	4	10	0	22	0
PCT7033	ED	765	135	0	0	0	1	0	134	1	1	91	10	17	1	9	2	2	0
PCT7033	MV	765	181	-2	0	0	0	0	183	1	1	118	17	22	3	14	0	7	0
