area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSCd1	RSCd2	RSPnd	RSCha
PCT1114	TO	REP	67						
PCT1114	TO	NPP	343						
PCT1114	TO	NPPALL	343						
PCT1114	ED	ALL	222	169	169				
PCT1114	ED	AI	4						
PCT1114	ED	DEM	112						
PCT1114	ED	GRN	1						
PCT1114	ED	LIB	1						
PCT1114	ED	PF	0						
PCT1114	ED	REP	17						
PCT1114	ED	NPP	122						
PCT1114	ED	NPPALL	122						
PCT1114	MV	ALL	769	341	327			0	9
PCT1114	MV	AI	22	7	7			0	0
PCT1114	MV	AINPP	3	2	2			0	0
PCT1114	MV	DEM	429	215	209			0	6
PCT1114	MV	DEMNPP	32	25	25			0	0
PCT1114	MV	GRN	6	4	4			0	0
PCT1114	MV	LIB	4	1	1			0	0
PCT1114	MV	LIBNPP	0	0	0			0	0
PCT1114	MV	PF	2	0	0			0	0
PCT1114	MV	REP	50	17	17			0	0
PCT1114	MV	NPP	221	70	67			0	3
PCT1114	MV	NPPALL	256	97	94			0	3
PCT1115	TO	ALL	936	444	430				
PCT1115	TO	AI	19						
PCT1115	TO	DEM	497						
PCT1115	TO	GRN	1						
PCT1115	TO	LIB	6						
PCT1115	TO	PF	3						
PCT1115	TO	REP	35						
PCT1115	TO	NPP	375						
PCT1115	TO	NPPALL	375						
PCT1115	ED	ALL	193	132	132				
PCT1115	ED	AI	5						
PCT1115	ED	DEM	95						
PCT1115	ED	GRN	0						
PCT1115	ED	LIB	0						
PCT1115	ED	PF	0						
PCT1115	ED	REP	6						
PCT1115	ED	NPP	126						
PCT1115	ED	NPPALL	126						
PCT1115	MV	ALL	743	312	298			0	11
PCT1115	MV	AI	14	3	3			0	0
PCT1115	MV	AINPP	0	0	0			0	0
PCT1115	MV	DEM	402	203	195			0	8
PCT1115	MV	DEMNPP	36	30	30			0	0
PCT1115	MV	GRN	1	0	0			0	0
PCT1115	MV	LIB	6	1	1			0	0
PCT1115	MV	LIBNPP	3	3	2			0	1
PCT1115	MV	PF	3	0	0			0	0
PCT1115	MV	REP	29	13	12			0	1
PCT1115	MV	NPP	249	59	58			0	1
PCT1115	MV	NPPALL	288	92	90			0	2
PCT1116	TO	ALL	931	533	507				
PCT1116	TO	AI	11						
PCT1116	TO	DEM	527						
PCT1116	TO	GRN	4						
PCT1116	TO	LIB	9						
PCT1116	TO	PF	4						
PCT1116	TO	REP	58						
PCT1116	TO	NPP	318						
PCT1116	TO	NPPALL	318						
PCT1116	ED	ALL	216	198	198				
PCT1116	ED	AI	2						
PCT1116	ED	DEM	120						
PCT1116	ED	GRN	0						
PCT1116	ED	LIB	3						
PCT1116	ED	PF	0						
PCT1116	ED	REP	12						
PCT1116	ED	NPP	116						
PCT1116	ED	NPPALL	116						
PCT1116	MV	ALL	715	335	309			0	13
PCT1116	MV	AI	9	2	2			0	0
PCT1116	MV	AINPP	3	2	1			0	1
PCT1116	MV	DEM	407	223	216			0	7
PCT1116	MV	DEMNPP	31	25	25			0	0
PCT1116	MV	GRN	4	1	1			0	0
PCT1116	MV	LIB	6	0	0			0	0
PCT1116	MV	LIBNPP	3	1	1			0	0
PCT1116	MV	PF	4	1	1			0	0
PCT1116	MV	REP	46	26	25			0	1
PCT1116	MV	NPP	202	54	50			0	4
PCT1116	MV	NPPALL	239	82	77			0	5
PCT1117	TO	ALL	846	436	414				
PCT1117	TO	AI	15						
PCT1117	TO	DEM	500						
PCT1117	TO	GRN	3						
PCT1117	TO	LIB	3						
PCT1117	TO	PF	4						
PCT1117	TO	REP	42						
PCT1117	TO	NPP	279						
PCT1117	TO	NPPALL	279						
PCT1117	ED	ALL	181	153	153				
PCT1117	ED	AI	3						
PCT1117	ED	DEM	99						
PCT1117	ED	GRN	0						
PCT1117	ED	LIB	1						
PCT1117	ED	PF	1						
PCT1117	ED	REP	14						
PCT1117	ED	NPP	89						
PCT1117	ED	NPPALL	89						
PCT1117	MV	ALL	665	283	261			0	11
PCT1117	MV	AI	12	5	5			0	0
PCT1117	MV	AINPP	0	0	0			0	0
PCT1117	MV	DEM	401	200	191			0	9
PCT1117	MV	DEMNPP	25	20	20			0	0
PCT1117	MV	GRN	3	0	0			0	0
PCT1117	MV	LIB	2	0	0			0	0
PCT1117	MV	LIBNPP	1	1	1			0	0
PCT1117	MV	PF	3	1	1			0	0
PCT1117	MV	REP	28	13	13			0	0
PCT1117	MV	NPP	190	43	41			0	2
PCT1117	MV	NPPALL	216	64	62			0	2
PCT1118	TO	ALL	1065	552	533				
PCT1118	TO	AI	22						
PCT1118	TO	DEM	598						
PCT1118	TO	GRN	11						
PCT1118	TO	LIB	5						
PCT1118	TO	PF	2						
PCT1118	TO	REP	37						
PCT1118	TO	NPP	390						
PCT1118	TO	NPPALL	390						
PCT1118	ED	ALL	219	166	166				
PCT1118	ED	AI	5						
PCT1118	ED	DEM	127						
PCT1118	ED	GRN	4						
PCT1118	ED	LIB	1						
PCT1118	ED	PF	0						
PCT1118	ED	REP	7						
PCT1118	ED	NPP	124						
PCT1118	ED	NPPALL	124						
PCT1118	MV	ALL	846	386	367			0	12
PCT1118	MV	AI	17	3	3			0	0
