area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	78:SCOTT WIENER	77:ERIN SMITH	79:JACKIE FIELDER
PCT7038	TO	961	413	0	0	51	362	0	196	55	111
PCT7039	MV	636	244	0	0	34	210	0	113	35	62
PCT7039	ED	201	146	0	0	13	133	0	64	22	47
PCT7039	TO	837	390	0	0	47	343	0	177	57	109
PCT7041	MV	70	29	0	0	4	25	0	12	3	10
PCT7041	ED	-4	2	0	0	0	2	0	1	0	1
PCT7041	TO	66	31	0	0	4	27	0	13	3	11
PCT7042	MV	514	224	0	0	21	203	0	113	24	66
PCT7042	ED	146	96	0	0	12	84	0	41	11	32
PCT7042	TO	660	320	0	0	33	287	0	154	35	98
PCT7043	MV	754	295	0	1	22	272	0	156	35	81
PCT7043	ED	224	121	0	0	12	109	0	53	12	44
PCT7043	TO	978	416	0	1	34	381	0	209	47	125
PCT7044	MV	586	150	0	1	5	144	0	72	22	50
PCT7044	ED	266	95	0	0	18	77	1	47	7	22
PCT7044	TO	852	245	0	1	23	221	1	119	29	72
PCT7045	MV	632	268	0	3	33	232	0	127	52	53
PCT7045	ED	154	80	0	0	11	69	0	35	10	24
PCT7045	TO	786	348	0	3	44	301	0	162	62	77
PCT7046	MV	334	134	0	0	11	123	0	70	22	31
PCT7046	ED	96	76	0	0	7	69	0	30	7	32
PCT7046	TO	430	210	0	0	18	192	0	100	29	63
PCT7047	MV	733	315	0	0	30	285	0	174	44	67
PCT7047	ED	150	100	0	0	12	88	0	44	12	32
PCT7047	TO	883	415	0	0	42	373	0	218	56	99
PCT7048	MV	685	267	0	1	29	237	0	151	30	56
PCT7048	ED	196	79	0	0	12	67	0	39	7	21
PCT7048	TO	881	346	0	1	41	304	0	190	37	77
PCT7049	MV	616	248	0	1	36	211	0	114	49	48
PCT7049	ED	210	104	0	0	3	101	0	60	10	31
PCT7049	TO	826	352	0	1	39	312	0	174	59	79
PCT7051	MV	715	311	0	1	40	270	0	150	51	69
PCT7051	ED	165	105	0	0	12	93	0	52	11	30
PCT7051	TO	880	416	0	1	52	363	0	202	62	99
PCT7052	MV	722	298	0	0	34	264	0	139	53	72
PCT7052	ED	184	135	0	0	14	121	0	64	9	48
PCT7052	TO	906	433	0	0	48	385	0	203	62	120
PCT7053	MV	542	227	0	0	31	196	0	113	43	40
PCT7053	ED	43	70	0	0	7	63	0	41	6	16
PCT7053	TO	585	297	0	0	38	259	0	154	49	56
PCT7054	MV	863	310	0	0	25	285	0	175	23	87
PCT7054	ED	273	169	0	1	10	158	0	87	12	59
PCT7054	TO	1136	479	0	1	35	443	0	262	35	146
PCT7055	MV	732	292	0	0	24	268	0	156	37	75
PCT7055	ED	94	150	0	0	23	127	1	82	4	40
PCT7055	TO	826	442	0	0	47	395	1	238	41	115
PCT7056	MV	618	277	0	0	24	253	0	172	14	67
PCT7056	ED	87	178	0	0	16	162	2	107	7	46
PCT7056	TO	705	455	0	0	40	415	2	279	21	113
PCT7101	MV	162	99	0	1	15	83	0	55	1	27
PCT7101	ED	-15	9	0	0	1	8	0	6	0	2
PCT7101	TO	147	108	0	1	16	91	0	61	1	29
PCT7201	MV	788	384	0	0	32	352	0	222	62	68
PCT7201	ED	147	194	0	0	28	166	1	107	18	40
PCT7201	TO	935	578	0	0	60	518	1	329	80	108
PCT7202	MV	708	309	0	0	27	282	0	177	57	48
PCT7202	ED	143	187	0	0	22	165	0	106	23	36
PCT7202	TO	851	496	0	0	49	447	0	283	80	84
PCT7203	MV	693	321	0	0	45	276	0	170	38	68
PCT7203	ED	186	217	0	0	37	180	0	98	16	66
PCT7203	TO	879	538	0	0	82	456	0	268	54	134
PCT7204	MV	773	425	0	1	37	387	0	247	50	90
PCT7204	ED	126	200	0	1	28	171	0	113	19	39
PCT7204	TO	899	625	0	2	65	558	0	360	69	129
PCT7205	MV	724	360	0	0	23	337	0	215	55	67
PCT7205	ED	147	203	0	0	24	179	1	112	17	49
PCT7205	TO	871	563	0	0	47	516	1	327	72	116
PCT7206	MV	299	129	0	0	13	116	0	67	14	35
PCT7206	ED	78	128	0	0	15	113	0	66	7	40
PCT7206	TO	377	257	0	0	28	229	0	133	21	75
PCT7207	MV	744	333	0	0	38	295	0	171	43	81
PCT7207	ED	123	177	0	0	17	160	0	93	19	48
PCT7207	TO	867	510	0	0	55	455	0	264	62	129
PCT7208	MV	492	254	0	0	22	232	0	134	36	62
PCT7208	ED	78	110	0	1	16	93	0	62	7	24
PCT7208	TO	570	364	0	1	38	325	0	196	43	86
PCT7209	MV	595	343	0	0	28	315	0	225	43	47
PCT7209	ED	52	82	0	0	12	70	0	45	8	17
PCT7209	TO	647	425	0	0	40	385	0	270	51	64
PCT7301	MV	813	319	0	1	25	293	0	182	42	69
PCT7301	ED	201	153	0	0	22	131	0	66	15	50
PCT7301	TO	1014	472	0	1	47	424	0	248	57	119
PCT7302	MV	713	352	0	1	33	318	0	206	51	61
PCT7302	ED	136	153	0	0	21	132	0	86	21	25
PCT7302	TO	849	505	0	1	54	450	0	292	72	86
PCT7303	MV	869	376	0	0	40	336	0	229	37	70
PCT7303	ED	199	254	0	0	46	208	1	135	17	55
PCT7303	TO	1068	630	0	0	86	544	1	364	54	125
PCT7304	MV	802	367	0	0	35	332	0	207	52	73
PCT7304	ED	199	239	0	0	23	216	0	127	15	74
PCT7304	TO	1001	606	0	0	58	548	0	334	67	147
PCT7305	MV	714	390	0	0	35	355	0	194	69	92
PCT7305	ED	153	206	0	0	18	188	0	112	26	50
PCT7305	TO	867	596	0	0	53	543	0	306	95	142
PCT7306	MV	801	375	0	0	51	324	0	185	48	91
PCT7306	ED	243	222	0	0	31	191	0	126	16	49
PCT7306	TO	1044	597	0	0	82	515	0	311	64	140
PCT7307	MV	605	275	0	0	21	254	0	153	30	71
PCT7307	ED	169	154	0	0	21	133	1	78	8	46
PCT7307	TO	774	429	0	0	42	387	1	231	38	117
PCT7308	MV	520	257	0	0	25	232	0	148	27	57
PCT7308	ED	105	174	0	0	17	157	0	84	21	52
PCT7308	TO	625	431	0	0	42	389	0	232	48	109
PCT7309	MV	691	324	0	0	30	294	0	177	43	74
PCT7309	ED	167	213	0	0	26	187	0	109	17	61
PCT7309	TO	858	537	0	0	56	481	0	286	60	135
PCT7311	MV	698	336	0	0	33	303	0	206	35	62
PCT7311	ED	208	250	0	0	22	228	0	144	15	69
PCT7311	TO	906	586	0	0	55	531	0	350	50	131
PCT7312	MV	700	397	0	0	41	356	0	238	51	67
PCT7312	ED	110	176	0	0	26	150	0	99	14	37
PCT7312	TO	810	573	0	0	67	506	0	337	65	104
PCT7313	MV	819	375	0	2	51	322	0	185	39	98
PCT7313	ED	184	181	0	0	31	150	1	84	13	52
PCT7313	TO	1003	556	0	2	82	472	1	269	52	150
PCT7314	MV	612	226	0	0	23	203	0	129	32	42
PCT7314	ED	147	89	0	0	15	74	0	44	6	24
PCT7314	TO	759	315	0	0	38	277	0	173	38	66
PCT7315	MV	570	207	0	0	14	193	0	108	22	63
PCT7315	ED	195	179	0	0	26	153	0	77	14	62
PCT7315	TO	765	386	0	0	40	346	0	185	36	125
PCT7316	MV	654	261	0	1	28	232	0	139	23	70
PCT7316	ED	178	161	0	0	17	144	0	66	8	70
PCT7316	TO	832	422	0	1	45	376	0	205	31	140
PCT7317	MV	744	350	0	0	31	319	0	197	49	73
PCT7317	ED	146	162	0	0	23	139	0	88	14	37
PCT7317	TO	890	512	0	0	54	458	0	285	63	110
PCT7318	MV	605	294	0	2	41	251	0	174	28	49
PCT7318	ED	118	150	0	0	25	125	0	72	21	32
