area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	33:ROBERT ARDINI	34:JOE WALSH	35:BILL WELD	36:ROQUE "ROCKY" DE LA FUENTE	37:MATTHEW JOHN MATERN	38:ZOLTAN G. ISTVAN	39:DONALD J. TRUMP	185:DENIS C. GRASSKA	186:ROBERT LEE MANNING JR.
PCT7024	MV	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7024	ED	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7024	TO	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7025	MV	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7025	ED	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7025	TO	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7026	MV	815	8	0	0	0	8	0	0	1	0	0	0	0	7	0	0
PCT7026	ED	195	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0
PCT7026	TO	1010	10	0	0	0	10	0	0	1	1	0	0	0	8	0	0
PCT7027	MV	675	7	0	0	0	7	0	1	1	0	0	0	0	5	0	0
PCT7027	ED	221	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7027	TO	896	8	0	0	0	8	0	1	1	0	0	0	0	6	0	0
PCT7028	MV	584	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7028	ED	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7028	TO	856	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7029	MV	641	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT7029	ED	268	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
PCT7029	TO	909	4	0	0	0	4	0	0	0	0	0	1	0	3	0	0
PCT7030	MV	654	12	0	0	0	12	0	0	0	0	0	0	0	12	0	0
PCT7030	ED	141	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7030	TO	795	14	0	0	0	14	0	0	0	0	0	0	0	14	0	0
PCT7031	MV	619	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0
PCT7031	ED	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7031	TO	694	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0
PCT7032	MV	639	6	0	0	0	6	0	0	0	0	0	0	0	6	0	0
PCT7032	ED	242	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7032	TO	881	7	0	0	0	7	0	0	0	0	0	0	0	7	0	0
PCT7033	MV	546	5	0	0	1	4	0	0	0	0	0	0	0	4	0	0
PCT7033	ED	232	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0
PCT7033	TO	778	10	0	0	1	9	0	0	0	0	0	0	0	9	0	0
PCT7034	MV	618	4	0	0	0	4	0	0	0	1	0	0	0	3	0	0
PCT7034	ED	320	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0
PCT7034	TO	938	6	0	0	0	6	0	0	0	2	0	0	0	4	0	0
PCT7035	MV	567	5	0	0	1	4	0	0	0	2	0	0	0	2	0	0
PCT7035	ED	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7035	TO	719	5	0	0	1	4	0	0	0	2	0	0	0	2	0	0
PCT7036	MV	780	12	0	0	0	12	0	0	0	0	0	0	0	12	0	0
PCT7036	ED	194	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7036	TO	974	14	0	0	0	14	0	0	0	0	0	0	0	14	0	0
PCT7037	MV	431	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7037	ED	315	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0
PCT7037	TO	746	3	0	0	0	3	1	0	0	0	0	0	0	2	0	0
PCT7038	MV	757	12	0	0	1	11	0	0	0	1	0	0	0	10	0	0
PCT7038	ED	204	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7038	TO	961	13	0	0	1	12	0	0	0	1	0	0	0	11	0	0
PCT7039	MV	636	10	0	0	0	10	0	0	0	1	0	0	0	9	0	0
PCT7039	ED	201	9	0	0	0	9	0	0	0	0	0	0	0	9	0	0
PCT7039	TO	837	19	0	0	0	19	0	0	0	1	0	0	0	18	0	0
PCT7041	MV	70	4	0	0	0	4	0	0	0	1	0	0	0	3	0	0
PCT7041	ED	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7041	TO	66	4	0	0	0	4	0	0	0	1	0	0	0	3	0	0
PCT7042	MV	514	5	0	0	0	5	0	0	1	0	0	0	0	4	0	0
PCT7042	ED	146	8	0	0	0	8	0	0	0	1	0	0	0	7	0	0
PCT7042	TO	660	13	0	0	0	13	0	0	1	1	0	0	0	11	0	0
PCT7043	MV	753	7	0	0	0	7	0	0	0	0	0	0	0	7	0	0
PCT7043	ED	225	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7043	TO	978	8	0	0	0	8	0	0	0	0	0	0	0	8	0	0
PCT7044	MV	584	8	0	0	2	6	0	0	0	0	0	0	0	6	0	0
PCT7044	ED	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7044	TO	852	8	0	0	2	6	0	0	0	0	0	0	0	6	0	0
PCT7045	MV	632	6	0	0	0	6	0	0	1	0	0	0	0	5	0	0
PCT7045	ED	154	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7045	TO	786	8	0	0	0	8	0	0	1	0	0	0	0	7	0	0
PCT7046	MV	334	8	0	0	0	8	0	1	0	1	0	0	0	6	0	0
PCT7046	ED	96	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7046	TO	430	9	0	0	0	9	0	1	0	1	0	0	0	7	0	0
PCT7047	MV	730	10	0	0	1	9	0	0	0	0	0	0	1	8	0	0
PCT7047	ED	153	3	0	0	0	3	0	0	0	1	0	0	0	2	0	0
PCT7047	TO	883	13	0	0	1	12	0	0	0	1	0	0	1	10	0	0
PCT7048	MV	684	9	0	0	1	8	0	0	0	1	1	0	0	6	0	0
PCT7048	ED	197	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0
PCT7048	TO	881	11	0	0	1	10	0	0	0	1	2	0	0	7	0	0
PCT7049	MV	615	7	0	0	2	5	0	2	0	1	0	0	0	2	0	0
PCT7049	ED	211	6	0	0	1	5	0	0	0	0	1	0	0	4	0	0
PCT7049	TO	826	13	0	0	3	10	0	2	0	1	1	0	0	6	0	0
PCT7051	MV	715	15	0	0	0	15	0	0	1	0	0	0	0	14	0	0
PCT7051	ED	165	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT7051	TO	880	17	0	0	0	17	0	0	1	0	0	0	0	16	0	0
PCT7052	MV	720	12	0	0	0	12	0	0	0	0	0	0	0	12	0	0
PCT7052	ED	186	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT7052	TO	906	15	0	0	0	15	0	0	0	0	0	0	0	15	0	0
PCT7053	MV	542	11	0	0	1	10	0	0	1	0	0	0	0	9	0	0
PCT7053	ED	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7053	TO	585	11	0	0	1	10	0	0	1	0	0	0	0	9	0	0
PCT7054	MV	860	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT7054	ED	276	4	0	0	0	4	0	0	0	0	1	0	0	3	0	0
PCT7054	TO	1136	7	0	0	0	7	0	0	0	0	1	0	0	6	0	0
PCT7055	MV	728	9	0	0	1	8	0	0	0	1	0	0	0	7	0	0
PCT7055	ED	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7055	TO	826	9	0	0	1	8	0	0	0	1	0	0	0	7	0	0
PCT7056	MV	617	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT7056	ED	88	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
PCT7056	TO	705	4	0	0	0	4	0	0	0	0	0	0	0	4	0	0
PCT7101	MV	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7101	ED	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7101	TO	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7201	MV	787	25	0	0	2	23	0	0	0	0	1	0	0	22	0	0
PCT7201	ED	148	9	0	0	1	8	0	1	1	2	1	0	0	3	0	0
PCT7201	TO	935	34	0	0	3	31	0	1	1	2	2	0	0	25	0	0
PCT7202	MV	706	30	0	0	3	27	0	0	1	3	0	0	0	23	0	0
PCT7202	ED	145	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PCT7202	TO	851	31	0	0	3	28	1	0	1	3	0	0	0	23	0	0
PCT7203	MV	693	7	0	0	1	6	0	0	0	1	0	0	0	5	0	0
PCT7203	ED	186	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PCT7203	TO	879	8	0	0	1	7	0	0	0	2	0	0	0	5	0	0
PCT7204	MV	771	16	0	0	1	15	0	0	0	2	1	0	0	12	0	0
PCT7204	ED	128	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0
PCT7204	TO	899	21	0	0	1	20	0	0	0	2	1	0	0	17	0	0
PCT7205	MV	723	19	0	0	2	17	0	0	0	2	0	0	0	15	0	0
PCT7205	ED	148	10	0	0	0	10	1	0	1	1	0	0	0	7	0	0
PCT7205	TO	871	29	0	0	2	27	1	0	1	3	0	0	0	22	0	0
PCT7206	MV	298	7	0	0	2	5	0	0	1	1	0	0	0	3	0	0
PCT7206	ED	79	5	0	0	1	4	1	0	2	0	0	1	0	0	0	0
PCT7206	TO	377	12	0	0	3	9	1	0	3	1	0	1	0	3	0	0
PCT7207	MV	742	10	0	0	0	10	0	0	0	2	0	0	1	7	0	0
PCT7207	ED	125	7	0	0	0	7	0	0	0	1	0	0	0	6	0	0
PCT7207	TO	867	17	0	0	0	17	0	0	0	3	0	0	1	13	0	0
PCT7208	MV	491	14	0	0	2	12	0	0	2	0	0	0	0	10	0	0
PCT7208	ED	79	2	0	0	0	2	0	1	0	0	0	0	0	1	0	0
PCT7208	TO	570	16	0	0	2	14	0	1	2	0	0	0	0	11	0	0
PCT7209	MV	595	39	0	0	7	32	0	1	1	8	0	1	0	21	0	0
