area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	13:JULIÁN CASTRO	14:MICHAEL A. ELLINGER	15:ELIZABETH WARREN	16:MARIANNE WILLIAMSON	17:ANDREW YANG	18:ROQUE "ROCKY" DE LA FUENTE III	19:JOHN K. DELANEY	20:AMY KLOBUCHAR	21:BERNIE SANDERS	22:JOE SESTAK	23:TOM STEYER	24:DEVAL PATRICK	25:MICHAEL BENNET	26:MICHAEL R. BLOOMBERG	27:MOSIE BOYD	28:CORY BOOKER	29:PETE BUTTIGIEG	30:JOSEPH R. BIDEN	31:TULSI GABBARD	32:MARK STEWART GREENSTEIN	178:NAKIA L. ANTHONY	179:DAPHNE DENISE BRADFORD	180:WILLIE FELIX CARTER	181:MICHAEL DENAME	182:JEFFREY H. DROBMAN	183:ROBERT JORDAN	184:HEATHER MARIE STAGG
PCT1132	TO	1032	153	0	0	5	148	0	0	0	19	0	9	0	0	1	59	0	1	0	0	21	0	0	5	33	0	0	0	0	0	0	0	0	0
PCT1133	MV	715	99	0	0	0	99	0	0	0	9	0	2	0	1	0	32	0	3	0	0	23	0	0	13	14	1	1	0	0	0	0	0	0	0
PCT1133	ED	160	67	0	0	0	67	0	0	0	15	0	0	0	0	0	29	0	0	0	0	7	0	0	0	16	0	0	0	0	0	0	0	0	0
PCT1133	TO	875	166	0	0	0	166	0	0	0	24	0	2	0	1	0	61	0	3	0	0	30	0	0	13	30	1	1	0	0	0	0	0	0	0
PCT1134	MV	584	81	0	0	2	79	0	1	0	6	0	5	0	0	2	26	0	2	0	0	16	0	0	7	12	2	0	0	0	0	0	0	0	0
PCT1134	ED	183	76	0	0	1	75	0	0	0	9	0	0	0	1	1	45	0	0	0	0	4	0	0	0	15	0	0	0	0	0	0	0	0	0
PCT1134	TO	767	157	0	0	3	154	0	1	0	15	0	5	0	1	3	71	0	2	0	0	20	0	0	7	27	2	0	0	0	0	0	0	0	0
PCT1135	MV	464	66	0	0	2	64	0	0	0	3	0	2	0	0	0	19	0	4	0	0	20	0	0	8	8	0	0	0	0	0	0	0	0	0
PCT1135	ED	92	45	0	0	0	45	0	0	0	8	0	0	0	0	0	21	0	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	0	0
PCT1135	TO	556	111	0	0	2	109	0	0	0	11	0	2	0	0	0	40	0	4	0	0	22	0	0	8	22	0	0	0	0	0	0	0	0	0
