area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	87:KULVINDAR "RANI" SINGH	88:CAROLYN GOLD
PCT7313	ED	185	115	0	0	26	89	3	34	52
PCT7313	TO	1003	480	0	2	101	377	3	196	178
PCT7314	MV	612	222	0	0	40	182	0	101	81
PCT7314	ED	147	56	0	0	10	46	0	23	23
PCT7314	TO	759	278	0	0	50	228	0	124	104
PCT7315	MV	570	202	0	0	32	170	0	90	80
PCT7315	ED	195	117	0	0	21	96	0	35	61
PCT7315	TO	765	319	0	0	53	266	0	125	141
PCT7316	MV	654	255	0	1	58	196	0	79	117
PCT7316	ED	178	100	0	0	22	78	0	30	48
PCT7316	TO	832	355	0	1	80	274	0	109	165
PCT7317	MV	744	339	0	2	70	267	0	172	95
PCT7317	ED	146	107	0	0	27	80	0	47	33
PCT7317	TO	890	446	0	2	97	347	0	219	128
PCT7318	MV	605	289	0	0	61	228	0	140	88
PCT7318	ED	118	99	0	0	28	71	0	41	30
PCT7318	TO	723	388	0	0	89	299	0	181	118
PCT7319	MV	861	340	0	0	81	259	0	141	118
PCT7319	ED	188	113	0	0	28	85	0	40	45
PCT7319	TO	1049	453	0	0	109	344	0	181	163
PCT7321	MV	557	200	0	2	45	153	0	88	65
PCT7321	ED	102	62	0	0	17	45	0	22	23
PCT7321	TO	659	262	0	2	62	198	0	110	88
PCT7322	MV	742	292	0	0	70	222	0	117	105
PCT7322	ED	146	25	0	0	4	21	0	6	15
PCT7322	TO	888	317	0	0	74	243	0	123	120
PCT7323	MV	789	362	0	0	76	286	0	178	108
PCT7323	ED	167	126	0	0	33	93	0	38	55
PCT7323	TO	956	488	0	0	109	379	0	216	163
PCT7324	MV	586	253	0	0	54	199	0	116	83
PCT7324	ED	151	88	0	0	31	57	1	22	34
PCT7324	TO	737	341	0	0	85	256	1	138	117
PCT7325	MV	714	315	0	0	71	244	0	132	112
PCT7325	ED	172	121	0	0	31	90	2	38	50
PCT7325	TO	886	436	0	0	102	334	2	170	162
PCT7326	MV	685	298	0	0	58	240	0	145	95
PCT7326	ED	174	116	0	0	33	83	1	50	32
PCT7326	TO	859	414	0	0	91	323	1	195	127
PCT7327	MV	561	224	0	0	41	183	0	116	67
PCT7327	ED	126	37	0	0	6	31	0	15	16
PCT7327	TO	687	261	0	0	47	214	0	131	83
PCT7328	MV	829	321	0	0	76	245	0	143	102
PCT7328	ED	173	46	0	0	10	36	1	10	25
PCT7328	TO	1002	367	0	0	86	281	1	153	127
PCT7329	MV	556	222	0	0	55	167	0	108	59
PCT7329	ED	95	56	0	0	15	41	2	21	18
PCT7329	TO	651	278	0	0	70	208	2	129	77
PCT7331	MV	710	358	0	1	83	274	0	174	100
PCT7331	ED	160	129	0	0	37	92	0	58	34
PCT7331	TO	870	487	0	1	120	366	0	232	134
PCT7332	MV	654	256	0	1	48	207	0	90	117
PCT7332	ED	136	113	0	0	21	92	1	31	60
PCT7332	TO	790	369	0	1	69	299	1	121	177
PCT7333	MV	822	385	0	0	70	315	0	166	149
PCT7333	ED	193	161	0	0	37	124	1	55	68
PCT7333	TO	1015	546	0	0	107	439	1	221	217
PCT7334	MV	686	301	0	0	59	242	0	115	127
PCT7334	ED	133	105	0	0	25	80	1	32	47
PCT7334	TO	819	406	0	0	84	322	1	147	174
PCT7335	MV	788	385	0	0	82	303	0	179	124
PCT7335	ED	146	144	0	0	28	116	2	59	55
