area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	85:DOROTHY CHOU PROUDFOOT	86:MICHELLE TONG
PCT7345	MV	904	434	0	1	86	347	0	156	191
PCT7345	ED	210	217	0	0	53	164	4	64	96
PCT7345	TO	1114	651	0	1	139	511	4	220	287
PCT7346	MV	681	288	0	0	67	221	0	105	116
PCT7346	ED	208	174	0	0	40	134	0	50	84
PCT7346	TO	889	462	0	0	107	355	0	155	200
PCT7347	MV	833	371	0	0	71	300	0	118	182
PCT7347	ED	170	123	0	0	29	94	0	31	63
PCT7347	TO	1003	494	0	0	100	394	0	149	245
PCT7348	MV	650	279	0	0	56	223	0	95	128
PCT7348	ED	193	116	0	0	19	97	3	38	56
PCT7348	TO	843	395	0	0	75	320	3	133	184
PCT7349	MV	710	316	0	2	64	250	0	117	133
PCT7349	ED	202	145	0	0	43	102	0	43	59
PCT7349	TO	912	461	0	2	107	352	0	160	192
PCT7501	MV	456	248	0	0	63	185	0	104	81
PCT7501	ED	95	116	0	0	22	94	0	43	51
PCT7501	TO	551	364	0	0	85	279	0	147	132
PCT7502	MV	668	315	0	0	56	259	0	137	122
PCT7502	ED	121	143	0	0	47	96	0	37	59
PCT7502	TO	789	458	0	0	103	355	0	174	181
PCT7503	MV	614	286	0	0	48	238	0	129	109
PCT7503	ED	148	138	0	0	42	96	1	44	51
PCT7503	TO	762	424	0	0	90	334	1	173	160
PCT7504	MV	404	175	0	0	25	150	0	72	78
PCT7504	ED	84	84	0	0	24	60	1	29	30
PCT7504	TO	488	259	0	0	49	210	1	101	108
PCT7505	MV	729	405	0	1	82	322	0	182	140
PCT7505	ED	133	130	0	1	32	97	0	46	51
PCT7505	TO	862	535	0	2	114	419	0	228	191
PCT7506	MV	842	364	0	0	80	284	0	125	159
PCT7506	ED	158	162	0	1	33	128	2	44	82
PCT7506	TO	1000	526	0	1	113	412	2	169	241
PCT7507	MV	694	289	0	0	52	237	0	85	152
PCT7507	ED	262	133	0	1	23	109	1	38	70
PCT7507	TO	956	422	0	1	75	346	1	123	222
PCT7508	MV	618	373	0	0	73	300	0	137	163
PCT7508	ED	126	118	0	0	30	88	2	37	49
PCT7508	TO	744	491	0	0	103	388	2	174	212
PCT7509	MV	756	399	0	1	83	315	0	140	175
PCT7509	ED	173	169	0	0	36	133	1	63	69
PCT7509	TO	929	568	0	1	119	448	1	203	244
PCT7512	MV	475	248	0	0	56	192	0	97	95
PCT7512	ED	125	89	0	0	22	67	1	27	39
PCT7512	TO	600	337	0	0	78	259	1	124	134
PCT7513	MV	575	248	0	1	57	190	0	73	117
PCT7513	ED	231	143	0	0	37	106	1	34	71
PCT7513	TO	806	391	0	1	94	296	1	107	188
PCT7514	MV	709	242	0	0	45	197	0	76	121
PCT7514	ED	207	76	0	0	24	52	0	14	38
PCT7514	TO	916	318	0	0	69	249	0	90	159
PCT7515	MV	663	322	0	0	64	258	0	99	159
PCT7515	ED	201	114	0	0	32	82	1	31	50
PCT7515	TO	864	436	0	0	96	340	1	130	209
PCT7516	MV	773	423	0	0	74	349	0	169	180
PCT7516	ED	147	131	0	0	29	102	1	52	49
PCT7516	TO	920	554	0	0	103	451	1	221	229
PCT7517	MV	645	362	0	1	83	278	0	94	184
