area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	89:KAT ANDERSON	90:NADIA RAHMAN	91:MANO RAJU	92:ABRA PAULINE CASTLE	93:QUEENA CHEN	94:CYN WANG	95:LEAH LACROIX	96:SUZY LOFTUS	97:LI MIAO LOVETT	98:JANICE LI	99:JANE NATOLI	100:AHSHA SAFAI	101:GORDON MAR	102:SEEYEW MO	103:FAAUUGA MOLIGA	104:PAUL MIYAMOTO	105:MARY JUNG	106:KEITH BARAKA	107:KELLY AKEMI GROTH	108:A. J. THOMAS	109:MAWULI TUGBENYOH
PCT9149	TO	633	529	0	0	2820	2470	0	83	70	172	41	150	72	153	121	151	146	91	81	188	45	161	87	116	165	148	171	58
PCT9151	MV	430	262	0	1	1451	1159	0	32	29	72	27	51	41	71	84	65	68	39	53	87	27	58	56	61	81	57	76	24
PCT9151	ED	101	175	0	0	1104	646	0	27	18	49	22	30	14	35	45	42	34	18	39	41	8	30	31	34	30	35	49	15
PCT9151	TO	531	437	0	1	2555	1805	0	59	47	121	49	81	55	106	129	107	102	57	92	128	35	88	87	95	111	92	125	39
PCT9152	MV	342	149	0	0	830	660	0	27	17	42	10	46	17	46	33	36	39	25	24	41	17	38	20	41	38	39	45	19
PCT9152	ED	117	301	0	1	1923	1077	0	50	40	71	42	59	40	35	53	69	57	42	44	53	25	70	35	30	62	68	100	32
PCT9152	TO	459	450	0	1	2753	1737	0	77	57	113	52	105	57	81	86	105	96	67	68	94	42	108	55	71	100	107	145	51
PCT9201	MV	504	272	0	1	1311	1399	0	47	35	101	34	87	32	99	60	88	97	44	46	91	18	91	43	55	107	94	102	28
PCT9201	ED	109	185	0	1	1106	734	0	29	16	50	12	56	17	54	30	51	49	18	23	50	8	53	20	30	56	49	56	7
PCT9201	TO	613	457	0	2	2417	2133	0	76	51	151	46	143	49	153	90	139	146	62	69	141	26	144	63	85	163	143	158	35
PCT9202	MV	474	266	0	1	1555	1095	0	43	32	59	26	56	38	75	76	51	66	50	46	64	25	60	50	50	70	61	70	27
