area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	40:PHIL COLLINS	41:ROQUE "ROCKY" DE LA FUENTE	42:CHARLES KRAUT	43:J.R. MYERS	44:DON BLANKENSHIP
PCT7034	TO	938	1	0	0	0	1	0	0	0	0	1	0
PCT7035	MV	567	4	0	0	4	0	0	0	0	0	0	0
PCT7035	ED	152	1	0	0	0	1	1	0	0	0	0	0
PCT7035	TO	719	5	0	0	4	1	1	0	0	0	0	0
PCT7036	MV	780	12	0	0	5	7	0	2	1	2	1	1
PCT7036	ED	194	0	0	0	0	0	0	0	0	0	0	0
PCT7036	TO	974	12	0	0	5	7	0	2	1	2	1	1
PCT7037	MV	433	1	0	0	1	0	0	0	0	0	0	0
PCT7037	ED	313	1	0	0	0	1	1	0	0	0	0	0
PCT7037	TO	746	2	0	0	1	1	1	0	0	0	0	0
PCT7038	MV	758	10	0	0	4	6	0	2	0	1	3	0
PCT7038	ED	203	0	0	0	0	0	0	0	0	0	0	0
PCT7038	TO	961	10	0	0	4	6	0	2	0	1	3	0
PCT7039	MV	636	4	0	0	2	2	0	0	0	2	0	0
PCT7039	ED	201	0	0	0	0	0	0	0	0	0	0	0
PCT7039	TO	837	4	0	0	2	2	0	0	0	2	0	0
PCT7041	MV	70	0	0	0	0	0	0	0	0	0	0	0
PCT7041	ED	-4	0	0	0	0	0	0	0	0	0	0	0
PCT7041	TO	66	0	0	0	0	0	0	0	0	0	0	0
PCT7042	MV	514	6	0	0	4	2	0	0	2	0	0	0
PCT7042	ED	146	1	0	0	0	1	1	0	0	0	0	0
PCT7042	TO	660	7	0	0	4	3	1	0	2	0	0	0
PCT7043	MV	754	5	0	0	3	2	0	2	0	0	0	0
PCT7043	ED	224	0	0	0	0	0	0	0	0	0	0	0
PCT7043	TO	978	5	0	0	3	2	0	2	0	0	0	0
PCT7044	MV	586	1	0	0	1	0	0	0	0	0	0	0
PCT7044	ED	266	1	0	0	0	1	0	0	0	0	0	1
PCT7044	TO	852	2	0	0	1	1	0	0	0	0	0	1
PCT7045	MV	632	5	0	0	2	3	0	2	0	1	0	0
PCT7045	ED	154	2	0	0	0	2	0	1	0	0	1	0
PCT7045	TO	786	7	0	0	2	5	0	3	0	1	1	0
PCT7046	MV	334	1	0	0	1	0	0	0	0	0	0	0
PCT7046	ED	96	0	0	0	0	0	0	0	0	0	0	0
PCT7046	TO	430	1	0	0	1	0	0	0	0	0	0	0
PCT7047	MV	730	3	0	0	3	0	0	0	0	0	0	0
PCT7047	ED	153	0	0	0	0	0	0	0	0	0	0	0
PCT7047	TO	883	3	0	0	3	0	0	0	0	0	0	0
PCT7048	MV	685	2	0	0	2	0	0	0	0	0	0	0
PCT7048	ED	196	0	0	0	0	0	0	0	0	0	0	0
PCT7048	TO	881	2	0	0	2	0	0	0	0	0	0	0
PCT7049	MV	616	1	0	0	1	0	0	0	0	0	0	0
PCT7049	ED	210	3	0	0	0	3	1	1	1	0	0	0
PCT7049	TO	826	4	0	0	1	3	1	1	1	0	0	0
PCT7051	MV	715	4	0	0	3	1	0	0	0	1	0	0
PCT7051	ED	165	1	0	0	1	0	0	0	0	0	0	0
PCT7051	TO	880	5	0	0	4	1	0	0	0	1	0	0
PCT7052	MV	721	3	0	0	2	1	0	0	1	0	0	0
PCT7052	ED	185	0	0	0	0	0	0	0	0	0	0	0
PCT7052	TO	906	3	0	0	2	1	0	0	1	0	0	0
PCT7053	MV	542	2	0	0	1	1	0	0	0	0	0	1
PCT7053	ED	43	2	0	0	1	1	1	0	0	0	0	0
PCT7053	TO	585	4	0	0	2	2	1	0	0	0	0	1
PCT7054	MV	862	3	0	0	2	1	0	0	1	0	0	0
PCT7054	ED	274	2	0	0	0	2	0	1	0	1	0	0
PCT7054	TO	1136	5	0	0	2	3	0	1	1	1	0	0
PCT7055	MV	732	1	0	0	0	1	0	0	0	0	1	0
PCT7055	ED	94	0	0	0	0	0	0	0	0	0	0	0
PCT7055	TO	826	1	0	0	0	1	0	0	0	0	1	0
PCT7056	MV	618	0	0	0	0	0	0	0	0	0	0	0
PCT7056	ED	87	1	0	0	0	1	0	1	0	0	0	0
PCT7056	TO	705	1	0	0	0	1	0	1	0	0	0	0
PCT7101	MV	162	0	0	0	0	0	0	0	0	0	0	0
PCT7101	ED	-15	0	0	0	0	0	0	0	0	0	0	0
PCT7101	TO	147	0	0	0	0	0	0	0	0	0	0	0
PCT7201	MV	788	5	0	0	4	1	0	0	0	0	1	0
PCT7201	ED	147	0	0	0	0	0	0	0	0	0	0	0
PCT7201	TO	935	5	0	0	4	1	0	0	0	0	1	0
PCT7202	MV	707	9	0	0	5	4	0	1	2	0	0	1
PCT7202	ED	144	3	0	0	0	3	2	0	1	0	0	0
PCT7202	TO	851	12	0	0	5	7	2	1	3	0	0	1
PCT7203	MV	693	3	0	0	2	1	0	0	0	1	0	0
PCT7203	ED	186	0	0	0	0	0	0	0	0	0	0	0
PCT7203	TO	879	3	0	0	2	1	0	0	0	1	0	0
PCT7204	MV	773	8	0	0	6	2	0	1	0	1	0	0
PCT7204	ED	126	1	0	0	1	0	0	0	0	0	0	0
PCT7204	TO	899	9	0	0	7	2	0	1	0	1	0	0
PCT7205	MV	724	3	0	0	3	0	0	0	0	0	0	0
PCT7205	ED	147	1	0	0	1	0	0	0	0	0	0	0
PCT7205	TO	871	4	0	0	4	0	0	0	0	0	0	0
PCT7206	MV	299	2	0	0	2	0	0	0	0	0	0	0
PCT7206	ED	78	1	0	0	0	1	0	0	0	1	0	0
PCT7206	TO	377	3	0	0	2	1	0	0	0	1	0	0
PCT7207	MV	744	5	0	0	5	0	0	0	0	0	0	0
PCT7207	ED	123	1	0	0	0	1	0	0	0	1	0	0
PCT7207	TO	867	6	0	0	5	1	0	0	0	1	0	0
PCT7208	MV	492	5	0	0	5	0	0	0	0	0	0	0
PCT7208	ED	78	0	0	0	0	0	0	0	0	0	0	0
PCT7208	TO	570	5	0	0	5	0	0	0	0	0	0	0
PCT7209	MV	595	4	0	0	4	0	0	0	0	0	0	0
PCT7209	ED	52	1	0	0	0	1	1	0	0	0	0	0
PCT7209	TO	647	5	0	0	4	1	1	0	0	0	0	0
PCT7301	MV	812	2	0	0	1	1	0	0	0	1	0	0
PCT7301	ED	202	2	0	0	1	1	0	0	0	1	0	0
PCT7301	TO	1014	4	0	0	2	2	0	0	0	2	0	0
PCT7302	MV	713	6	0	0	4	2	0	1	1	0	0	0
PCT7302	ED	136	0	0	0	0	0	0	0	0	0	0	0
PCT7302	TO	849	6	0	0	4	2	0	1	1	0	0	0
PCT7303	MV	869	2	0	0	1	1	0	1	0	0	0	0
PCT7303	ED	199	2	0	0	1	1	0	0	0	0	1	0
PCT7303	TO	1068	4	0	0	2	2	0	1	0	0	1	0
PCT7304	MV	802	4	0	0	3	1	0	1	0	0	0	0
PCT7304	ED	199	0	0	0	0	0	0	0	0	0	0	0
PCT7304	TO	1001	4	0	0	3	1	0	1	0	0	0	0
PCT7305	MV	713	5	0	0	4	1	0	1	0	0	0	0
PCT7305	ED	154	0	0	0	0	0	0	0	0	0	0	0
PCT7305	TO	867	5	0	0	4	1	0	1	0	0	0	0
PCT7306	MV	801	5	0	0	4	1	0	1	0	0	0	0
PCT7306	ED	243	2	0	0	0	2	1	0	0	1	0	0
PCT7306	TO	1044	7	0	0	4	3	1	1	0	1	0	0
PCT7307	MV	605	2	0	0	1	1	0	1	0	0	0	0
PCT7307	ED	169	0	0	0	0	0	0	0	0	0	0	0
PCT7307	TO	774	2	0	0	1	1	0	1	0	0	0	0
PCT7308	MV	520	2	0	0	1	1	0	0	0	0	1	0
PCT7308	ED	105	3	0	0	2	1	0	1	0	0	0	0
PCT7308	TO	625	5	0	0	3	2	0	1	0	0	1	0
PCT7309	MV	691	7	0	0	6	1	0	0	0	0	1	0
PCT7309	ED	167	1	0	0	0	1	0	0	0	1	0	0
PCT7309	TO	858	8	0	0	6	2	0	0	0	1	1	0
PCT7311	MV	698	4	0	0	3	1	0	0	0	1	0	0
PCT7311	ED	208	1	0	0	1	0	0	0	0	0	0	0
PCT7311	TO	906	5	0	0	4	1	0	0	0	1	0	0
PCT7312	MV	699	5	0	0	5	0	0	0	0	0	0	0
PCT7312	ED	111	1	0	0	0	1	1	0	0	0	0	0
PCT7312	TO	810	6	0	0	5	1	1	0	0	0	0	0
PCT7313	MV	818	4	0	0	4	0	0	0	0	0	0	0
PCT7313	ED	185	0	0	0	0	0	0	0	0	0	0	0
PCT7313	TO	1003	4	0	0	4	0	0	0	0	0	0	0
PCT7314	MV	612	0	0	0	0	0	0	0	0	0	0	0
PCT7314	ED	147	1	0	0	0	1	1	0	0	0	0	0
PCT7314	TO	759	1	0	0	0	1	1	0	0	0	0	0
PCT7315	MV	570	4	0	0	4	0	0	0	0	0	0	0
PCT7315	ED	195	1	0	0	0	1	0	1	0	0	0	0
PCT7315	TO	765	5	0	0	4	1	0	1	0	0	0	0
PCT7316	MV	654	3	0	0	2	1	0	0	0	1	0	0
PCT7316	ED	178	0	0	0	0	0	0	0	0	0	0	0
PCT7316	TO	832	3	0	0	2	1	0	0	0	1	0	0
PCT7317	MV	744	4	0	0	3	1	0	0	0	0	1	0
PCT7317	ED	146	0	0	0	0	0	0	0	0	0	0	0
PCT7317	TO	890	4	0	0	3	1	0	0	0	0	1	0
PCT7318	MV	605	2	0	0	2	0	0	0	0	0	0	0
PCT7318	ED	118	0	0	0	0	0	0	0	0	0	0	0
PCT7318	TO	723	2	0	0	2	0	0	0	0	0	0	0
PCT7319	MV	861	6	0	0	4	2	0	0	0	1	0	1
PCT7319	ED	188	1	0	0	1	0	0	0	0	0	0	0
PCT7319	TO	1049	7	0	0	5	2	0	0	0	1	0	1
PCT7321	MV	557	2	0	0	1	1	0	0	0	0	0	1
PCT7321	ED	102	1	0	0	1	0	0	0	0	0	0	0
PCT7321	TO	659	3	0	0	2	1	0	0	0	0	0	1
PCT7322	MV	742	4	0	0	2	2	0	1	0	1	0	0
PCT7322	ED	146	0	0	0	0	0	0	0	0	0	0	0
PCT7322	TO	888	4	0	0	2	2	0	1	0	1	0	0
PCT7323	MV	789	7	0	0	4	3	0	2	1	0	0	0
PCT7323	ED	167	0	0	0	0	0	0	0	0	0	0	0
PCT7323	TO	956	7	0	0	4	3	0	2	1	0	0	0
PCT7324	MV	586	0	0	0	0	0	0	0	0	0	0	0
PCT7324	ED	151	1	0	0	0	1	0	1	0	0	0	0
PCT7324	TO	737	1	0	0	0	1	0	1	0	0	0	0
PCT7325	MV	714	0	0	0	0	0	0	0	0	0	0	0
PCT7325	ED	172	0	0	0	0	0	0	0	0	0	0	0
PCT7325	TO	886	0	0	0	0	0	0	0	0	0	0	0
PCT7326	MV	685	2	0	0	1	1	0	0	0	0	1	0
PCT7326	ED	174	1	0	0	0	1	1	0	0	0	0	0
PCT7326	TO	859	3	0	0	1	2	1	0	0	0	1	0
PCT7327	MV	561	3	0	0	2	1	0	0	1	0	0	0
PCT7327	ED	126	0	0	0	0	0	0	0	0	0	0	0
PCT7327	TO	687	3	0	0	2	1	0	0	1	0	0	0
PCT7328	MV	829	1	0	0	1	0	0	0	0	0	0	0
PCT7328	ED	173	0	0	0	0	0	0	0	0	0	0	0
PCT7328	TO	1002	1	0	0	1	0	0	0	0	0	0	0
PCT7329	MV	556	4	0	0	2	2	0	0	0	0	0	2
PCT7329	ED	95	0	0	0	0	0	0	0	0	0	0	0
PCT7329	TO	651	4	0	0	2	2	0	0	0	0	0	2
PCT7331	MV	710	1	0	0	1	0	0	0	0	0	0	0
PCT7331	ED	160	1	0	0	0	1	1	0	0	0	0	0
PCT7331	TO	870	2	0	0	1	1	1	0	0	0	0	0
