area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	145:LISA REMMER	146:JOSEPH C ROBERTS	147:STEPHEN WAID	148:LEO LACAYO	149:RYAN LAM	150:CHRISTIAN FOSTER	151:JOSH YORK	152:EVE DEL CASTELLO	153:CHRIS WARD KLINE	154:ERIN SMITH	155:LARRY MARSO	156:NICOLE GARAY	157:CALE GARVERICK	158:KRISTA GARVERICK
PCT7019	MV	734	18	0	0	130	68	0	5	5	4	4	9	5	5	4	5	6	4	2	6	4
PCT7019	ED	166	1	0	0	4	7	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1
PCT7019	TO	900	19	0	0	134	75	0	5	6	4	4	9	5	6	5	6	7	4	2	7	5
PCT7021	MV	679	11	0	0	95	26	0	1	1	1	1	2	7	1	2	2	3	2	1	1	1
PCT7021	ED	288	3	0	0	16	17	0	2	1	1	2	2	1	0	2	0	2	2	1	1	0
PCT7021	TO	967	14	0	0	111	43	0	3	2	2	3	4	8	1	4	2	5	4	2	2	1
PCT7022	MV	770	10	0	0	55	55	0	4	4	4	6	4	4	3	2	3	5	4	4	4	4
PCT7022	ED	193	2	0	0	2	20	0	2	2	1	2	1	1	0	2	2	2	1	2	1	1
PCT7022	TO	963	12	0	0	57	75	0	6	6	5	8	5	5	3	4	5	7	5	6	5	5
PCT7023	MV	687	11	0	0	86	35	0	6	4	3	0	1	1	4	1	1	3	5	2	0	4
PCT7023	ED	233	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7023	TO	920	12	0	0	97	35	0	6	4	3	0	1	1	4	1	1	3	5	2	0	4
PCT7024	MV	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7024	ED	190	1	0	0	0	11	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1
PCT7024	TO	441	1	0	0	0	11	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1
PCT7025	MV	316	1	0	0	2	9	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1
PCT7025	ED	167	1	0	0	6	5	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0
PCT7025	TO	483	2	0	0	8	14	0	1	1	0	0	1	1	0	2	1	2	0	2	2	1
PCT7026	MV	819	18	0	0	137	61	0	5	6	5	2	5	3	3	4	3	6	3	5	8	3
PCT7026	ED	191	4	0	0	41	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
PCT7026	TO	1010	22	0	0	178	64	0	5	6	5	2	5	3	4	4	4	6	3	5	9	3
PCT7027	MV	677	19	0	0	128	81	0	6	6	5	10	7	5	6	4	7	5	7	3	7	3
PCT7027	ED	219	2	0	0	8	14	0	1	2	1	1	1	0	1	1	1	1	1	1	1	1
PCT7027	TO	896	21	0	0	136	95	0	7	8	6	11	8	5	7	5	8	6	8	4	8	4
PCT7028	MV	586	3	0	0	31	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PCT7028	ED	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCT7028	TO	856	3	0	0	31	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PCT7029	MV	643	9	0	0	28	71	0	5	6	6	3	3	4	7	5	3	6	6	6	5	6
PCT7029	ED	266	4	0	0	34	10	0	0	1	1	1	0	1	1	1	0	1	0	1	2	0
PCT7029	TO	909	13	0	0	62	81	0	5	7	7	4	3	5	8	6	3	7	6	7	7	6
PCT7030	MV	654	19	0	0	135	74	0	5	2	5	3	10	5	2	5	8	8	3	5	6	7
PCT7030	ED	141	2	0	0	11	11	0	1	2	1	0	1	1	1	0	0	1	1	0	1	1
