area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	82:DAVID CHIU	177:Starchild
PCT7342	MV	904	117	0	0	33	84	0	84	0
PCT7342	ED	904	200	0	0	58	142	5	137	0
PCT7342	TO	904	317	0	0	91	226	5	221	0
PCT7343	MV	704	88	0	0	18	70	0	70	0
PCT7343	ED	704	116	0	0	36	80	2	78	0
PCT7343	TO	704	204	0	0	54	150	2	148	0
PCT7344	MV	1064	151	0	0	51	100	0	100	0
PCT7344	ED	1064	160	0	0	36	124	7	117	0
PCT7344	TO	1064	311	0	0	87	224	7	217	0
PCT7345	MV	1114	159	0	0	44	115	0	115	0
PCT7345	ED	1114	170	0	0	46	124	7	117	0
PCT7345	TO	1114	329	0	0	90	239	7	232	0
PCT7346	MV	889	111	0	0	29	82	0	82	0
PCT7346	ED	889	126	0	0	28	98	2	96	0
PCT7346	TO	889	237	0	0	57	180	2	178	0
PCT7347	MV	1003	152	0	0	36	116	0	116	0
PCT7347	ED	1003	98	0	0	31	67	4	63	0
PCT7347	TO	1003	250	0	0	67	183	4	179	0
PCT7348	MV	843	122	0	0	38	84	0	84	0
PCT7348	ED	843	100	0	0	24	76	6	70	0
PCT7348	TO	843	222	0	0	62	160	6	154	0
PCT7349	MV	912	158	0	0	41	117	0	117	0
PCT7349	ED	912	104	0	0	38	66	0	66	0
PCT7349	TO	912	262	0	0	79	183	0	183	0
PCT7501	MV	551	75	0	0	25	50	0	50	0
PCT7501	ED	551	90	0	0	27	63	0	63	0
PCT7501	TO	551	165	0	0	52	113	0	113	0
PCT7502	MV	789	107	0	0	51	56	0	56	0
PCT7502	ED	789	99	0	0	40	59	2	57	0
PCT7502	TO	789	206	0	0	91	115	2	113	0
PCT7503	MV	762	112	0	0	34	78	0	78	0
PCT7503	ED	762	100	0	0	32	68	4	64	0
PCT7503	TO	762	212	0	0	66	146	4	142	0
PCT7504	MV	488	72	0	0	22	50	0	50	0
PCT7504	ED	488	52	0	0	9	43	1	42	0
PCT7504	TO	488	124	0	0	31	93	1	92	0
PCT7505	MV	862	198	0	0	40	158	0	158	0
PCT7505	ED	862	96	0	0	20	76	1	75	0
PCT7505	TO	862	294	0	0	60	234	1	233	0
PCT7506	MV	1000	122	0	0	39	83	0	83	0
PCT7506	ED	1000	111	0	0	27	84	0	84	0
PCT7506	TO	1000	233	0	0	66	167	0	167	0
PCT7507	MV	956	120	0	0	32	88	0	88	0
PCT7507	ED	956	95	0	0	19	76	2	74	0
PCT7507	TO	956	215	0	0	51	164	2	162	0
PCT7508	MV	744	164	0	0	53	111	0	111	0
PCT7508	ED	744	103	0	0	28	75	3	72	0
PCT7508	TO	744	267	0	0	81	186	3	183	0
PCT7509	MV	929	180	0	0	45	135	0	135	0
PCT7509	ED	929	145	0	0	35	110	3	107	0
PCT7509	TO	929	325	0	0	80	245	3	242	0
PCT7512	MV	600	102	0	0	47	55	0	55	0
PCT7512	ED	600	85	0	0	32	53	2	51	0
PCT7512	TO	600	187	0	0	79	108	2	106	0
PCT7513	MV	806	100	0	0	33	67	0	67	0
PCT7513	ED	806	107	0	0	30	77	2	75	0
PCT7513	TO	806	207	0	0	63	144	2	142	0
PCT7514	MV	916	110	0	0	29	81	0	81	0
PCT7514	ED	916	59	0	0	23	36	1	35	0
PCT7514	TO	916	169	0	0	52	117	1	116	0
PCT7515	MV	864	83	0	0	27	56	0	56	0
PCT7515	ED	864	90	0	0	22	68	2	66	0
PCT7515	TO	864	173	0	0	49	124	2	122	0
PCT7516	MV	920	175	0	0	55	120	0	120	0
PCT7516	ED	920	118	0	0	33	85	2	83	0
PCT7516	TO	920	293	0	0	88	205	2	203	0
PCT7517	MV	868	128	0	0	31	97	0	97	0
PCT7517	ED	868	179	0	0	55	124	1	123	0
PCT7517	TO	868	307	0	0	86	221	1	220	0
PCT7518	MV	926	105	0	0	29	76	0	76	0
PCT7518	ED	926	185	0	0	59	126	4	122	0
PCT7518	TO	926	290	0	0	88	202	4	198	0
PCT7519	MV	715	66	0	0	25	41	0	41	0
PCT7519	ED	715	136	0	0	38	98	1	97	0
PCT7519	TO	715	202	0	0	63	139	1	138	0
PCT7521	MV	779	100	0	0	30	70	0	70	0
PCT7521	ED	779	149	0	0	43	106	4	102	0
PCT7521	TO	779	249	0	0	73	176	4	172	0
PCT7522	MV	759	88	0	0	30	58	0	58	0
PCT7522	ED	759	158	0	0	60	98	2	96	0
PCT7522	TO	759	246	0	0	90	156	2	154	0
PCT7523	MV	744	79	0	0	28	51	0	51	0
PCT7523	ED	744	169	0	0	45	124	4	120	0
PCT7523	TO	744	248	0	0	73	175	4	171	0
PCT7524	MV	624	75	0	0	26	49	0	49	0
PCT7524	ED	624	102	0	0	19	83	3	80	0
PCT7524	TO	624	177	0	0	45	132	3	129	0
PCT7525	MV	764	74	0	0	29	45	0	45	0
PCT7525	ED	764	94	0	0	22	72	3	69	0
PCT7525	TO	764	168	0	0	51	117	3	114	0
PCT7526	MV	988	134	0	0	42	92	0	92	0
PCT7526	ED	988	147	0	0	50	97	3	94	0
PCT7526	TO	988	281	0	0	92	189	3	186	0
PCT7527	MV	710	93	0	0	35	58	0	58	0
PCT7527	ED	710	112	0	0	28	84	4	80	0
PCT7527	TO	710	205	0	0	63	142	4	138	0
PCT7529	MV	903	103	0	0	29	74	0	74	0
PCT7529	ED	903	185	0	0	58	127	6	121	0
PCT7529	TO	903	288	0	0	87	201	6	195	0
PCT7531	MV	873	80	0	0	24	56	0	56	0
PCT7531	ED	873	132	0	0	45	87	1	86	0
PCT7531	TO	873	212	0	0	69	143	1	142	0
PCT7532	MV	835	100	0	0	25	75	0	75	0
PCT7532	ED	835	126	0	0	37	89	2	87	0
PCT7532	TO	835	226	0	0	62	164	2	162	0
PCT7533	MV	970	117	0	0	45	72	0	72	0
PCT7533	ED	970	185	0	0	63	122	4	118	0
PCT7533	TO	970	302	0	0	108	194	4	190	0
PCT7534	MV	903	104	0	0	42	62	0	62	0
PCT7534	ED	903	177	0	0	55	122	3	119	0
PCT7534	TO	903	281	0	0	97	184	3	181	0
PCT7535	MV	745	91	0	0	28	63	0	63	0
PCT7535	ED	745	151	0	0	51	100	3	97	0
PCT7535	TO	745	242	0	0	79	163	3	160	0
PCT7536	MV	833	91	0	0	37	54	0	54	0
PCT7536	ED	833	170	0	0	61	109	4	105	0
PCT7536	TO	833	261	0	0	98	163	4	159	0
PCT7537	MV	745	78	0	0	26	52	0	52	0
PCT7537	ED	745	148	0	0	46	102	3	99	0
PCT7537	TO	745	226	0	0	72	154	3	151	0
PCT7538	MV	751	100	0	0	36	64	0	64	0
PCT7538	ED	751	172	0	0	62	110	1	109	0
PCT7538	TO	751	272	0	0	98	174	1	173	0
PCT7539	MV	921	92	0	0	27	65	0	65	0
PCT7539	ED	921	187	0	0	56	131	3	128	0
PCT7539	TO	921	279	0	0	83	196	3	193	0
PCT7541	MV	770	82	0	0	17	65	0	65	0
PCT7541	ED	770	159	0	0	58	101	3	98	0
PCT7541	TO	770	241	0	0	75	166	3	163	0
PCT7542	MV	824	86	0	0	22	64	0	64	0
PCT7542	ED	824	166	0	0	43	123	7	116	0
PCT7542	TO	824	252	0	0	65	187	7	180	0
PCT7543	MV	924	108	0	0	20	88	0	88	0
PCT7543	ED	924	138	0	0	49	89	3	86	0
PCT7543	TO	924	246	0	0	69	177	3	174	0
PCT7544	MV	899	128	0	0	35	93	0	93	0
PCT7544	ED	899	159	0	0	51	108	1	107	0
PCT7544	TO	899	287	0	0	86	201	1	200	0
PCT7545	MV	895	134	0	0	41	93	0	93	0
PCT7545	ED	895	146	0	0	49	97	5	92	0
PCT7545	TO	895	280	0	0	90	190	5	185	0
PCT7546	MV	953	105	0	0	29	76	0	76	0
PCT7546	ED	953	209	0	0	75	134	2	132	0
PCT7546	TO	953	314	0	0	104	210	2	208	0
PCT7547	MV	981	131	0	0	48	83	0	83	0
PCT7547	ED	981	172	0	0	60	112	2	110	0
PCT7547	TO	981	303	0	0	108	195	2	193	0
PCT7548	MV	1051	150	0	0	44	106	0	106	0
PCT7548	ED	1051	201	0	0	55	146	1	145	0
PCT7548	TO	1051	351	0	0	99	252	1	251	0
PCT7549	MV	806	137	0	0	39	98	0	98	0
PCT7549	ED	806	140	0	0	45	95	4	91	0
PCT7549	TO	806	277	0	0	84	193	4	189	0
PCT7551	MV	723	76	0	0	21	55	0	55	0
PCT7551	ED	723	171	0	0	52	119	6	113	0
PCT7551	TO	723	247	0	0	73	174	6	168	0
PCT7552	MV	685	94	0	0	32	62	0	62	0
PCT7552	ED	685	127	0	0	39	88	0	88	0
PCT7552	TO	685	221	0	0	71	150	0	150	0
PCT7553	MV	191	38	0	0	10	28	0	28	0
PCT7553	ED	191	0	0	0	0	0	0	0	0
PCT7553	TO	191	38	0	0	10	28	0	28	0
PCT7554	MV	821	106	0	0	37	69	0	69	0
PCT7554	ED	821	177	0	0	57	120	2	118	0
PCT7554	TO	821	283	0	0	94	189	2	187	0
PCT7555	MV	872	126	0	0	41	85	0	85	0
