area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	80:JOHN P. MCDONNELL	81:PHIL TING
PCT9239	MV	740	391	0	0	53	338	0	75	263
PCT9239	ED	124	174	0	0	42	132	0	32	100
PCT9239	TO	864	565	0	0	95	470	0	107	363
PCT9241	MV	819	404	0	0	58	346	0	81	265
PCT9241	ED	141	211	0	0	49	162	0	34	128
PCT9241	TO	960	615	0	0	107	508	0	115	393
PCT9242	MV	771	350	0	0	43	307	0	58	249
PCT9242	ED	172	238	0	0	54	184	0	33	151
PCT9242	TO	943	588	0	0	97	491	0	91	400
PCT9243	MV	480	242	0	1	27	214	0	28	186
PCT9243	ED	123	154	0	0	39	115	0	23	92
PCT9243	TO	603	396	0	1	66	329	0	51	278
PCT9244	MV	756	399	0	0	64	335	0	37	298
PCT9244	ED	154	206	0	0	39	167	0	22	145
PCT9244	TO	910	605	0	0	103	502	0	59	443
PCT9245	MV	616	301	0	0	55	246	0	42	204
PCT9245	ED	98	145	0	0	28	117	0	12	105
PCT9245	TO	714	446	0	0	83	363	0	54	309
PCT9246	MV	815	434	0	0	63	371	0	79	292
PCT9246	ED	155	214	0	0	42	172	0	30	142
PCT9246	TO	970	648	0	0	105	543	0	109	434
PCT9247	MV	764	381	0	0	44	337	0	58	279
PCT9247	ED	148	225	0	0	61	164	0	28	136
PCT9247	TO	912	606	0	0	105	501	0	86	415
PCT9248	MV	757	360	0	0	52	308	0	51	257
PCT9248	ED	150	211	0	0	39	172	0	21	151
PCT9248	TO	907	571	0	0	91	480	0	72	408
PCT9249	MV	724	380	0	0	52	328	0	63	265
PCT9249	ED	191	235	0	0	48	187	0	32	155
PCT9249	TO	915	615	0	0	100	515	0	95	420
PCT9251	MV	792	393	0	0	39	354	0	57	297
PCT9251	ED	174	248	0	0	44	204	0	36	168
PCT9251	TO	966	641	0	0	83	558	0	93	465
PCT9252	MV	811	384	0	0	54	330	0	63	267
PCT9252	ED	142	211	0	0	40	171	0	28	143
PCT9252	TO	953	595	0	0	94	501	0	91	410
PCT9253	MV	599	300	0	0	27	273	0	57	216
PCT9253	ED	162	170	0	0	35	135	0	31	104
PCT9253	TO	761	470	0	0	62	408	0	88	320
PCT9254	MV	758	415	0	0	51	364	0	38	326
PCT9254	ED	163	229	0	0	54	175	0	20	155
PCT9254	TO	921	644	0	0	105	539	0	58	481
PCT9255	MV	437	196	0	0	24	172	0	31	141
PCT9255	ED	113	155	0	0	31	124	0	11	113
PCT9255	TO	550	351	0	0	55	296	0	42	254
PCT9256	MV	367	169	0	0	20	149	0	17	132
PCT9256	ED	95	134	0	0	22	112	0	12	100
PCT9256	TO	462	303	0	0	42	261	0	29	232
PCT9257	MV	320	165	0	0	18	147	0	17	130
PCT9257	ED	0	23	0	0	11	12	0	1	11
PCT9257	TO	320	188	0	0	29	159	0	18	141
PCT9258	MV	583	307	0	0	36	271	0	44	227
PCT9258	ED	120	162	0	0	32	130	0	13	117
PCT9258	TO	703	469	0	0	68	401	0	57	344
PCT9401	MV	796	359	0	0	34	325	0	29	296
PCT9401	ED	242	259	0	0	44	215	0	28	187
PCT9401	TO	1038	618	0	0	78	540	0	57	483
PCT9402	MV	775	378	0	0	41	337	0	50	287
PCT9402	ED	242	226	0	0	48	178	0	17	161
PCT9402	TO	1017	604	0	0	89	515	0	67	448
PCT9403	MV	731	349	0	0	34	315	0	53	262
PCT9403	ED	190	183	0	0	32	151	0	19	132
PCT9403	TO	921	532	0	0	66	466	0	72	394
PCT9404	MV	753	345	0	0	30	315	0	80	235
PCT9404	ED	191	209	0	0	42	167	0	22	145
PCT9404	TO	944	554	0	0	72	482	0	102	380
PCT9405	MV	629	278	0	0	25	253	0	54	199
PCT9405	ED	151	145	0	0	14	131	0	21	110
PCT9405	TO	780	423	0	0	39	384	0	75	309
PCT9406	MV	695	332	0	1	35	296	0	54	242
PCT9406	ED	188	198	0	0	43	155	0	26	129
PCT9406	TO	883	530	0	1	78	451	0	80	371
PCT9407	MV	712	369	0	0	36	333	0	55	278
PCT9407	ED	201	195	0	0	31	164	0	21	143
PCT9407	TO	913	564	0	0	67	497	0	76	421
PCT9408	MV	711	324	0	0	36	288	0	24	264
PCT9408	ED	152	195	0	0	37	158	0	15	143
PCT9408	TO	863	519	0	0	73	446	0	39	407
PCT9409	MV	443	227	0	0	33	194	0	32	162
PCT9409	ED	158	172	0	0	28	144	0	13	131
PCT9409	TO	601	399	0	0	61	338	0	45	293
PCT9411	MV	816	378	0	0	38	340	0	53	287
PCT9411	ED	191	239	0	0	54	185	0	19	166
PCT9411	TO	1007	617	0	0	92	525	0	72	453
PCT9412	MV	668	340	0	0	42	298	0	60	238
PCT9412	ED	202	199	0	0	27	172	0	28	144
PCT9412	TO	870	539	0	0	69	470	0	88	382
PCT9413	MV	757	379	0	0	44	335	0	55	280
PCT9413	ED	179	185	0	0	40	145	0	24	121
PCT9413	TO	936	564	0	0	84	480	0	79	401
PCT9414	MV	734	361	0	0	36	325	0	56	269
PCT9414	ED	186	162	0	0	32	130	0	17	113
PCT9414	TO	920	523	0	0	68	455	0	73	382
PCT9415	MV	634	315	0	0	26	289	0	49	240
PCT9415	ED	154	138	0	0	21	117	0	23	94
PCT9415	TO	788	453	0	0	47	406	0	72	334
PCT9416	MV	769	391	0	0	42	349	0	62	287
PCT9416	ED	230	206	0	0	36	170	0	28	142
PCT9416	TO	999	597	0	0	78	519	0	90	429
PCT9417	MV	629	322	0	0	36	286	0	60	226
PCT9417	ED	145	153	0	0	20	133	0	24	109
PCT9417	TO	774	475	0	0	56	419	0	84	335
PCT9418	MV	631	310	0	0	34	276	0	55	221
PCT9418	ED	188	161	0	0	30	131	0	22	109
PCT9418	TO	819	471	0	0	64	407	0	77	330
PCT9419	MV	736	371	0	0	28	343	0	76	267
PCT9419	ED	173	148	0	1	14	133	0	28	105
PCT9419	TO	909	519	0	1	42	476	0	104	372
PCT9421	MV	752	342	0	0	34	308	0	65	243
PCT9421	ED	173	172	0	0	32	140	0	24	116
PCT9421	TO	925	514	0	0	66	448	0	89	359
