VBM_1126_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  28    27 image    3300  5100  rgb     3   8  jpeg   no       139  0   195   464  993K 2.0%
  29    28 image    3304  5100  gray    1   1  ccitt  no       144  0   195   464  263K  13%
  30    29 image    3300  5100  rgb     3   8  jpeg   no       149  0   195   464  996K 2.0%
  31    30 image    3304  5100  gray    1   1  ccitt  no       154  0   195   464  279K  14%
  32    31 image    3300  5100  rgb     3   8  jpeg   no       159  0   195   464  998K 2.0%
  33    32 image    3300  5100  rgb     3   8  jpeg   no       164  0   195   464  757K 1.5%
  34    33 image    3300  5100  rgb     3   8  jpeg   no       169  0   195   464  971K 2.0%
  35    34 image    3304  5100  gray    1   1  ccitt  no       174  0   195   464  295K  14%
VBM_9237_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3300  5100  rgb     3   8  jpeg   no         4  0   195   464  898K 1.8%
   2     1 image    3304  5100  gray    1   1  ccitt  no         9  0   195   464  281K  14%
   3     2 image    3300  5100  rgb     3   8  jpeg   no        14  0   195   464  903K 1.8%
   4     3 image    3304  5100  gray    1   1  ccitt  no        19  0   195   464  286K  14%
   5     4 image    3300  5100  rgb     3   8  jpeg   no        24  0   195   464  911K 1.8%
   6     5 image    3300  5100  rgb     3   8  jpeg   no        29  0   195   464  731K 1.5%
   7     6 image    3300  5100  rgb     3   8  jpeg   no        34  0   195   464  900K 1.8%
   8     7 image    3304  5100  gray    1   1  ccitt  no        39  0   195   464  284K  14%
   9     8 image    3300  5100  rgb     3   8  jpeg   no        44  0   195   464  905K 1.8%
  10     9 image    3300  5100  rgb     3   8  jpeg   no        49  0   195   464  722K 1.5%
  11    10 image    3300  5100  rgb     3   8  jpeg   no        54  0   195   464  988K 2.0%
  12    11 image    3304  5100  gray    1   1  ccitt  no        59  0   195   464  316K  15%
  13    12 image    3300  5100  rgb     3   8  jpeg   no        64  0   195   464  988K 2.0%
  14    13 image    3304  5100  gray    1   1  ccitt  no        69  0   195   464  310K  15%
  15    14 image    3300  5100  rgb     3   8  jpeg   no        74  0   195   464  983K 2.0%
  16    15 image    3304  5100  gray    1   1  ccitt  no        79  0   195   464  315K  15%
  17    16 image    3300  5100  rgb     3   8  jpeg   no        84  0   195   464  983K 2.0%
  18    17 image    3304  5100  gray    1   1  ccitt  no        89  0   195   464  317K  15%
  19    18 image    3300  5100  rgb     3   8  jpeg   no        94  0   195   464  983K 2.0%
  20    19 image    3304  5100  gray    1   1  ccitt  no        99  0   195   464  315K  15%
  21    20 image    3300  5100  rgb     3   8  jpeg   no       104  0   195   464  793K 1.6%
  22    21 image    3300  5100  rgb     3   8  jpeg   no       109  0   195   464  799K 1.6%
  23    22 image    3300  5100  rgb     3   8  jpeg   no       114  0   195   464  794K 1.6%
  24    23 image    3300  5100  rgb     3   8  jpeg   no       119  0   195   464  797K 1.6%
