sDistrictID	iSubDistrict	szDistrictName	sPrecinctID	sPrecinctPortion	szPrecinctName
*0	0	County Wide	7907   		Pct 7907
*0	0	County Wide	7908   		Pct 7908
*0	0	County Wide	7909   		Pct 7909
*0	0	County Wide	7911   		Pct 7911
*0	0	County Wide	7912   		Pct 7912
*0	0	County Wide	7913   		Pct 7913
*0	0	County Wide	7914   		Pct 7914
*0	0	County Wide	7915   		Pct 7915
*0	0	County Wide	7916   		Pct 7916
*0	0	County Wide	7917   		Pct 7917
*0	0	County Wide	7918   		Pct 7918
*0	0	County Wide	7919   		Pct 7919
*0	0	County Wide	7921   		Pct 7921
*0	0	County Wide	7922   		Pct 7922
*0	0	County Wide	7923   		Pct 7923
*0	0	County Wide	7924   		Pct 7924
*0	0	County Wide	7925   		Pct 7925
*0	0	County Wide	7926   		Pct 7926
*0	0	County Wide	7927   		Pct 7927
*0	0	County Wide	7928   		Pct 7928
*0	0	County Wide	7929   		Pct 7929
*0	0	County Wide	7931   		Pct 7931
*0	0	County Wide	7932   		Pct 7932
*0	0	County Wide	7933   		Pct 7933
*0	0	County Wide	7934   		Pct 7934
*0	0	County Wide	7935   		Pct 7935
*0	0	County Wide	7936   		Pct 7936
*0	0	County Wide	7937   		Pct 7937
*0	0	County Wide	7938   		Pct 7938
*0	0	County Wide	7939   		Pct 7939
*0	0	County Wide	7941   		Pct 7941
*0	0	County Wide	7942   		Pct 7942
*0	0	County Wide	7943   		Pct 7943
*0	0	County Wide	7944   		Pct 7944
*0	0	County Wide	7945   		Pct 7945
*0	0	County Wide	7946   		Pct 7946
*0	0	County Wide	7947   		Pct 7947
*0	0	County Wide	7948   		Pct 7948
*0	0	County Wide	7949   		Pct 7949
*0	0	County Wide	7951   		Pct 7951
*0	0	County Wide	7952   		Pct 7952
*0	0	County Wide	7953   		Pct 7953
*0	0	County Wide	7954   		Pct 7954
*0	0	County Wide	7955   		Pct 7955
*0	0	County Wide	7956   		Pct 7956
*0	0	County Wide	7957   		Pct 7957
*0	0	County Wide	7958   		Pct 7958
*0	0	County Wide	7959   		Pct 7959
*0	0	County Wide	9001   		Pct 9001
*0	0	County Wide	9101   		Pct 9101
*0	0	County Wide	9102   		Pct 9102
*0	0	County Wide	9103   		Pct 9103
*0	0	County Wide	9104   		Pct 9104
*0	0	County Wide	9105   		Pct 9105
*0	0	County Wide	9106   		Pct 9106
*0	0	County Wide	9107   		Pct 9107
*0	0	County Wide	9108   		Pct 9108
*0	0	County Wide	9109   		Pct 9109
*0	0	County Wide	9111   		Pct 9111
*0	0	County Wide	9112   		Pct 9112
*0	0	County Wide	9113   		Pct 9113
*0	0	County Wide	9114   		Pct 9114
*0	0	County Wide	9115   		Pct 9115
*0	0	County Wide	9116   		Pct 9116
*0	0	County Wide	9117   		Pct 9117
*0	0	County Wide	9118   		Pct 9118
*0	0	County Wide	9119   		Pct 9119
*0	0	County Wide	9121   		Pct 9121
*0	0	County Wide	9122   		Pct 9122
*0	0	County Wide	9123   		Pct 9123
*0	0	County Wide	9124   		Pct 9124
*0	0	County Wide	9125   		Pct 9125
*0	0	County Wide	9126   		Pct 9126
*0	0	County Wide	9127   		Pct 9127
*0	0	County Wide	9128   		Pct 9128
*0	0	County Wide	9129   		Pct 9129
*0	0	County Wide	9131   		Pct 9131
*0	0	County Wide	9132   		Pct 9132
*0	0	County Wide	9133   		Pct 9133
*0	0	County Wide	9134   		Pct 9134
*0	0	County Wide	9135   		Pct 9135
*0	0	County Wide	9136   		Pct 9136
*0	0	County Wide	9137   		Pct 9137
*0	0	County Wide	9138   		Pct 9138
*0	0	County Wide	9139   		Pct 9139
*0	0	County Wide	9141   		Pct 9141
*0	0	County Wide	9142   		Pct 9142
*0	0	County Wide	9143   		Pct 9143
*0	0	County Wide	9144   		Pct 9144
*0	0	County Wide	9145   		Pct 9145
*0	0	County Wide	9146   		Pct 9146
*0	0	County Wide	9147   		Pct 9147
*0	0	County Wide	9148   		Pct 9148
*0	0	County Wide	9149   		Pct 9149
*0	0	County Wide	9151   		Pct 9151
*0	0	County Wide	9152   		Pct 9152
*0	0	County Wide	9201   		Pct 9201
*0	0	County Wide	9202   		Pct 9202
*0	0	County Wide	9203   		Pct 9203
*0	0	County Wide	9204   		Pct 9204
*0	0	County Wide	9205   		Pct 9205
*0	0	County Wide	9206   		Pct 9206
*0	0	County Wide	9207   		Pct 9207
*0	0	County Wide	9208   		Pct 9208
*0	0	County Wide	9209   		Pct 9209
*0	0	County Wide	9211   		Pct 9211
*0	0	County Wide	9212   		Pct 9212
*0	0	County Wide	9213   		Pct 9213
*0	0	County Wide	9214   		Pct 9214
*0	0	County Wide	9215   		Pct 9215
*0	0	County Wide	9216   		Pct 9216
*0	0	County Wide	9217   		Pct 9217
*0	0	County Wide	9218   		Pct 9218
*0	0	County Wide	9219   		Pct 9219
*0	0	County Wide	9221   		Pct 9221
*0	0	County Wide	9222   		Pct 9222
*0	0	County Wide	9223   		Pct 9223
*0	0	County Wide	9224   		Pct 9224
