VotingPrecinctID	VotingPrecinctName	MailBallotPrecinct	BalType	Congressional	Senatorial	Supervisorial
9221	Pct 9221	N	4	12	11	2
9222	Pct 9222	N	4	12	11	2
9223	Pct 9223	N	4	12	11	2
9224	Pct 9224	N	4	12	11	2
9226	Pct 9226	N	4	12	11	2
9227	Pct 9227	N	4	12	11	2
9228	Pct 9228	N	4	12	11	2
9229	Pct 9229	N	4	12	11	2
9231	Pct 9231	N	4	12	11	2
9232	Pct 9232	N	4	12	11	2
9233	Pct 9233	N	4	12	11	2
9234	Pct 9234	N	4	12	11	2
9235	Pct 9235/9243	N	4	12	11	2
9236	Pct 9236	N	4	12	11	2
9237	Pct 9237	N	4	12	11	2
9238	Pct 9238/9246	N	4	12	11	2
9239	Pct 9239	N	4	12	11	2
9241	Pct 9241	N	4	12	11	2
9242	Pct 9242/9247	N	4	12	11	2
9244	Pct 9244	N	4	12	11	2
9245	Pct 9245/7206	N	4	12	11	2
9248	Pct 9248	N	4	12	11	2
9251	Pct 9251/9249	N	4	12	11	2
9252	Pct 9252	N	4	12	11	2
9253	Pct 9253	N	4	12	11	2
9255	Pct 9255/9258	N	4	12	11	2
9256	Pct 9256/9254	N	4	12	11	2
9257	Pct 9257 MB	YES	4	12	11	2
9401	Pct 9401	N	11	12	11	4
9402	Pct 9402	N	11	12	11	4
9404	Pct 9404/9403	N	11	12	11	4
9405	Pct 9405	N	11	12	11	4
9406	Pct 9406	N	11	12	11	4
9407	Pct 9407	N	11	12	11	4
9408	Pct 9408	N	11	12	11	4
9409	Pct 9409	N	11	12	11	4
9411	Pct 9411/9412	N	11	12	11	4
9413	Pct 9413	N	11	12	11	4
9415	Pct 9415	N	11	12	11	4
9416	Pct 9416	N	11	12	11	4
9418	Pct 9418/9417	N	11	12	11	4
9419	Pct 9419/9414	N	11	12	11	4
9421	Pct 9421	N	11	12	11	4
9422	Pct 9422	N	11	12	11	4
9423	Pct 9423	N	11	12	11	4
9424	Pct 9424/9425	N	11	12	11	4
9426	Pct 9426	N	11	12	11	4
9427	Pct 9427	N	11	12	11	4
9431	Pct 9431/9429	N	11	12	11	4
9432	Pct 9432	N	11	12	11	4
9433	Pct 9433/9428	N	11	12	11	4
9434	Pct 9434	N	11	12	11	4
9436	Pct 9436	N	11	12	11	4
9437	Pct 9437	N	11	12	11	4
9439	Pct 9439/9438	N	11	12	11	4
9441	Pct 9441	N	11	12	11	4
9442	Pct 9442/9435	N	11	12	11	4
9443	Pct 9443/9444	N	11	12	11	4
9445	Pct 9445	N	11	12	11	4
9446	Pct 9446/9452	N	11	12	11	4
9447	Pct 9447	N	11	12	11	4
9448	Pct 9448	N	11	12	11	4
9449	Pct 9449	N	11	12	11	4
9451	Pct 9451	N	11	12	11	4
9453	Pct 9453	N	11	14	11	4
9501	Pct 9501 MB	YES	6	12	11	5
9502	Pct 9502 MB	YES	6	12	11	5
9503	Pct 9503/9504	N	6	12	11	5
9505	Pct 9505	N	6	12	11	5
9506	Pct 9506	N	6	12	11	5
9507	Pct 9507	N	6	12	11	5
9511	Pct 9511/9509	N	6	12	11	5
9512	Pct 9512/9508	N	6	12	11	5
9513	Pct 9513	N	6	12	11	5
9514	Pct 9514/9522	N	6	12	11	5
9516	Pct 9516/9515	N	6	12	11	5
9517	Pct 9517/9518	N	6	12	11	5
9519	Pct 9519	N	6	12	11	5
9521	Pct 9521	N	6	12	11	5
9701	Pct 9701	N	8	12	11	7
9702	Pct 9702	N	8	12	11	7
9703	Pct 9703	N	8	12	11	7
9704	Pct 9704	N	8	12	11	7
9705	Pct 9705/9708	N	8	12	11	7
9706	Pct 9706 MB	YES	8	12	11	7
9709	Pct 9709	N	8	12	11	7
9711	Pct 9711/9707	N	8	12	11	7
9712	Pct 9712/9715	N	8	14	11	7
9716	Pct 9716	N	8	12	11	7
9717	Pct 9717/9713	N	8	12	11	7
9718	Pct 9718/9714	N	8	14	11	7
9719	Pct 9719	N	8	14	11	7
9721	Pct 9721	N	8	14	11	7
9722	Pct 9722	N	8	14	11	7
9723	Pct 9723	N	8	14	11	7
9724	Pct 9724	N	8	14	11	7
9725	Pct 9725	N	8	14	11	7
9726	Pct 9726	N	8	14	11	7
9727	Pct 9727	N	8	14	11	7
9728	Pct 9728/9746	N	8	14	11	7
9729	Pct 9729	N	8	14	11	7
9731	Pct 9731	N	8	14	11	7
9732	Pct 9732 MB	YES	8	12	11	7
9733	Pct 9733 MB	YES	8	14	11	7
9734	Pct 9734/9735	N	8	14	11	7
9737	Pct 9737/9736	N	8	14	11	7
9738	Pct 9738	N	8	14	11	7
9739	Pct 9739	N	8	14	11	7
9741	Pct 9741	N	8	14	11	7
9742	Pct 9742	N	8	14	11	7
9743	Pct 9743	N	8	14	11	7
9744	Pct 9744	N	8	14	11	7
9745	Pct 9745	N	8	14	11	7
9748	Pct 9748	N	8	14	11	7
9749	Pct 9749/9747	N	8	14	11	7
9751	Pct 9751	N	8	14	11	7
9752	Pct 9752	N	8	14	11	7
9753	Pct 9753	N	8	14	11	7
9754	Pct 9754	N	8	14	11	7
9755	Pct 9755	N	8	14	11	7
9756	Pct 9756	N	8	14	11	7
9801	Pct 9801	N	9	14	11	8
9900	Pct 9900 MB	YES	2	13	11	10
9901	Pct 9901 MB	YES	9	14	11	8
9902	Pct 9902 MB	YES	8	14	11	7
