area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	086:MALIA COHEN	087:MARK BURNS
PCT7653	MV	1280	673	0	0	62	611	538	73
PCT7701	ED	1064	296	0	0	24	272	241	31
PCT7701	MV	1064	597	0	0	50	547	488	59
PCT7702	ED	748	180	0	0	21	159	137	22
PCT7702	MV	748	415	0	0	36	379	304	75
PCT7703	MV	171	79	0	1	13	65	55	10
PCT7704	ED	1008	257	0	0	22	235	190	45
PCT7704	MV	1008	557	0	0	40	517	421	96
PCT7705	ED	568	149	0	0	16	133	114	19
PCT7705	MV	568	335	0	0	18	317	254	63
PCT7706	ED	840	252	0	0	20	232	196	36
PCT7706	MV	840	467	0	0	35	432	346	86
PCT7707	ED	857	241	1	0	16	224	193	31
PCT7707	MV	857	495	0	0	39	456	397	59
PCT7708	ED	871	205	0	0	16	189	164	25
PCT7708	MV	871	540	0	0	39	501	426	75
PCT7709	ED	391	102	0	0	8	94	79	15
PCT7709	MV	391	222	0	0	9	213	186	27
PCT7711	ED	766	198	0	0	17	181	163	18
PCT7711	MV	766	422	0	0	28	394	354	40
PCT7712	ED	529	149	0	0	9	140	125	15
PCT7712	MV	529	296	0	0	12	284	247	37
PCT7801	ED	1001	264	1	0	20	243	226	17
PCT7801	MV	1001	596	0	0	40	556	509	47
PCT7802	ED	788	230	0	0	25	205	193	12
PCT7802	MV	788	458	0	0	36	422	385	37
PCT7803	ED	828	174	0	0	17	157	145	12
PCT7803	MV	828	552	0	0	36	516	466	50
PCT7804	ED	893	257	0	0	23	234	226	8
PCT7804	MV	893	533	0	0	39	494	459	35
PCT7805	ED	825	228	0	0	20	208	204	4
PCT7805	MV	825	484	0	0	28	456	415	41
PCT7806	ED	716	208	2	0	10	196	185	11
PCT7806	MV	716	407	0	0	31	376	352	24
PCT7807	ED	844	276	0	0	21	255	244	11
PCT7807	MV	844	417	0	0	34	383	368	15
PCT7808	ED	655	211	0	0	22	189	183	6
PCT7808	MV	655	333	0	0	27	306	289	17
PCT7809	ED	781	238	0	0	13	225	211	14
PCT7809	MV	781	405	0	0	21	384	359	25
PCT7811	ED	783	249	0	0	18	231	214	17
PCT7811	MV	783	404	0	0	22	382	360	22
PCT7812	ED	877	257	0	0	23	234	210	24
PCT7812	MV	877	454	0	0	35	419	402	17
PCT7813	ED	1064	308	1	0	25	282	270	12
PCT7813	MV	1064	585	0	0	32	553	524	29
PCT7814	ED	936	228	0	0	26	202	182	20
PCT7814	MV	936	341	0	1	21	319	295	24
PCT7815	ED	954	238	0	0	23	215	204	11
PCT7815	MV	954	573	0	0	40	533	505	28
PCT7816	ED	865	236	0	0	18	218	207	11
PCT7816	MV	865	531	1	0	26	504	482	22
PCT7817	ED	823	277	0	1	26	250	235	15
PCT7817	MV	823	439	0	0	24	415	399	16
PCT7818	ED	860	234	0	0	17	217	208	9
PCT7818	MV	860	452	2	0	36	414	396	18
