area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	084:RICARDO LARA	085:STEVE POIZNER
PCT7529	ED	948	294	0	0	0	27	267	207	60
PCT7529	MV	948	486	0	0	0	29	457	354	103
PCT7531	ED	865	225	0	0	0	9	216	172	44
PCT7531	MV	865	442	0	0	0	29	413	318	95
PCT7532	ED	852	246	0	0	0	26	220	173	47
PCT7532	MV	852	398	0	0	1	27	370	252	118
PCT7533	ED	1015	354	0	0	0	18	336	266	70
PCT7533	MV	1015	490	0	0	0	41	449	324	125
PCT7534	ED	936	322	0	0	0	24	298	238	60
PCT7534	MV	936	415	0	0	0	31	384	281	103
PCT7535	ED	767	261	0	0	0	17	244	190	54
PCT7535	MV	767	387	0	0	0	27	360	275	85
PCT7536	ED	863	291	0	0	0	22	269	213	56
PCT7536	MV	863	421	0	0	0	21	400	309	91
PCT7537	ED	752	240	0	0	0	19	221	177	44
PCT7537	MV	752	363	0	0	0	25	338	261	77
PCT7538	ED	771	246	0	0	0	10	236	184	52
PCT7538	MV	771	400	0	0	0	27	373	286	87
PCT7539	ED	922	330	0	0	0	30	300	258	42
PCT7539	MV	922	428	0	0	0	40	388	297	91
PCT7541	ED	805	245	0	0	0	12	233	185	48
PCT7541	MV	805	400	0	0	0	29	371	293	78
PCT7542	ED	821	270	0	0	0	20	250	201	49
PCT7542	MV	821	389	0	0	0	23	366	287	79
PCT7543	ED	909	215	0	0	1	16	198	164	34
PCT7543	MV	909	467	0	0	0	30	437	338	99
PCT7544	ED	898	256	0	0	0	25	231	179	52
PCT7544	MV	898	479	0	0	0	30	449	344	105
PCT7545	ED	918	273	0	0	0	18	255	197	58
PCT7545	MV	918	480	0	0	0	46	434	314	120
PCT7546	ED	982	304	0	0	0	30	274	213	61
PCT7546	MV	982	517	0	0	1	29	487	371	116
PCT7547	ED	1029	314	0	0	0	29	285	223	62
PCT7547	MV	1029	505	0	0	0	44	461	358	103
PCT7548	ED	1073	317	1	0	0	27	289	230	59
PCT7548	MV	1073	512	0	0	0	30	482	331	151
PCT7549	ED	811	215	0	0	0	22	193	142	51
PCT7549	MV	811	431	0	0	0	44	387	273	114
PCT7551	ED	741	239	0	0	0	19	220	167	53
PCT7551	MV	741	394	0	0	0	21	373	283	90
PCT7552	ED	727	241	0	0	0	19	222	168	54
PCT7552	MV	727	360	0	0	0	34	326	241	85
PCT7553	MV	180	126	0	0	0	9	117	79	38
PCT7554	ED	808	247	0	0	0	21	226	155	71
PCT7554	MV	808	442	0	0	0	39	403	277	126
PCT7555	ED	886	289	0	0	0	23	266	198	68
PCT7555	MV	886	459	0	0	1	28	430	288	142
PCT7556	ED	969	275	0	0	0	19	256	176	80
PCT7556	MV	969	573	0	0	0	28	545	365	180
PCT7601	ED	767	190	0	0	0	15	175	129	46
PCT7601	MV	767	290	0	0	1	29	260	202	58
PCT7602	ED	901	210	0	0	0	21	189	149	40
PCT7602	MV	901	379	0	0	0	32	347	269	78
PCT7603	ED	830	249	0	0	0	20	229	184	45
PCT7603	MV	830	376	0	0	1	34	341	270	71
PCT7604	ED	954	265	0	0	0	27	238	185	53
PCT7604	MV	954	352	0	0	0	22	330	255	75
PCT7605	ED	648	120	0	0	0	15	105	81	24
PCT7605	MV	648	203	0	0	1	20	182	149	33
PCT7606	ED	924	204	0	0	0	25	179	131	48
PCT7606	MV	924	330	0	0	0	36	294	218	76
PCT7607	ED	960	215	0	0	0	20	195	153	42
PCT7607	MV	960	407	0	0	0	25	382	284	98
PCT7608	ED	392	70	0	0	0	7	63	48	15
PCT7608	MV	392	136	0	0	0	23	113	77	36
PCT7609	ED	926	120	0	0	1	17	102	70	32
PCT7609	MV	926	352	0	0	0	63	289	219	70
PCT7611	ED	755	126	0	0	0	21	105	67	38
PCT7611	MV	755	269	0	0	0	57	212	144	68
PCT7612	ED	583	97	0	0	0	17	80	55	25
PCT7612	MV	583	265	0	0	0	41	224	145	79
PCT7613	ED	908	202	0	0	0	26	176	134	42
PCT7613	MV	908	340	0	0	0	35	305	226	79
PCT7614	ED	1029	223	0	0	0	32	191	145	46
PCT7614	MV	1029	375	0	0	1	14	360	265	95
PCT7615	ED	762	162	0	0	0	33	129	93	36
PCT7615	MV	762	237	0	0	0	45	192	141	51
PCT7616	ED	1203	322	0	0	0	36	286	210	76
PCT7616	MV	1203	686	0	0	0	44	642	476	166
PCT7617	ED	768	102	0	0	1	17	84	60	24
PCT7617	MV	768	261	0	0	0	33	228	151	77
PCT7618	ED	862	168	0	0	0	12	156	119	37
PCT7618	MV	862	407	0	0	0	20	387	289	98
PCT7619	ED	1063	219	0	0	0	14	205	156	49
PCT7619	MV	1063	563	0	0	1	36	526	390	136
PCT7621	ED	1320	287	0	0	0	22	265	199	66
PCT7621	MV	1320	668	0	0	0	49	619	428	191
PCT7622	ED	988	170	0	0	0	22	148	109	39
PCT7622	MV	988	301	0	0	0	28	273	200	73
PCT7623	ED	746	182	0	0	0	22	160	119	41
PCT7623	MV	746	297	0	0	0	30	267	208	59
PCT7624	ED	859	142	0	0	0	10	132	101	31
PCT7624	MV	859	290	0	0	2	27	261	188	73
PCT7625	ED	822	66	0	0	0	12	54	33	21
PCT7625	MV	822	475	0	0	0	85	390	260	130
PCT7626	ED	1114	224	0	0	0	16	208	147	61
PCT7626	MV	1114	612	0	0	0	52	560	359	201
PCT7627	ED	1187	266	0	0	0	32	234	156	78
PCT7627	MV	1187	582	0	0	0	60	522	276	246
PCT7628	ED	960	239	0	0	0	18	221	175	46
PCT7628	MV	960	428	0	0	1	32	395	306	89
PCT7629	ED	809	208	0	0	1	19	188	153	35
PCT7629	MV	809	343	0	0	0	28	315	219	96
PCT7631	ED	1155	266	0	0	0	33	233	161	72
PCT7631	MV	1155	576	0	0	1	51	524	356	168
PCT7632	ED	1124	288	0	0	0	39	249	198	51
PCT7632	MV	1124	561	0	0	0	31	530	396	134
PCT7633	ED	741	137	0	0	0	16	121	93	28
PCT7633	MV	741	392	0	0	0	51	341	228	113
PCT7634	ED	900	194	0	0	1	31	162	117	45
PCT7634	MV	900	421	0	0	0	42	379	244	135
PCT7635	ED	840	157	0	0	0	20	137	100	37
PCT7635	MV	840	382	0	0	0	35	347	235	112
PCT7636	ED	938	246	0	0	0	21	225	158	67
PCT7636	MV	938	465	0	0	1	39	425	251	174
PCT7637	ED	809	193	0	0	0	17	176	113	63
PCT7637	MV	809	404	0	0	0	36	368	230	138
PCT7638	ED	1467	294	0	0	0	34	260	157	103
PCT7638	MV	1467	871	1	0	1	71	798	457	341
PCT7639	ED	1011	241	0	0	0	31	210	140	70
PCT7639	MV	1011	559	0	0	0	58	501	317	184
PCT7641	ED	972	204	0	0	0	27	177	110	67
PCT7641	MV	972	549	0	0	0	47	502	289	213
PCT7642	ED	937	152	0	0	0	12	140	99	41
