area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
PCT7702	ED	748	180	0	0	11	169	24	145
PCT7702	MV	748	415	0	0	11	404	68	336
PCT7703	MV	171	79	0	1	4	74	7	67
PCT7704	ED	1008	257	0	0	15	242	41	201
PCT7704	MV	1008	557	0	0	15	542	97	445
PCT7705	ED	568	149	0	0	6	143	18	125
PCT7705	MV	568	335	0	0	7	328	63	265
PCT7706	ED	840	252	0	0	5	247	39	208
PCT7706	MV	840	467	0	1	13	453	83	370
PCT7707	ED	857	241	1	0	4	236	34	202
PCT7707	MV	857	495	0	0	20	475	57	418
PCT7708	ED	871	205	0	0	6	199	22	177
PCT7708	MV	871	540	0	0	18	522	69	453
PCT7709	ED	391	102	0	0	6	96	19	77
PCT7709	MV	391	222	0	0	9	213	30	183
PCT7711	ED	766	198	0	0	9	189	22	167
PCT7711	MV	766	422	0	0	17	405	44	361
PCT7712	ED	529	149	0	0	1	148	16	132
PCT7712	MV	529	296	0	0	7	289	31	258
PCT7801	ED	1001	264	1	0	6	257	23	234
PCT7801	MV	1001	596	0	2	13	581	59	522
PCT7802	ED	788	230	0	0	13	217	12	205
PCT7802	MV	788	458	0	0	16	442	39	403
PCT7803	ED	828	174	0	0	4	170	13	157
PCT7803	MV	828	552	0	0	16	536	44	492
PCT7804	ED	893	257	0	0	12	245	10	235
PCT7804	MV	893	533	0	0	10	523	35	488
PCT7805	ED	825	228	0	0	10	218	3	215
PCT7805	MV	825	484	0	0	9	475	28	447
PCT7806	ED	716	208	2	0	6	200	12	188
PCT7806	MV	716	407	0	0	19	388	27	361
PCT7807	ED	844	276	0	0	8	268	11	257
PCT7807	MV	844	417	0	0	14	403	19	384
PCT7808	ED	655	211	0	0	9	202	9	193
PCT7808	MV	655	333	0	0	17	316	12	304
PCT7809	ED	781	238	0	0	9	229	9	220
PCT7809	MV	781	405	0	0	14	391	18	373
PCT7811	ED	783	249	0	0	9	240	20	220
PCT7811	MV	783	404	0	0	11	393	26	367
PCT7812	ED	877	257	0	0	15	242	29	213
PCT7812	MV	877	454	0	0	18	436	19	417
PCT7813	ED	1064	308	1	1	8	298	16	282
PCT7813	MV	1064	585	0	0	17	568	34	534
PCT7814	ED	936	228	0	0	18	210	21	189
PCT7814	MV	936	341	0	1	11	329	23	306
PCT7815	ED	954	238	0	0	5	233	19	214
PCT7815	MV	954	573	0	0	22	551	30	521
PCT7816	ED	865	236	0	0	4	232	12	220
PCT7816	MV	865	531	1	0	21	509	20	489
PCT7817	ED	823	277	0	0	19	258	19	239
PCT7817	MV	823	439	0	0	13	426	17	409
PCT7818	ED	860	234	0	0	6	228	13	215
PCT7818	MV	860	452	2	0	24	426	19	407
PCT7819	ED	793	191	0	0	6	185	23	162
PCT7819	MV	793	420	0	0	17	403	28	375
PCT7821	ED	985	248	0	0	14	234	16	218
PCT7821	MV	985	630	0	0	22	608	45	563
PCT7822	ED	908	275	0	0	16	259	21	238
PCT7822	MV	908	480	0	0	13	467	32	435
PCT7823	ED	879	270	6	0	7	257	8	249
PCT7823	MV	879	501	0	0	14	487	32	455
PCT7824	ED	768	247	0	0	13	234	8	226
PCT7824	MV	768	383	0	0	18	365	27	338
PCT7825	ED	597	191	0	0	8	183	13	170
PCT7825	MV	597	302	0	0	10	292	16	276
PCT7826	ED	684	258	0	0	8	250	16	234
PCT7826	MV	684	319	0	0	14	305	18	287
PCT7827	ED	831	261	0	0	17	244	11	233
PCT7827	MV	831	361	0	0	16	345	25	320
PCT7828	ED	1018	261	0	0	12	249	21	228
PCT7828	MV	1018	549	0	0	13	536	40	496
PCT7829	ED	907	237	1	0	8	228	19	209
PCT7829	MV	907	557	0	0	13	544	47	497
PCT7831	ED	882	233	0	0	4	229	12	217
PCT7831	MV	882	544	0	0	19	525	29	496
PCT7832	ED	780	188	0	0	9	179	14	165
PCT7832	MV	780	488	0	0	17	471	27	444
PCT7833	ED	747	230	0	0	10	220	12	208
PCT7833	MV	747	412	0	0	14	398	22	376
PCT7834	ED	867	277	0	0	15	262	21	241
PCT7834	MV	867	439	0	0	22	417	12	405
PCT7835	ED	847	211	0	0	8	203	23	180
PCT7835	MV	847	505	1	1	14	489	45	444
PCT7836	ED	1023	260	0	0	9	251	29	222
PCT7836	MV	1023	623	0	0	20	603	65	538
PCT7837	ED	911	260	0	1	5	254	19	235
PCT7837	MV	911	509	2	0	13	494	40	454
PCT7838	ED	926	239	0	0	11	228	15	213
