area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	124:EVA I. CHAO	125:BRIAN J. LARKIN	126:JONATHAN LYENS	127:JANICE LI	128:MELANIE NUTTER	129:WILLIAM WALKER
PCT9133	ED	1021	271	0	3	47	221	0	42	26	23	82	41	7
PCT9133	MV	1021	503	0	9	98	396	1	55	49	68	148	66	9
PCT9134	ED	893	210	0	2	62	146	0	23	18	17	61	19	8
PCT9134	MV	893	469	0	6	106	357	1	60	39	46	136	67	8
PCT9135	ED	808	215	0	2	52	161	1	19	40	20	46	28	7
PCT9135	MV	808	389	0	8	102	279	1	40	71	42	70	49	6
PCT9136	ED	929	253	0	2	71	180	2	35	23	21	55	33	11
PCT9136	MV	929	439	0	6	90	343	1	68	47	52	108	62	5
PCT9137	ED	1006	260	0	2	53	205	0	46	30	27	59	36	7
PCT9137	MV	1006	467	0	3	109	355	0	61	56	43	127	57	11
PCT9138	ED	943	226	1	3	55	167	0	39	32	15	58	18	5
PCT9138	MV	943	477	1	1	86	389	1	82	48	63	141	51	3
PCT9139	ED	975	243	0	1	67	175	2	33	30	20	60	22	8
PCT9139	MV	975	510	0	9	110	391	0	91	54	58	120	51	17
PCT9141	ED	953	252	0	4	52	196	0	28	36	21	73	28	10
PCT9141	MV	953	477	0	6	88	383	2	83	47	55	126	60	10
PCT9142	ED	966	276	0	1	63	212	0	30	32	25	82	32	11
PCT9142	MV	966	459	0	3	83	373	0	59	45	58	152	50	9
PCT9143	ED	920	251	0	0	67	184	0	21	15	22	83	32	11
PCT9143	MV	920	463	0	5	119	339	0	62	54	45	129	42	7
PCT9144	ED	962	293	0	1	64	228	0	28	25	32	97	37	9
PCT9144	MV	962	482	0	2	100	380	0	61	48	40	148	69	14
PCT9145	ED	861	249	1	2	44	202	1	24	31	21	86	30	9
PCT9145	MV	861	423	0	1	107	315	1	45	31	44	132	51	11
PCT9146	ED	885	245	0	2	61	182	1	20	26	19	72	34	10
PCT9146	MV	885	464	0	1	79	384	0	50	41	49	164	69	11
PCT9147	ED	971	281	0	0	82	199	0	22	21	25	94	31	6
PCT9147	MV	971	492	0	5	98	389	0	73	37	36	179	57	7
PCT9148	ED	1034	325	0	1	78	246	2	34	42	27	93	38	10
PCT9148	MV	1034	513	0	7	105	401	0	59	47	52	170	59	14
PCT9149	ED	948	264	0	3	65	196	0	21	23	28	82	37	5
PCT9149	MV	948	478	0	6	93	379	2	34	50	56	165	58	14
PCT9151	ED	872	227	0	5	48	174	2	30	28	21	48	37	8
PCT9151	MV	872	418	0	5	115	298	1	37	43	41	92	79	5
PCT9152	ED	721	270	0	2	57	211	1	32	27	15	89	33	14
PCT9152	MV	721	279	0	3	52	224	0	39	18	37	82	40	8
PCT9201	ED	1004	300	0	0	74	226	1	24	34	28	86	42	11
PCT9201	MV	1004	475	0	5	93	377	0	45	51	37	155	70	19
PCT9202	ED	971	294	0	6	81	207	2	38	26	22	63	48	8
PCT9202	MV	971	426	0	2	97	327	1	57	28	39	109	82	11
PCT9203	ED	1002	239	0	2	94	143	0	46	26	17	23	28	3
PCT9203	MV	1002	536	0	6	180	350	1	105	31	30	83	90	10
PCT9204	ED	873	273	0	0	100	173	0	53	35	11	28	35	11
PCT9204	MV	873	393	0	0	128	265	0	67	40	33	45	75	5
PCT9205	ED	728	208	0	1	83	124	0	34	20	15	30	22	3
PCT9205	MV	728	376	0	4	110	262	0	49	27	37	72	65	12
PCT9206	ED	931	249	0	1	87	161	1	52	26	13	28	37	4
PCT9206	MV	931	479	0	4	145	330	0	103	48	43	62	73	1
PCT9207	ED	981	262	0	2	103	157	0	40	22	22	39	28	6
PCT9207	MV	981	502	0	5	151	346	1	85	38	45	76	88	13
PCT9208	ED	1002	287	0	1	98	188	0	48	36	17	35	42	10
PCT9208	MV	1002	491	0	3	133	355	2	82	47	36	89	92	7
PCT9209	ED	711	245	0	0	80	165	0	47	24	16	35	35	8
PCT9209	MV	711	327	0	5	106	216	0	53	31	33	46	51	2
PCT9211	ED	889	234	0	2	81	151	0	39	25	18	32	34	3
PCT9211	MV	889	432	0	4	129	299	0	64	37	32	74	82	10
PCT9212	ED	803	234	0	1	78	155	0	43	23	12	38	32	7
PCT9212	MV	803	400	0	2	113	285	5	62	31	36	74	70	7
PCT9213	ED	951	264	0	5	85	174	0	45	35	19	41	22	12
PCT9213	MV	951	508	0	3	158	347	0	66	39	42	114	76	10
PCT9214	ED	640	166	0	1	55	110	0	36	13	12	20	22	7
