area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	130:CARMEN CHU	131:PAUL BELLAR
PCT7504	ED	503	112	-1	0	18	0	95	1	77	17
PCT7504	MV	503	222	6	0	20	0	196	2	155	39
PCT7505	ED	869	158	2	0	33	0	123	0	98	25
PCT7505	MV	869	532	8	1	83	0	440	4	377	59
PCT7506	ED	999	224	1	0	36	0	187	0	136	51
PCT7506	MV	999	473	4	1	73	0	395	2	302	91
PCT7507	ED	955	210	0	0	32	0	178	2	137	39
PCT7507	MV	955	344	3	0	26	0	315	1	253	61
PCT7508	ED	727	154	0	0	33	0	121	0	90	31
PCT7508	MV	727	427	9	0	48	0	370	0	305	65
PCT7509	ED	932	235	4	0	35	0	196	0	140	56
PCT7509	MV	932	470	6	1	47	0	416	1	323	92
PCT7512	ED	612	149	0	0	41	0	108	0	81	27
PCT7512	MV	612	283	2	0	36	0	245	0	177	68
PCT7513	ED	818	225	0	0	49	0	176	1	111	64
PCT7513	MV	818	315	3	0	45	0	267	1	186	80
PCT7514	ED	874	140	2	0	23	0	115	0	77	38
PCT7514	MV	874	305	1	1	35	0	268	0	218	50
PCT7515	ED	869	211	1	0	21	0	189	5	140	44
PCT7515	MV	869	389	2	1	34	0	352	0	278	74
PCT7516	ED	922	172	1	1	30	0	140	1	111	28
PCT7516	MV	922	538	7	1	68	0	462	4	376	82
PCT7517	ED	863	289	3	0	52	0	234	0	164	70
PCT7517	MV	863	410	9	0	65	0	336	1	242	93
PCT7518	ED	950	309	1	0	53	0	255	2	170	83
PCT7518	MV	950	480	7	0	83	0	390	0	284	106
PCT7519	ED	737	224	0	0	45	0	179	0	112	67
PCT7519	MV	737	355	6	1	71	0	277	1	193	83
PCT7521	ED	812	291	27	0	31	0	233	0	166	67
PCT7521	MV	812	354	7	0	62	0	285	2	210	73
PCT7522	ED	764	207	0	0	30	0	177	0	107	70
PCT7522	MV	764	397	5	1	49	0	342	0	230	112
PCT7523	ED	747	275	7	0	40	0	228	2	136	90
PCT7523	MV	747	359	11	0	54	0	294	1	208	85
PCT7524	ED	615	181	17	0	24	0	140	1	100	39
PCT7524	MV	615	262	7	0	30	0	225	0	167	58
PCT7525	ED	800	205	0	0	34	0	171	2	116	53
PCT7525	MV	800	341	1	1	68	0	271	0	210	61
PCT7526	ED	1011	291	2	0	51	0	238	1	157	80
PCT7526	MV	1011	552	9	0	76	0	467	1	361	105
PCT7527	ED	725	208	0	1	23	0	184	1	105	78
PCT7527	MV	725	339	5	1	36	0	297	1	215	81
PCT7529	ED	948	294	3	0	60	0	231	0	154	77
PCT7529	MV	948	486	7	1	70	0	408	0	267	141
PCT7531	ED	865	225	3	0	31	0	191	1	138	52
PCT7531	MV	865	442	4	0	72	0	366	1	249	116
PCT7532	ED	852	246	4	0	54	0	188	0	127	61
PCT7532	MV	852	398	7	0	56	0	335	2	262	71
PCT7533	ED	1015	354	1	0	50	0	303	1	191	111
PCT7533	MV	1015	490	8	0	71	0	411	1	278	132
PCT7534	ED	936	322	1	1	57	0	263	1	164	98
PCT7534	MV	936	415	2	0	56	0	357	2	242	113
PCT7535	ED	767	261	1	0	47	0	213	1	144	68
PCT7535	MV	767	387	11	0	59	0	317	1	238	78
PCT7536	ED	863	291	0	0	44	0	247	2	154	91
PCT7536	MV	863	421	5	1	53	0	362	0	271	91
PCT7537	ED	752	240	-5	1	45	0	199	1	131	67
PCT7537	MV	752	363	5	0	46	0	312	2	217	93
PCT7538	ED	771	246	2	0	37	0	207	0	137	70
PCT7538	MV	771	400	6	0	59	0	335	3	229	103
PCT7539	ED	922	330	5	0	60	0	265	1	153	111
PCT7539	MV	922	428	3	0	61	0	364	2	246	116
PCT7541	ED	805	245	0	0	41	0	204	0	138	66
PCT7541	MV	805	400	5	3	48	0	344	1	231	112
PCT7542	ED	821	270	1	0	38	0	231	0	142	89
PCT7542	MV	821	389	1	0	54	0	334	2	223	109
PCT7543	ED	909	215	0	0	45	0	170	0	114	56
PCT7543	MV	909	467	8	1	52	0	406	1	309	96
PCT7544	ED	898	256	0	0	58	0	198	1	136	61
PCT7544	MV	898	479	10	0	54	0	415	0	305	110
PCT7545	ED	918	273	1	0	51	0	221	0	138	83
PCT7545	MV	918	480	6	0	74	0	400	0	300	100
PCT7546	ED	982	304	0	0	58	0	246	2	171	73
PCT7546	MV	982	517	5	0	59	0	453	2	330	121
PCT7547	ED	1029	314	1	0	61	0	252	3	165	84
PCT7547	MV	1029	505	10	0	71	0	424	1	291	132
PCT7548	ED	1073	317	7	0	45	0	265	0	175	90
PCT7548	MV	1073	512	11	0	57	0	444	1	327	116
PCT7549	ED	811	215	1	0	41	0	173	0	121	52
PCT7549	MV	811	431	0	1	74	0	356	0	283	73
PCT7551	ED	741	239	1	0	43	0	195	2	141	52
PCT7551	MV	741	394	9	2	53	0	330	0	234	96
PCT7552	ED	727	241	0	0	46	0	195	0	142	53
PCT7552	MV	727	360	15	0	50	0	295	1	240	54
PCT7553	MV	180	126	3	0	16	0	107	0	88	19
PCT7554	ED	808	247	1	0	43	0	203	2	146	55
PCT7554	MV	808	442	16	0	73	0	353	1	297	55
PCT7555	ED	886	289	-4	0	34	0	259	0	203	56
PCT7555	MV	886	459	9	1	67	0	382	0	305	77
PCT7556	ED	969	275	1	0	50	0	224	2	167	55
PCT7556	MV	969	573	6	0	65	0	502	1	428	73
PCT7601	ED	767	190	1	0	26	0	163	1	103	59
PCT7601	MV	767	290	1	1	32	0	256	0	169	87
PCT7602	ED	901	210	-1	0	34	0	177	3	91	83
PCT7602	MV	901	379	5	0	44	0	330	4	203	123
PCT7603	ED	830	249	2	0	36	0	211	0	120	91
PCT7603	MV	830	376	2	0	51	0	323	1	226	96
PCT7604	ED	954	265	2	0	43	0	220	0	130	90
PCT7604	MV	954	352	2	0	37	0	313	1	199	113
PCT7605	ED	648	120	0	0	21	0	99	0	70	29
PCT7605	MV	648	203	0	2	19	0	182	3	130	49
PCT7606	ED	924	204	3	1	40	0	160	1	94	65
PCT7606	MV	924	330	4	0	41	0	285	2	180	103
PCT7607	ED	960	215	1	1	42	0	171	1	107	63
PCT7607	MV	960	407	5	1	38	0	363	3	250	110
PCT7608	ED	392	70	0	0	10	0	60	0	42	18
PCT7608	MV	392	136	1	2	13	0	120	0	93	27
PCT7609	ED	926	120	0	0	24	0	96	1	57	38
PCT7609	MV	926	352	6	2	36	0	308	4	247	57
PCT7611	ED	755	126	1	0	18	0	107	1	71	35
PCT7611	MV	755	269	1	1	39	0	228	0	177	51
PCT7612	ED	583	97	0	0	17	0	80	1	50	29
PCT7612	MV	583	265	4	0	29	0	232	2	184	46
PCT7613	ED	908	202	1	0	39	0	162	0	105	57
PCT7613	MV	908	340	2	1	36	0	301	2	211	88
PCT7614	ED	1029	223	1	0	47	0	175	1	105	69
PCT7614	MV	1029	375	8	0	36	0	331	1	209	121
PCT7615	ED	762	162	1	0	30	0	131	2	69	60
PCT7615	MV	762	237	1	0	29	0	207	0	153	54
PCT7616	ED	1203	322	1	0	85	0	236	0	161	75
PCT7616	MV	1203	686	3	1	105	0	577	2	424	151
PCT7617	ED	768	102	3	1	15	0	83	0	46	37
PCT7617	MV	768	261	2	0	25	0	234	0	167	67
PCT7618	ED	862	168	1	0	29	0	138	0	86	52
PCT7618	MV	862	407	5	1	56	0	345	0	259	86
PCT7619	ED	1063	219	2	0	32	0	185	1	111	73
