area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	076:ALEX PADILLA	077:MARK P. MEUSER
PCT7551	ED	741	239	0	0	8	231	219	12
PCT7551	MV	741	394	0	0	11	383	366	17
PCT7552	ED	727	241	0	0	10	231	223	8
PCT7552	MV	727	360	0	0	13	347	331	16
PCT7553	MV	180	126	0	0	4	122	109	13
PCT7554	ED	808	247	0	0	8	239	219	20
PCT7554	MV	808	442	0	0	13	429	402	27
PCT7555	ED	886	289	0	0	9	280	268	12
PCT7555	MV	886	459	0	0	11	448	424	24
PCT7556	ED	969	275	0	0	8	267	238	29
PCT7556	MV	969	573	0	0	10	563	535	28
PCT7601	ED	767	190	0	0	9	181	165	16
PCT7601	MV	767	290	0	0	11	279	244	35
PCT7602	ED	901	210	0	0	13	197	179	18
PCT7602	MV	901	379	0	0	22	357	326	31
PCT7603	ED	830	249	0	0	11	238	223	15
PCT7603	MV	830	376	0	1	17	358	320	38
PCT7604	ED	954	265	0	0	21	244	217	27
PCT7604	MV	954	352	0	0	15	337	303	34
PCT7605	ED	648	120	0	0	13	107	94	13
PCT7605	MV	648	203	0	1	14	188	161	27
PCT7606	ED	924	204	0	1	21	182	157	25
PCT7606	MV	924	330	0	0	14	316	284	32
PCT7607	ED	960	215	0	1	15	199	179	20
PCT7607	MV	960	407	0	0	18	389	341	48
PCT7608	ED	392	70	0	0	2	68	55	13
PCT7608	MV	392	136	0	0	17	119	91	28
PCT7609	ED	926	120	0	1	19	100	83	17
PCT7609	MV	926	352	0	0	54	298	248	50
PCT7611	ED	755	126	0	0	20	106	91	15
PCT7611	MV	755	269	0	0	49	220	190	30
PCT7612	ED	583	97	0	0	10	87	70	17
PCT7612	MV	583	265	0	0	23	242	201	41
PCT7613	ED	908	202	0	0	19	183	166	17
PCT7613	MV	908	340	0	0	23	317	273	44
PCT7614	ED	1029	223	0	0	24	199	185	14
PCT7614	MV	1029	375	0	2	12	361	315	46
PCT7615	ED	762	162	0	0	25	137	114	23
PCT7615	MV	762	237	0	0	27	210	172	38
PCT7616	ED	1203	322	0	0	15	307	274	33
PCT7616	MV	1203	686	0	0	16	670	614	56
PCT7617	ED	768	102	0	2	11	89	75	14
PCT7617	MV	768	261	0	0	27	234	184	50
PCT7618	ED	862	168	0	0	3	165	150	15
PCT7618	MV	862	407	0	0	15	392	350	42
PCT7619	ED	1063	219	0	0	8	211	191	20
PCT7619	MV	1063	563	0	0	22	541	488	53
PCT7621	ED	1320	287	0	0	12	275	254	21
PCT7621	MV	1320	668	0	0	23	645	575	70
PCT7622	ED	988	170	0	0	17	153	139	14
PCT7622	MV	988	301	0	0	21	280	238	42
PCT7623	ED	746	182	0	0	17	165	155	10
PCT7623	MV	746	297	0	0	20	277	239	38
PCT7624	ED	859	142	0	0	8	134	120	14
PCT7624	MV	859	290	0	1	22	267	232	35
PCT7625	ED	822	66	0	0	10	56	42	14
PCT7625	MV	822	475	0	0	85	390	307	83
PCT7626	ED	1114	224	0	0	7	217	201	16
PCT7626	MV	1114	612	0	0	17	595	528	67
PCT7627	ED	1187	266	0	0	18	248	217	31
PCT7627	MV	1187	582	0	0	34	548	439	109
PCT7628	ED	960	239	0	0	12	227	205	22
PCT7628	MV	960	428	0	1	17	410	383	27
PCT7629	ED	809	208	0	0	11	197	182	15
PCT7629	MV	809	343	0	0	15	328	296	32
PCT7631	ED	1155	266	0	0	27	239	208	31
PCT7631	MV	1155	576	0	0	31	545	495	50
PCT7632	ED	1124	288	0	0	16	272	245	27
PCT7632	MV	1124	561	0	0	19	542	500	42
PCT7633	ED	741	137	0	0	6	131	118	13
PCT7633	MV	741	392	0	0	40	352	304	48
PCT7634	ED	900	194	0	1	21	172	149	23
PCT7634	MV	900	421	0	0	26	395	335	60
PCT7635	ED	840	157	0	0	12	145	131	14
PCT7635	MV	840	382	0	0	15	367	338	29
PCT7636	ED	938	246	0	0	13	233	203	30
PCT7636	MV	938	465	0	0	13	452	409	43
PCT7637	ED	809	193	0	0	4	189	150	39
PCT7637	MV	809	404	0	0	21	383	336	47
PCT7638	ED	1467	294	0	0	16	278	233	45
PCT7638	MV	1467	871	1	0	37	833	681	152
PCT7639	ED	1011	241	0	0	11	230	193	37
PCT7639	MV	1011	559	0	0	25	534	468	66
PCT7641	ED	972	204	0	0	18	186	149	37
PCT7641	MV	972	549	0	0	30	519	422	97
PCT7642	ED	937	152	0	0	5	147	134	13
PCT7642	MV	937	394	0	0	34	360	313	47
PCT7643	ED	920	168	0	0	14	154	136	18
PCT7643	MV	920	507	0	0	21	486	427	59
PCT7644	ED	1175	329	0	0	14	315	287	28
PCT7644	MV	1175	554	0	0	18	536	490	46
PCT7645	ED	640	120	0	0	4	116	98	18
PCT7645	MV	640	377	0	0	14	363	300	63
PCT7646	ED	1100	262	0	0	13	249	226	23
PCT7646	MV	1100	591	0	0	30	561	516	45
PCT7647	ED	1075	205	0	0	14	191	168	23
PCT7647	MV	1075	283	0	1	15	267	244	23
PCT7648	MV	1	0	0	0	0	0	0	0
PCT7649	ED	891	175	0	0	9	166	157	9
PCT7649	MV	891	395	0	0	26	369	316	53
PCT7651	ED	677	165	1	0	9	155	137	18
PCT7651	MV	677	351	0	0	11	340	312	28
PCT7652	ED	628	135	0	0	6	129	114	15
PCT7652	MV	628	301	0	1	15	285	259	26
PCT7653	ED	1280	299	0	1	21	277	253	24
PCT7653	MV	1280	673	0	0	29	644	582	62
PCT7701	ED	1064	295	0	0	10	285	256	29
PCT7701	MV	1064	597	0	0	26	571	512	59
PCT7702	ED	748	179	0	0	10	169	146	23
PCT7702	MV	748	415	0	0	28	387	329	58
PCT7703	MV	171	79	0	1	7	71	61	10
PCT7704	ED	1008	257	0	0	19	238	200	38
PCT7704	MV	1008	557	0	0	29	528	439	89
PCT7705	ED	568	149	0	0	14	135	121	14
PCT7705	MV	568	335	0	0	14	321	266	55
PCT7706	ED	840	252	0	0	14	238	207	31
PCT7706	MV	840	467	0	0	18	449	380	69
PCT7707	ED	857	240	1	0	13	226	197	29
PCT7707	MV	857	495	0	0	24	471	421	50
PCT7708	ED	871	205	0	0	14	191	166	25
PCT7708	MV	871	540	0	0	24	516	450	66
PCT7709	ED	391	102	0	0	4	98	85	13
PCT7709	MV	391	222	0	0	6	216	194	22
PCT7711	ED	766	197	0	0	9	188	167	21
PCT7711	MV	766	422	0	0	21	401	370	31
PCT7712	ED	529	148	0	0	3	145	129	16
PCT7712	MV	529	296	0	0	2	294	267	27
PCT7801	ED	1001	263	1	0	8	254	234	20
PCT7801	MV	1001	596	0	0	21	575	531	44
PCT7802	ED	788	229	0	0	13	216	207	9
PCT7802	MV	788	458	0	0	20	438	408	30
PCT7803	ED	828	173	0	0	7	166	157	9
PCT7803	MV	828	552	0	0	13	539	503	36
PCT7804	ED	893	257	0	0	9	248	241	7
PCT7804	MV	893	533	0	0	14	519	491	28
PCT7805	ED	825	226	0	0	7	219	216	3
PCT7805	MV	825	484	0	0	10	474	444	30
PCT7806	ED	716	207	2	0	3	202	194	8
PCT7806	MV	716	406	0	0	16	390	371	19
PCT7807	ED	844	276	0	0	7	269	261	8
PCT7807	MV	844	417	0	0	13	404	390	14
PCT7808	ED	655	211	0	0	6	205	198	7
PCT7808	MV	655	333	0	0	7	326	316	10
PCT7809	ED	781	237	0	0	11	226	216	10
PCT7809	MV	781	405	0	0	13	392	379	13
PCT7811	ED	783	249	0	0	9	240	224	16
PCT7811	MV	783	404	0	0	11	393	376	17
PCT7812	ED	877	256	0	0	11	245	223	22
PCT7812	MV	877	454	0	0	17	437	416	21
PCT7813	ED	1064	308	1	0	9	298	288	10
PCT7813	MV	1064	585	0	0	20	565	544	21
PCT7814	ED	936	227	0	0	15	212	195	17
PCT7814	MV	936	340	0	1	9	330	310	20
PCT7815	ED	954	238	0	0	6	232	222	10
PCT7815	MV	954	573	0	0	16	557	536	21
PCT7816	ED	865	235	0	0	7	228	215	13
PCT7816	MV	865	531	1	0	12	518	499	19
PCT7817	ED	823	276	0	1	8	267	256	11
PCT7817	MV	823	439	0	0	11	428	417	11
PCT7818	ED	860	232	0	0	10	222	216	6
