area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	042:Yes	043:No
PCT7546	MV	982	517	5	0	1	18	493	444	49
PCT7547	ED	1029	314	0	0	1	7	306	280	26
PCT7547	MV	1029	505	2	0	0	14	489	449	40
PCT7548	ED	1073	317	1	0	0	14	302	280	22
PCT7548	MV	1073	512	1	0	0	15	496	451	45
PCT7549	ED	811	215	0	0	0	14	201	178	23
PCT7549	MV	811	431	-3	0	0	25	409	356	53
PCT7551	ED	741	239	0	0	1	4	234	197	37
PCT7551	MV	741	394	1	0	0	15	378	332	46
PCT7552	ED	727	241	1	0	0	8	232	198	34
PCT7552	MV	727	360	1	0	0	11	348	321	27
PCT7553	MV	180	126	1	0	0	7	118	97	21
PCT7554	ED	808	247	0	0	0	7	240	206	34
PCT7554	MV	808	442	4	0	0	19	419	360	59
PCT7555	ED	886	289	-6	0	0	11	284	260	24
PCT7555	MV	886	459	1	0	0	22	436	380	56
PCT7556	ED	969	275	1	0	0	7	267	228	39
PCT7556	MV	969	573	0	0	0	19	554	495	59
PCT7601	ED	767	190	0	0	1	12	177	155	22
PCT7601	MV	767	290	1	0	0	13	276	250	26
PCT7602	ED	901	210	0	0	0	20	190	173	17
PCT7602	MV	901	379	3	0	1	13	362	319	43
PCT7603	ED	830	249	0	0	0	10	239	214	25
PCT7603	MV	830	376	0	0	0	9	367	314	53
PCT7604	ED	954	265	0	0	0	13	252	220	32
PCT7604	MV	954	352	2	0	0	19	331	296	35
PCT7605	ED	648	120	0	0	0	9	111	99	12
PCT7605	MV	648	203	-1	0	0	22	182	146	36
PCT7606	ED	924	204	3	0	0	18	183	156	27
PCT7606	MV	924	330	1	0	0	14	315	266	49
PCT7607	ED	960	215	-1	0	0	17	199	180	19
PCT7607	MV	960	407	3	0	2	17	385	328	57
PCT7608	ED	392	70	0	0	0	9	61	49	12
PCT7608	MV	392	136	0	0	0	16	120	95	25
PCT7609	ED	926	120	-1	0	0	22	99	91	8
PCT7609	MV	926	352	5	0	0	43	304	243	61
PCT7611	ED	755	126	0	0	0	11	115	99	16
PCT7611	MV	755	269	2	0	0	33	234	202	32
PCT7612	ED	583	97	1	0	0	11	85	58	27
PCT7612	MV	583	265	0	0	0	28	237	179	58
PCT7613	ED	908	202	-1	0	0	18	185	163	22
PCT7613	MV	908	340	1	0	0	23	316	259	57
PCT7614	ED	1029	223	2	0	0	20	201	177	24
PCT7614	MV	1029	375	1	0	0	15	359	307	52
PCT7615	ED	762	162	2	0	0	26	134	113	21
PCT7615	MV	762	237	-2	0	0	24	215	171	44
PCT7616	ED	1203	322	0	0	0	15	307	265	42
PCT7616	MV	1203	686	0	0	0	27	659	565	94
PCT7617	ED	768	102	1	0	0	11	90	72	18
PCT7617	MV	768	261	0	0	1	28	232	187	45
PCT7618	ED	862	168	0	0	0	9	159	143	16
PCT7618	MV	862	407	4	0	0	11	392	313	79
PCT7619	ED	1063	219	0	0	0	8	211	180	31
PCT7619	MV	1063	563	-1	0	0	26	538	447	91
PCT7621	ED	1320	287	1	0	0	11	275	241	34
PCT7621	MV	1320	668	4	0	0	29	635	535	100
PCT7622	ED	988	170	0	0	0	18	152	135	17
PCT7622	MV	988	301	4	0	0	17	280	241	39
PCT7623	ED	746	182	0	0	1	9	172	159	13
PCT7623	MV	746	297	2	0	0	13	282	234	48
PCT7624	ED	859	142	0	0	0	7	135	120	15
PCT7624	MV	859	290	1	0	0	18	271	226	45
PCT7625	ED	822	66	0	0	0	7	59	44	15
PCT7625	MV	822	475	1	0	0	72	402	287	115
PCT7626	ED	1114	224	0	0	0	11	213	175	38
PCT7626	MV	1114	612	0	0	0	22	590	499	91
PCT7627	ED	1187	266	0	0	0	11	255	213	42
PCT7627	MV	1187	582	5	0	0	29	548	416	132
PCT7628	ED	960	239	0	0	0	11	228	201	27
PCT7628	MV	960	428	2	0	0	20	406	350	56
PCT7629	ED	809	208	1	0	0	9	198	181	17
PCT7629	MV	809	343	3	0	0	13	327	276	51
PCT7631	ED	1155	266	0	0	0	11	255	223	32
PCT7631	MV	1155	576	2	0	0	29	545	459	86
PCT7632	ED	1124	288	3	0	0	9	276	237	39
PCT7632	MV	1124	561	1	0	0	10	550	469	81
PCT7633	ED	741	137	0	0	0	9	128	109	19
PCT7633	MV	741	392	1	0	0	29	362	273	89
PCT7634	ED	900	194	0	0	0	15	179	142	37
PCT7634	MV	900	421	2	0	0	27	392	323	69
PCT7635	ED	840	157	0	0	0	8	149	128	21
PCT7635	MV	840	382	2	0	0	19	361	295	66
PCT7636	ED	938	246	1	0	0	12	233	198	35
PCT7636	MV	938	465	3	0	0	19	443	336	107
PCT7637	ED	809	193	-1	0	0	13	181	137	44
PCT7637	MV	809	404	1	0	0	12	391	296	95
PCT7638	ED	1467	294	0	0	0	21	273	211	62
PCT7638	MV	1467	871	10	0	0	33	828	603	225
PCT7639	ED	1011	241	0	0	0	13	228	181	47
PCT7639	MV	1011	559	1	0	0	23	535	413	122
PCT7641	ED	972	204	-1	0	0	10	195	148	47
PCT7641	MV	972	549	3	0	1	24	521	416	105
PCT7642	ED	937	152	0	0	0	9	143	122	21
PCT7642	MV	937	394	2	0	0	51	341	279	62
PCT7643	ED	920	168	0	0	1	13	154	119	35
PCT7643	MV	920	507	1	0	0	29	477	360	117
PCT7644	ED	1175	329	1	0	0	15	313	262	51
PCT7644	MV	1175	554	4	0	0	26	524	433	91
PCT7645	ED	640	120	-1	0	0	7	114	91	23
PCT7645	MV	640	377	2	0	0	18	357	294	63
PCT7646	ED	1100	262	0	0	0	6	256	222	34
PCT7646	MV	1100	591	4	0	0	23	564	456	108
PCT7647	ED	1075	205	-1	0	0	14	192	166	26
PCT7647	MV	1075	283	-1	0	0	10	274	231	43
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	1	0	0	7	167	149	18
PCT7649	MV	891	395	5	0	0	20	370	302	68
PCT7651	ED	677	165	1	0	1	9	154	123	31
PCT7651	MV	677	351	4	0	0	10	337	269	68
PCT7652	ED	628	135	0	0	0	7	128	102	26
PCT7652	MV	628	301	6	0	0	14	281	230	51
PCT7653	ED	1280	299	1	0	0	21	277	227	50
PCT7653	MV	1280	673	4	0	0	28	641	526	115
PCT7701	ED	1064	295	0	0	0	12	283	243	40
PCT7701	MV	1064	597	3	0	0	28	566	465	101
PCT7702	ED	748	179	-1	0	0	9	171	126	45
PCT7702	MV	748	415	3	0	0	21	391	293	98
PCT7703	MV	171	79	0	0	0	12	67	60	7
PCT7704	ED	1008	257	0	0	0	12	245	180	65
PCT7704	MV	1008	557	3	0	0	29	525	373	152
PCT7705	ED	568	149	-2	0	0	5	146	111	35
PCT7705	MV	568	335	0	0	0	21	314	228	86
PCT7706	ED	840	252	1	0	0	10	241	181	60
PCT7706	MV	840	467	4	0	0	19	444	336	108
PCT7707	ED	857	240	1	0	0	5	234	175	59
PCT7707	MV	857	495	1	0	0	24	470	360	110
