area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	132:JEFF ADACHI
PCT7524	ED	615	181	17	0	34	0	130	2	128
PCT7524	MV	615	262	7	0	41	0	214	4	210
PCT7525	ED	800	205	0	0	43	0	162	2	160
PCT7525	MV	800	341	1	0	74	0	266	1	265
PCT7526	ED	1011	292	2	0	61	0	229	7	222
PCT7526	MV	1011	552	9	0	94	0	449	0	449
PCT7527	ED	725	211	0	0	40	0	171	1	170
PCT7527	MV	725	339	5	1	69	0	264	1	263
PCT7529	ED	948	295	3	0	61	0	231	1	230
PCT7529	MV	948	486	7	0	81	0	398	4	394
PCT7531	ED	865	228	3	0	39	0	186	1	185
PCT7531	MV	865	442	4	1	82	0	355	5	350
PCT7532	ED	852	246	4	0	63	0	179	1	178
PCT7532	MV	852	398	7	0	64	0	327	7	320
PCT7533	ED	1015	357	1	0	54	0	302	1	301
PCT7533	MV	1015	490	8	0	97	0	385	5	380
PCT7534	ED	936	322	1	0	62	0	259	1	258
PCT7534	MV	936	415	2	0	80	0	333	6	327
PCT7535	ED	767	262	1	0	52	0	209	1	208
PCT7535	MV	767	387	11	0	67	0	309	2	307
PCT7536	ED	863	291	0	0	64	0	227	3	224
PCT7536	MV	863	421	5	0	69	0	347	0	347
PCT7537	ED	752	240	-5	0	56	0	189	1	188
PCT7537	MV	752	363	5	0	67	0	291	3	288
PCT7538	ED	771	246	2	0	44	0	200	0	200
PCT7538	MV	771	400	6	0	63	0	331	3	328
PCT7539	ED	922	330	5	0	68	0	257	2	255
PCT7539	MV	922	428	3	0	78	0	347	8	339
PCT7541	ED	805	248	0	0	50	0	198	2	196
PCT7541	MV	805	400	5	0	70	0	325	7	318
PCT7542	ED	821	272	1	0	48	0	223	0	223
PCT7542	MV	821	389	1	0	64	0	324	1	323
PCT7543	ED	909	216	0	0	47	0	169	0	169
PCT7543	MV	909	467	8	0	66	0	393	3	390
PCT7544	ED	898	258	0	0	70	0	188	0	188
PCT7544	MV	898	479	10	0	73	0	396	2	394
PCT7545	ED	918	273	1	0	62	0	210	0	210
PCT7545	MV	918	480	6	0	81	0	393	10	383
PCT7546	ED	982	304	0	0	67	0	237	5	232
PCT7546	MV	982	517	5	0	73	0	439	5	434
PCT7547	ED	1029	315	1	0	66	0	248	3	245
PCT7547	MV	1029	505	10	0	89	0	406	3	403
PCT7548	ED	1073	319	7	0	62	0	250	3	247
PCT7548	MV	1073	512	11	0	84	0	417	6	411
PCT7549	ED	811	215	1	0	50	0	164	0	164
PCT7549	MV	811	431	0	0	99	0	332	4	328
PCT7551	ED	741	239	1	0	49	0	189	4	185
PCT7551	MV	741	394	9	0	60	0	325	3	322
PCT7552	ED	727	241	0	0	45	0	196	2	194
PCT7552	MV	727	361	16	0	51	0	294	1	293
PCT7553	MV	180	126	3	0	25	0	98	2	96
PCT7554	ED	808	247	1	0	54	0	192	3	189
PCT7554	MV	808	442	16	0	90	0	336	3	333
PCT7555	ED	886	290	-4	0	43	0	251	2	249
PCT7555	MV	886	459	9	0	73	0	377	6	371
PCT7556	ED	969	275	1	0	56	0	218	2	216
PCT7556	MV	969	573	6	1	90	0	476	12	464
PCT7601	ED	767	191	1	0	38	0	152	2	150
PCT7601	MV	767	290	1	0	53	0	236	5	231
PCT7602	ED	901	213	-1	1	45	0	168	3	165
PCT7602	MV	901	379	5	0	59	0	315	7	308
PCT7603	ED	830	250	2	0	41	0	207	2	205
PCT7603	MV	830	376	2	0	71	0	303	4	299
PCT7604	ED	954	266	2	0	56	0	208	4	204
PCT7604	MV	954	352	2	0	54	0	296	4	292
PCT7605	ED	648	120	0	0	28	0	92	1	91
PCT7605	MV	648	203	0	2	29	0	172	4	168
PCT7606	ED	924	205	3	2	59	0	141	4	137
PCT7606	MV	924	330	4	0	61	0	265	7	258
PCT7607	ED	960	215	1	0	55	0	159	5	154
PCT7607	MV	960	407	5	0	64	0	338	11	327
PCT7608	ED	392	70	0	0	14	0	56	1	55
PCT7608	MV	392	136	1	1	34	0	100	2	98
PCT7609	ED	926	120	0	1	33	0	86	4	82
PCT7609	MV	926	352	6	0	54	0	292	2	290
PCT7611	ED	755	126	1	0	30	0	95	1	94
PCT7611	MV	755	269	1	0	59	0	209	1	208
PCT7612	ED	583	97	0	0	29	0	68	1	67
PCT7612	MV	583	265	4	0	60	0	201	2	199
PCT7613	ED	908	204	1	1	46	0	156	3	153
PCT7613	MV	908	340	2	0	61	0	277	14	263
PCT7614	ED	1029	223	1	0	54	0	168	7	161
PCT7614	MV	1029	375	8	0	58	0	309	4	305
PCT7615	ED	762	162	1	0	57	0	104	3	101
PCT7615	MV	762	237	1	0	48	0	188	3	185
PCT7616	ED	1203	324	1	0	90	0	233	0	233
PCT7616	MV	1203	686	3	0	148	0	535	9	526
PCT7617	ED	768	102	3	0	25	0	74	2	72
PCT7617	MV	768	261	2	0	40	0	219	8	211
PCT7618	ED	862	168	1	0	29	0	138	0	138
PCT7618	MV	862	407	5	1	78	0	323	2	321
PCT7619	ED	1063	219	2	0	38	0	179	6	173
PCT7619	MV	1063	563	1	0	107	0	455	5	450
PCT7621	ED	1320	287	5	0	59	0	223	4	219
PCT7621	MV	1320	668	1	0	135	0	532	11	521
PCT7622	ED	988	170	0	0	39	0	131	1	130
PCT7622	MV	988	301	1	0	60	0	240	4	236
PCT7623	ED	746	184	10	0	43	0	131	4	127
PCT7623	MV	746	297	3	0	56	0	238	4	234
PCT7624	ED	859	142	3	0	23	0	116	3	113
PCT7624	MV	859	290	-1	0	50	0	241	6	235
PCT7625	ED	822	66	0	0	25	0	41	2	39
PCT7625	MV	822	475	1	0	112	0	362	4	358
PCT7626	ED	1114	227	3	0	58	0	166	2	164
PCT7626	MV	1114	612	2	0	137	0	473	3	470
PCT7627	ED	1187	267	1	0	77	0	189	1	188
PCT7627	MV	1187	582	17	0	156	0	409	9	400
PCT7628	ED	960	241	1	0	52	0	188	4	184
PCT7628	MV	960	428	-3	0	71	0	360	5	355
PCT7629	ED	809	208	4	0	39	0	165	0	165
PCT7629	MV	809	343	1	0	62	0	280	3	277
PCT7631	ED	1155	270	1	0	69	0	200	2	198
PCT7631	MV	1155	577	5	0	118	0	454	5	449
PCT7632	ED	1124	289	3	0	64	0	222	2	220
PCT7632	MV	1124	561	7	1	88	0	465	4	461
PCT7633	ED	741	137	-2	0	33	0	106	1	105
PCT7633	MV	741	392	3	0	79	0	310	4	306
PCT7634	ED	900	195	2	0	58	0	135	1	134
PCT7634	MV	900	421	2	0	80	0	339	7	332
PCT7635	ED	840	158	0	0	41	0	117	1	116
PCT7635	MV	840	382	7	0	70	0	305	7	298
PCT7636	ED	938	251	1	0	69	0	181	3	178
PCT7636	MV	938	465	6	0	102	0	357	4	353
PCT7637	ED	809	193	0	0	64	0	129	2	127
PCT7637	MV	809	404	7	0	86	0	311	5	306
PCT7638	ED	1467	295	1	0	95	0	199	3	196
PCT7638	MV	1467	871	24	0	202	0	645	6	639
PCT7639	ED	1011	242	3	0	75	0	164	3	161
PCT7639	MV	1011	559	9	0	141	0	409	1	408
PCT7641	ED	972	205	0	0	52	0	153	3	150
PCT7641	MV	972	549	9	1	122	0	417	5	412
PCT7642	ED	937	153	0	0	39	0	114	2	112
PCT7642	MV	937	394	7	0	129	0	258	3	255
PCT7643	ED	920	169	2	0	36	0	131	2	129
PCT7643	MV	920	507	3	0	104	0	400	1	399
PCT7644	ED	1175	330	0	0	84	0	246	2	244
PCT7644	MV	1175	554	7	0	108	0	439	0	439
PCT7645	ED	640	120	1	0	35	0	84	4	80
PCT7645	MV	640	377	8	0	93	0	276	2	274
PCT7646	ED	1100	267	0	0	63	0	204	4	200
PCT7646	MV	1100	592	9	0	134	0	449	3	446
PCT7647	ED	1075	205	-2	0	44	0	163	7	156
PCT7647	MV	1075	283	1	0	46	0	236	4	232
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	178	2	0	42	0	134	3	131
PCT7649	MV	891	395	4	0	71	0	320	4	316
PCT7651	ED	677	166	1	1	46	0	118	2	116
PCT7651	MV	677	351	13	0	86	0	252	4	248
PCT7652	ED	628	135	0	0	34	0	101	2	99
PCT7652	MV	628	301	9	0	60	0	232	5	227
PCT7653	ED	1280	300	5	0	74	0	221	3	218
PCT7653	MV	1280	673	7	0	172	0	494	9	485
PCT7701	ED	1064	296	0	0	71	0	225	4	221
PCT7701	MV	1064	597	8	0	134	0	455	10	445
PCT7702	ED	748	180	3	0	48	0	129	3	126
PCT7702	MV	748	415	9	0	84	0	322	8	314
PCT7703	MV	171	79	5	1	8	0	65	0	65
PCT7704	ED	1008	257	1	0	52	0	204	8	196
PCT7704	MV	1008	557	6	0	127	0	424	10	414
PCT7705	ED	568	149	-2	0	31	0	120	3	117
PCT7705	MV	568	335	2	0	61	0	272	10	262
PCT7706	ED	840	252	1	0	48	0	203	5	198
PCT7706	MV	840	467	5	0	99	0	363	18	345
PCT7707	ED	857	241	0	0	43	0	198	5	193
