area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	082:STEVEN C BAILEY	083:XAVIER BECERRA
PCT7335	ED	970	225	0	0	0	11	214	23	191
PCT7335	MV	970	523	0	0	0	24	499	89	410
PCT7336	ED	955	236	0	0	0	16	220	31	189
PCT7336	MV	955	523	0	0	0	28	495	94	401
PCT7337	ED	851	178	0	0	0	14	164	28	136
PCT7337	MV	851	464	0	0	0	24	440	91	349
PCT7338	ED	915	153	0	0	0	13	140	20	120
PCT7338	MV	915	426	0	0	0	66	360	85	275
PCT7339	ED	669	174	0	0	0	10	164	19	145
PCT7339	MV	669	309	0	0	0	15	294	39	255
PCT7341	ED	908	260	0	0	0	10	250	34	216
PCT7341	MV	908	401	0	0	0	23	378	43	335
PCT7342	ED	947	333	0	0	1	14	318	35	283
PCT7342	MV	947	414	0	0	0	15	399	48	351
PCT7343	ED	731	234	0	0	0	11	223	18	205
PCT7343	MV	731	316	0	0	0	12	304	27	277
PCT7344	ED	1110	287	0	0	0	11	276	34	242
PCT7344	MV	1110	538	0	0	0	15	523	62	461
PCT7345	ED	1141	327	1	0	0	10	316	34	282
PCT7345	MV	1141	521	0	0	0	16	505	48	457
PCT7346	ED	920	248	0	0	0	15	233	18	215
PCT7346	MV	920	384	0	0	0	11	373	34	339
PCT7347	ED	1040	240	0	0	0	17	223	23	200
PCT7347	MV	1040	480	0	0	1	15	464	30	434
PCT7348	ED	861	210	0	0	0	9	201	30	171
PCT7348	MV	861	353	0	0	0	18	335	43	292
PCT7349	ED	957	247	0	0	0	9	238	29	209
PCT7349	MV	957	427	0	0	0	30	397	61	336
PCT7501	ED	565	172	0	0	0	10	162	18	144
PCT7501	MV	565	308	0	0	0	15	293	37	256
PCT7502	ED	784	180	1	0	0	7	172	22	150
PCT7502	MV	784	447	0	0	0	24	423	67	356
PCT7503	ED	764	207	0	0	0	13	194	27	167
PCT7503	MV	764	388	0	0	0	12	376	47	329
PCT7504	ED	503	112	0	0	0	5	107	16	91
PCT7504	MV	503	222	0	0	0	8	214	24	190
PCT7505	ED	869	158	0	0	0	14	144	22	122
PCT7505	MV	869	532	0	0	0	31	501	82	419
PCT7506	ED	999	224	0	0	0	10	214	16	198
PCT7506	MV	999	473	0	0	0	17	456	62	394
PCT7507	ED	955	210	0	0	1	20	189	25	164
PCT7507	MV	955	344	0	0	0	15	329	41	288
PCT7508	ED	727	154	0	0	0	14	140	17	123
PCT7508	MV	727	427	0	0	0	27	400	54	346
PCT7509	ED	932	235	2	0	0	6	227	24	203
PCT7509	MV	932	470	1	0	0	11	458	41	417
PCT7512	ED	612	149	0	0	0	11	138	39	99
PCT7512	MV	612	283	0	0	0	8	275	62	213
PCT7513	ED	818	225	0	0	1	17	207	23	184
PCT7513	MV	818	315	0	0	1	20	294	49	245
PCT7514	ED	874	140	0	0	0	9	131	19	112
PCT7514	MV	874	305	0	0	0	35	270	37	233
PCT7515	ED	869	211	0	0	0	21	190	17	173
PCT7515	MV	869	389	0	0	0	22	367	40	327
PCT7516	ED	922	172	0	0	1	5	166	20	146
PCT7516	MV	922	538	0	0	0	25	513	70	443
PCT7517	ED	863	289	0	0	0	9	280	13	267
PCT7517	MV	863	410	0	0	0	12	398	14	384
PCT7518	ED	950	309	0	0	0	14	295	19	276
PCT7518	MV	950	480	0	0	0	19	461	25	436
PCT7519	ED	737	224	0	0	0	6	218	17	201
PCT7519	MV	737	355	0	0	0	11	344	17	327
PCT7521	ED	812	291	0	0	0	21	270	17	253
PCT7521	MV	812	354	0	0	0	11	343	7	336
PCT7522	ED	764	207	0	0	0	7	200	8	192
PCT7522	MV	764	397	0	0	0	9	388	11	377
PCT7523	ED	747	275	0	0	0	12	263	18	245
PCT7523	MV	747	359	0	0	1	10	348	23	325
PCT7524	ED	615	181	0	0	0	19	162	6	156
PCT7524	MV	615	262	0	0	1	11	250	15	235
PCT7525	ED	800	205	0	0	0	9	196	10	186
PCT7525	MV	800	341	0	0	0	19	322	18	304
PCT7526	ED	1011	291	0	0	1	9	281	19	262
PCT7526	MV	1011	552	0	0	0	16	536	22	514
PCT7527	ED	725	208	0	0	1	14	193	29	164
PCT7527	MV	725	339	0	0	1	13	325	28	297
PCT7529	ED	948	294	0	0	0	13	281	14	267
PCT7529	MV	948	486	0	0	0	11	475	11	464
PCT7531	ED	865	225	0	0	0	5	220	10	210
PCT7531	MV	865	442	0	0	0	10	432	11	421
PCT7532	ED	852	246	0	0	0	8	238	18	220
PCT7532	MV	852	398	0	0	0	18	380	39	341
PCT7533	ED	1015	354	0	0	0	11	343	15	328
PCT7533	MV	1015	490	0	0	0	21	469	32	437
PCT7534	ED	936	322	0	0	0	14	308	15	293
PCT7534	MV	936	415	0	0	0	16	399	21	378
PCT7535	ED	767	261	0	0	0	12	249	9	240
PCT7535	MV	767	387	0	0	0	19	368	14	354
PCT7536	ED	863	291	0	0	1	15	275	10	265
PCT7536	MV	863	421	0	0	0	6	415	18	397
PCT7537	ED	752	240	0	0	0	12	228	14	214
PCT7537	MV	752	363	0	0	0	7	356	19	337
PCT7538	ED	771	246	0	0	0	7	239	9	230
PCT7538	MV	771	400	0	0	0	13	387	9	378
PCT7539	ED	922	330	0	0	0	14	316	12	304
PCT7539	MV	922	428	0	0	0	21	407	18	389
PCT7541	ED	805	245	0	0	0	9	236	8	228
PCT7541	MV	805	400	0	0	0	14	386	13	373
PCT7542	ED	821	270	0	0	0	15	255	11	244
PCT7542	MV	821	389	0	0	0	7	382	22	360
PCT7543	ED	909	215	0	0	0	14	201	8	193
PCT7543	MV	909	467	0	0	1	15	451	20	431
PCT7544	ED	898	256	0	0	0	17	239	18	221
PCT7544	MV	898	479	0	0	0	19	460	14	446
PCT7545	ED	918	273	0	0	0	6	267	15	252
PCT7545	MV	918	480	0	0	0	24	456	38	418
PCT7546	ED	982	304	0	0	0	17	287	22	265
PCT7546	MV	982	517	0	0	0	13	504	21	483
PCT7547	ED	1029	314	0	0	0	11	303	9	294
PCT7547	MV	1029	505	0	0	0	19	486	17	469
PCT7548	ED	1073	317	1	0	0	14	302	17	285
PCT7548	MV	1073	512	0	0	0	11	501	36	465
PCT7549	ED	811	215	0	0	0	8	207	14	193
PCT7549	MV	811	431	0	0	0	22	409	30	379
PCT7551	ED	741	239	0	0	0	12	227	14	213
PCT7551	MV	741	394	0	0	0	5	389	20	369
PCT7552	ED	727	241	0	0	0	9	232	11	221
PCT7552	MV	727	360	0	0	1	15	344	18	326
PCT7553	MV	180	126	0	0	0	4	122	12	110
PCT7554	ED	808	247	0	0	0	8	239	21	218
PCT7554	MV	808	442	0	0	0	13	429	30	399
PCT7555	ED	886	289	0	0	0	9	280	8	272
PCT7555	MV	886	459	0	0	0	14	445	27	418
PCT7556	ED	969	275	0	0	0	10	265	32	233
PCT7556	MV	969	573	0	0	0	9	564	35	529
PCT7601	ED	767	190	0	0	0	14	176	26	150
PCT7601	MV	767	290	0	0	0	20	270	33	237
PCT7602	ED	901	210	0	0	0	13	197	17	180
PCT7602	MV	901	379	0	0	0	19	360	31	329
PCT7603	ED	830	249	0	0	0	9	240	17	223
PCT7603	MV	830	376	0	0	0	19	357	32	325
PCT7604	ED	954	265	0	0	0	14	251	37	214
PCT7604	MV	954	352	0	0	0	14	338	35	303
PCT7605	ED	648	120	0	0	0	13	107	18	89
PCT7605	MV	648	203	0	0	1	14	188	29	159
PCT7606	ED	924	204	0	0	0	19	185	27	158
PCT7606	MV	924	330	0	0	0	16	314	37	277
PCT7607	ED	960	215	0	0	0	19	196	21	175
PCT7607	MV	960	407	0	0	0	15	392	51	341
PCT7608	ED	392	70	0	0	0	4	66	15	51
PCT7608	MV	392	136	0	0	0	16	120	33	87
PCT7609	ED	926	120	0	0	0	18	102	24	78
PCT7609	MV	926	352	0	0	0	60	292	60	232
PCT7611	ED	755	126	0	0	0	20	106	22	84
PCT7611	MV	755	269	0	0	0	44	225	42	183
PCT7612	ED	583	97	0	0	0	8	89	21	68
PCT7612	MV	583	265	0	0	0	31	234	43	191
PCT7613	ED	908	202	0	0	0	23	179	18	161
PCT7613	MV	908	340	0	0	0	26	314	53	261
PCT7614	ED	1029	223	0	0	0	20	203	25	178
PCT7614	MV	1029	375	0	0	1	12	362	57	305
PCT7615	ED	762	162	0	0	0	31	131	36	95
PCT7615	MV	762	237	0	0	0	35	202	32	170
PCT7616	ED	1203	322	0	0	0	15	307	27	280
PCT7616	MV	1203	686	0	0	0	20	666	54	612
PCT7617	ED	768	102	0	0	2	11	89	17	72
PCT7617	MV	768	261	0	0	0	24	237	62	175
PCT7618	ED	862	168	0	0	0	6	162	11	151
PCT7618	MV	862	407	0	0	0	18	389	39	350
PCT7619	ED	1063	219	0	0	0	14	205	22	183
PCT7619	MV	1063	563	0	0	0	19	544	53	491
PCT7621	ED	1320	287	0	0	0	15	272	31	241
PCT7621	MV	1320	668	0	0	0	31	637	72	565
PCT7622	ED	988	170	0	0	0	18	152	22	130
PCT7622	MV	988	301	0	0	0	23	278	47	231
PCT7623	ED	746	182	0	0	0	14	168	21	147
PCT7623	MV	746	297	0	0	0	18	279	40	239
PCT7624	ED	859	142	0	0	0	11	131	20	111
PCT7624	MV	859	290	0	0	2	17	271	40	231
PCT7625	ED	822	66	0	0	0	9	57	13	44
PCT7625	MV	822	475	0	0	1	78	396	96	300
PCT7626	ED	1114	224	0	0	0	12	212	20	192
PCT7626	MV	1114	612	0	0	0	22	590	77	513
PCT7627	ED	1187	266	0	0	0	17	249	34	215
PCT7627	MV	1187	582	0	0	0	33	549	110	439
PCT7628	ED	960	239	0	0	0	13	226	18	208
PCT7628	MV	960	428	0	0	0	21	407	33	374
PCT7629	ED	809	208	0	0	0	16	192	16	176
PCT7629	MV	809	343	0	0	0	18	325	35	290
PCT7631	ED	1155	266	0	0	2	20	244	33	211
PCT7631	MV	1155	576	0	0	0	25	551	64	487
PCT7632	ED	1124	288	0	0	0	18	270	27	243
PCT7632	MV	1124	561	0	0	1	18	542	40	502
PCT7633	ED	741	137	0	0	0	8	129	14	115
PCT7633	MV	741	392	0	0	0	42	350	47	303
PCT7634	ED	900	194	0	0	0	22	172	33	139
PCT7634	MV	900	421	0	0	1	25	395	67	328
PCT7635	ED	840	157	0	0	0	12	145	12	133
PCT7635	MV	840	382	0	0	0	17	365	32	333
PCT7636	ED	938	246	0	0	0	10	236	29	207
