area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
PCT7644	MV	1175	554	0	0	0	66	488	384	104
PCT7645	ED	640	120	0	0	0	19	101	69	32
PCT7645	MV	640	377	0	0	0	53	324	267	57
PCT7646	ED	1100	262	0	0	0	39	223	160	63
PCT7646	MV	1100	591	0	0	0	74	517	433	84
PCT7647	ED	1075	205	0	0	1	23	181	110	71
PCT7647	MV	1075	283	0	0	0	26	257	165	92
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	0	0	0	15	160	103	57
PCT7649	MV	891	395	0	0	0	46	349	247	102
PCT7651	ED	677	165	1	0	0	31	133	88	45
PCT7651	MV	677	351	0	0	0	41	310	237	73
PCT7652	ED	628	135	0	0	0	22	113	80	33
PCT7652	MV	628	301	0	0	1	42	258	204	54
PCT7653	ED	1280	299	0	0	0	50	249	186	63
PCT7653	MV	1280	673	0	0	1	99	573	454	119
PCT7701	ED	1064	295	0	0	0	55	240	175	65
PCT7701	MV	1064	597	0	0	0	99	498	388	110
PCT7702	ED	748	179	0	0	0	25	154	119	35
PCT7702	MV	748	415	0	0	0	50	365	314	51
PCT7703	MV	171	79	0	0	1	9	69	51	18
PCT7704	ED	1008	257	0	0	0	43	214	157	57
PCT7704	MV	1008	557	0	0	0	51	506	402	104
PCT7705	ED	568	149	0	0	0	22	127	103	24
PCT7705	MV	568	335	0	0	1	46	288	229	59
PCT7706	ED	840	252	0	0	0	27	225	179	46
PCT7706	MV	840	467	0	0	0	73	394	313	81
PCT7707	ED	857	240	1	0	0	24	215	170	45
PCT7707	MV	857	495	0	0	0	58	437	364	73
PCT7708	ED	871	205	0	0	0	19	186	146	40
PCT7708	MV	871	540	0	0	0	45	495	416	79
PCT7709	ED	391	102	0	0	0	21	81	51	30
PCT7709	MV	391	222	0	0	0	23	199	150	49
PCT7711	ED	766	197	0	0	0	32	165	129	36
PCT7711	MV	766	422	0	0	0	58	364	301	63
PCT7712	ED	529	148	0	0	0	18	130	99	31
PCT7712	MV	529	296	0	0	0	35	261	199	62
PCT7801	ED	1001	263	1	0	0	29	233	174	59
PCT7801	MV	1001	596	0	0	0	78	518	418	100
PCT7802	ED	788	229	0	0	0	44	185	146	39
PCT7802	MV	788	458	0	0	0	61	397	317	80
PCT7803	ED	828	173	0	0	0	28	145	124	21
PCT7803	MV	828	552	0	0	0	53	499	407	92
PCT7804	ED	893	257	0	0	0	29	228	183	45
PCT7804	MV	893	533	0	0	0	81	452	377	75
PCT7805	ED	825	226	0	0	0	22	204	159	45
PCT7805	MV	825	484	0	0	0	42	442	360	82
PCT7806	ED	716	207	2	0	0	27	178	140	38
PCT7806	MV	716	406	0	0	0	58	348	273	75
PCT7807	ED	844	276	0	0	0	37	239	185	54
PCT7807	MV	844	417	0	0	1	55	361	292	69
PCT7808	ED	655	211	0	0	0	27	184	138	46
PCT7808	MV	655	333	0	0	0	64	269	229	40
PCT7809	ED	781	237	0	0	1	36	200	146	54
PCT7809	MV	781	405	0	0	0	45	360	283	77
PCT7811	ED	783	249	0	0	0	32	217	156	61
PCT7811	MV	783	404	0	0	0	46	358	267	91
PCT7812	ED	877	256	0	0	0	37	219	155	64
PCT7812	MV	877	454	0	0	0	58	396	329	67
PCT7813	ED	1064	308	1	0	0	49	258	191	67
PCT7813	MV	1064	585	0	0	0	75	510	435	75
PCT7814	ED	936	227	0	0	0	34	193	118	75
PCT7814	MV	936	340	0	0	1	30	309	223	86
PCT7815	ED	954	238	0	0	1	30	207	158	49
PCT7815	MV	954	573	0	0	0	61	512	426	86
PCT7816	ED	865	235	0	0	0	21	214	170	44
PCT7816	MV	865	531	1	0	0	52	478	420	58
PCT7817	ED	823	276	0	0	1	32	243	183	60
PCT7817	MV	823	439	0	0	1	58	380	320	60
PCT7818	ED	860	232	0	0	0	27	205	148	57
PCT7818	MV	860	452	2	0	0	57	393	330	63
PCT7819	ED	793	191	0	0	1	30	160	111	49
PCT7819	MV	793	420	0	0	0	54	366	299	67
PCT7821	ED	985	247	0	0	0	38	209	175	34
PCT7821	MV	985	629	0	0	0	71	558	457	101
PCT7822	ED	908	275	0	0	0	25	250	190	60
PCT7822	MV	908	479	0	0	1	49	429	338	91
PCT7823	ED	879	269	6	0	0	22	241	195	46
PCT7823	MV	879	501	0	0	0	57	444	367	77
PCT7824	ED	768	246	0	0	1	34	211	169	42
PCT7824	MV	768	383	0	0	1	48	334	285	49
PCT7825	ED	597	191	0	0	0	24	167	124	43
PCT7825	MV	597	302	0	0	0	37	265	213	52
PCT7826	ED	684	258	0	0	0	33	225	171	54
PCT7826	MV	684	319	0	0	0	53	266	212	54
PCT7827	ED	831	261	0	0	0	42	219	154	65
PCT7827	MV	831	361	0	0	0	57	304	217	87
PCT7828	ED	1018	260	0	0	0	30	230	173	57
PCT7828	MV	1018	549	0	0	0	57	492	387	105
PCT7829	ED	907	237	1	0	0	22	214	163	51
PCT7829	MV	907	557	0	0	0	36	521	421	100
PCT7831	ED	882	233	0	0	0	23	210	174	36
PCT7831	MV	882	544	0	0	0	47	497	412	85
