area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	118:MARSHALL TUCK	119:TONY K. THURMOND
PCT7505	ED	869	158	0	0	29	129	0	47	82
PCT7505	MV	869	532	0	4	111	417	0	168	249
PCT7506	ED	999	226	0	1	40	185	0	53	132
PCT7506	MV	999	473	0	3	112	358	5	115	238
PCT7507	ED	955	211	0	1	36	174	1	48	125
PCT7507	MV	955	344	0	0	54	290	1	78	211
PCT7508	ED	727	154	0	2	34	118	0	36	82
PCT7508	MV	727	427	0	3	94	330	0	95	235
PCT7509	ED	932	235	2	1	40	192	0	53	139
PCT7509	MV	932	470	1	2	95	372	1	104	267
PCT7512	ED	612	150	0	2	29	119	1	43	75
PCT7512	MV	612	283	0	0	61	222	2	88	132
PCT7513	ED	818	225	0	2	57	166	1	45	120
PCT7513	MV	818	315	0	3	51	261	4	85	172
PCT7514	ED	874	140	0	2	30	108	1	32	75
PCT7514	MV	874	305	0	2	58	245	4	64	177
PCT7515	ED	869	212	0	0	49	163	2	45	116
PCT7515	MV	869	389	0	4	85	300	3	88	209
PCT7516	ED	922	172	0	0	42	130	0	32	98
PCT7516	MV	922	538	0	2	115	421	2	145	274
PCT7517	ED	863	289	0	0	52	237	0	78	159
PCT7517	MV	863	410	0	3	94	313	6	66	241
PCT7518	ED	950	309	0	0	73	236	1	72	163
PCT7518	MV	950	480	0	2	104	374	1	90	283
PCT7519	ED	737	224	0	1	41	182	0	46	136
PCT7519	MV	737	355	0	0	87	268	2	76	190
PCT7521	ED	812	292	0	0	70	222	2	63	157
PCT7521	MV	812	354	0	4	76	274	0	71	203
PCT7522	ED	764	207	0	1	37	169	0	44	125
PCT7522	MV	764	397	0	0	81	316	1	91	224
PCT7523	ED	747	275	0	0	52	223	1	56	166
PCT7523	MV	747	359	0	0	75	284	1	75	208
PCT7524	ED	615	181	0	1	49	131	0	35	96
PCT7524	MV	615	262	0	1	52	209	1	68	140
PCT7525	ED	800	205	0	1	41	163	1	61	101
PCT7525	MV	800	341	0	0	78	263	3	74	186
PCT7526	ED	1011	292	0	1	75	216	2	66	148
PCT7526	MV	1011	552	0	0	128	424	0	136	288
PCT7527	ED	725	211	0	3	37	171	1	61	109
PCT7527	MV	725	339	0	2	73	264	4	75	185
PCT7529	ED	948	295	0	0	71	224	0	67	157
PCT7529	MV	948	486	0	5	88	393	2	106	285
PCT7531	ED	865	228	0	0	42	186	2	53	131
PCT7531	MV	865	442	0	0	88	354	2	89	263
PCT7532	ED	852	246	0	1	55	190	2	55	133
PCT7532	MV	852	398	0	1	88	309	2	88	219
PCT7533	ED	1015	357	0	2	58	297	4	74	219
PCT7533	MV	1015	490	0	3	113	374	1	114	259
PCT7534	ED	936	322	0	1	81	240	0	55	185
