area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	097:PHIL TING	098:KEITH BOGDON
PCT9747	ED	973	246	0	0	9	237	212	25
PCT9747	MV	973	470	0	1	21	448	379	69
PCT9748	ED	931	229	0	0	11	218	183	35
PCT9748	MV	931	475	1	0	22	452	375	77
PCT9749	ED	913	224	2	0	22	200	175	25
PCT9749	MV	913	384	0	0	19	365	321	44
PCT9751	ED	1016	253	0	0	17	236	201	35
PCT9751	MV	1016	522	0	0	24	498	415	83
PCT9752	ED	710	175	3	0	8	164	130	34
PCT9752	MV	710	392	0	0	10	382	314	68
PCT9753	ED	756	186	0	0	10	176	155	21
PCT9753	MV	756	387	0	0	16	371	326	45
PCT9754	ED	707	47	0	0	3	44	39	5
PCT9754	MV	707	377	0	0	12	365	325	40
PCT9755	ED	582	171	0	0	10	161	147	14
PCT9755	MV	582	284	2	0	10	272	236	36
PCT9756	ED	941	185	0	0	7	178	149	29
PCT9756	MV	941	477	0	0	29	448	371	77
PCT9801	ED	408	104	0	0	7	97	80	17
PCT9801	MV	408	181	0	0	7	174	148	26
CONG12	TO	152507	117556	25	25	6686	110820	93939	16881
CONG14	TO	56946	40321	19	12	2197	38093	31749	6344
ASSM19	TO	209453	157877	44	37	8883	148913	125688	23225
BART8	TO	185764	139911	41	35	7968	131867	110256	21611
BART9	TO	23689	17966	3	2	915	17046	15432	1614
SUPV1	TO	42612	32592	6	10	1644	30932	26795	4137
SUPV2	TO	43478	34790	0	3	2311	32476	26439	6037
SUPV4	TO	42953	31684	8	10	1808	29858	24881	4977
SUPV5	TO	13279	10399	0	1	513	9885	9172	713
SUPV7	TO	39263	30102	29	6	1504	28563	23738	4825
SUPV8	TO	408	285	0	0	14	271	228	43
SUPV10	TO	273	146	0	0	9	137	115	22
SUPV11	TO	27187	17879	1	7	1080	16791	14320	2471
NEIG5	TO	17331	11512	1	4	678	10829	9100	1729
NEIG7	TO	12118	7922	2	3	493	7424	6464	960
NEIG8	TO	7935	6383	0	1	315	6067	5551	516
NEIG9	TO	8390	5906	1	1	314	5590	4618	972
NEIG10	TO	10097	8001	0	1	425	7575	6681	894
NEIG11	TO	30661	24383	0	2	1721	22660	18166	4494
NEIG17	TO	37322	28480	5	9	1421	27045	23363	3682
NEIG18	TO	8050	6586	1	1	390	6194	5128	1066
NEIG21	TO	42363	31231	8	10	1784	29429	24491	4938
NEIG23	TO	273	146	0	0	9	137	115	22
NEIG24	TO	27625	21814	26	5	1049	20734	17164	3570
NEIG25	TO	7288	5513	0	0	284	5229	4847	382
