area_id	voting_group_ids
PCT9226	MV ED TO
PCT9227	MV ED TO
PCT9228	MV ED TO
PCT9229	MV ED TO
PCT9231	MV ED TO
PCT9232	MV ED TO
PCT9233	MV ED TO
PCT9234	MV ED TO
PCT9235	MV ED TO
PCT9236	MV ED TO
PCT9237	MV ED TO
PCT9238	MV ED TO
PCT9239	MV ED TO
PCT9241	MV ED TO
PCT9242	MV ED TO
PCT9243	MV ED TO
PCT9244	MV ED TO
PCT9245	MV ED TO
PCT9246	MV ED TO
PCT9247	MV ED TO
PCT9248	MV ED TO
PCT9249	MV ED TO
PCT9251	MV ED TO
PCT9252	MV ED TO
PCT9253	MV ED TO
PCT9254	MV ED TO
PCT9255	MV ED TO
PCT9256	MV ED TO
PCT9257	MV ED TO
PCT9258	MV ED TO
PCT9401	MV ED TO
PCT9402	MV ED TO
PCT9403	MV ED TO
PCT9404	MV ED TO
PCT9405	MV ED TO
PCT9406	MV ED TO
PCT9407	MV ED TO
PCT9408	MV ED TO
PCT9409	MV ED TO
PCT9411	MV ED TO
PCT9412	MV ED TO
PCT9413	MV ED TO
PCT9414	MV ED TO
PCT9415	MV ED TO
PCT9416	MV ED TO
PCT9417	MV ED TO
PCT9418	MV ED TO
PCT9419	MV ED TO
PCT9421	MV ED TO
PCT9422	MV ED TO
PCT9423	MV ED TO
PCT9424	MV ED TO
PCT9425	MV ED TO
PCT9426	MV ED TO
PCT9427	MV ED TO
PCT9428	MV ED TO
PCT9429	MV ED TO
PCT9431	MV ED TO
PCT9432	MV ED TO
PCT9433	MV ED TO
PCT9434	MV ED TO
PCT9435	MV ED TO
PCT9436	MV ED TO
PCT9437	MV ED TO
PCT9438	MV ED TO
PCT9439	MV ED TO
PCT9441	MV ED TO
PCT9442	MV ED TO
PCT9443	MV ED TO
PCT9444	MV ED TO
PCT9445	MV ED TO
PCT9446	MV ED TO
PCT9447	MV ED TO
PCT9448	MV ED TO
PCT9449	MV ED TO
PCT9451	MV ED TO
PCT9452	MV ED TO
PCT9501	MV ED TO
PCT9502	MV ED TO
PCT9503	MV ED TO
PCT9505	MV ED TO
PCT9506	MV ED TO
PCT9507	MV ED TO
PCT9508	MV ED TO
PCT9509	MV ED TO
PCT9511	MV ED TO
PCT9512	MV ED TO
PCT9513	MV ED TO
PCT9514	MV ED TO
PCT9515	MV ED TO
PCT9516	MV ED TO
PCT9517	MV ED TO
PCT9518	MV ED TO
PCT9519	MV ED TO
PCT9521	MV ED TO
PCT9701	MV ED TO
PCT9702	MV ED TO
PCT9703	MV ED TO
PCT9704	MV ED TO
PCT9705	MV ED TO
PCT9706	MV ED TO
PCT9707	MV ED TO
PCT9708	MV ED TO
PCT9709	MV ED TO
PCT9711	MV ED TO
PCT9713	MV ED TO
PCT9716	MV ED TO
PCT9717	MV ED TO
PCT9732	MV ED TO
NEIG10	MV ED TO
NEIG17	MV ED TO
NEIG18	MV ED TO
