area_id	total_registration	ed_registration	mv_registration	total_ballots	ed_ballots	mv_ballots
PCT9109	883	211	672	500	198	302
PCT9111	834	195	639	485	170	315
PCT9112	961	219	742	557	207	350
PCT9113	1004	208	796	616	246	370
PCT9114	890	231	659	474	184	290
PCT9115	881	182	699	505	182	323
PCT9116	961	179	782	525	180	345
PCT9117	800	171	629	523	196	327
PCT9118	984	242	742	566	228	338
PCT9119	900	197	703	549	159	390
PCT9121	953	218	735	521	185	336
PCT9122	967	192	775	526	161	365
PCT9123	852	191	661	507	189	318
PCT9124	903	167	736	508	161	347
PCT9125	869	188	681	512	155	357
PCT9126	1013	194	819	585	201	384
PCT9127	971	223	748	600	221	379
PCT9128	818	190	628	529	196	333
PCT9129	738	151	587	425	154	271
PCT9131	734	138	596	439	155	284
PCT9132	821	194	627	435	173	262
PCT9133	1017	209	808	595	213	382
PCT9134	891	155	736	434	106	328
PCT9135	822	182	640	465	160	305
PCT9136	918	212	706	534	165	369
PCT9137	1015	209	806	565	176	389
PCT9138	945	175	770	546	150	396
PCT9139	1018	190	828	601	179	422
PCT9141	973	184	789	591	173	418
PCT9142	986	239	747	574	211	363
PCT9143	914	209	705	531	172	359
PCT9144	970	203	767	589	215	374
PCT9145	875	194	681	510	178	332
PCT9146	885	160	725	548	195	353
PCT9147	990	225	765	583	210	373
PCT9148	1014	235	779	628	232	396
PCT9149	991	178	813	639	253	386
PCT9151	861	168	693	468	116	352
PCT9152	737	187	550	339	143	196
PCT9201	971	186	785	584	228	356
PCT9202	996	177	819	596	228	368
PCT9203	1002	155	847	564	192	372
PCT9204	862	176	686	505	198	307
PCT9205	736	115	621	441	153	288
PCT9206	929	188	741	538	192	346
PCT9207	989	165	824	565	195	370
PCT9208	987	179	808	538	179	359
PCT9209	771	156	615	450	172	278
PCT9211	891	161	730	468	156	312
PCT9212	808	137	671	459	175	284
PCT9213	937	161	776	549	200	349
PCT9214	627	110	517	365	135	230
PCT9215	644	120	524	379	133	246
PCT9216	824	155	669	439	173	266
PCT9217	705	117	588	400	133	267
PCT9218	816	164	652	440	160	280
PCT9219	790	144	646	465	176	289
PCT9221	651	89	562	461	140	321
PCT9222	910	137	773	551	177	374
PCT9223	667	109	558	379	115	264
PCT9224	949	181	768	549	166	383
PCT9225	926	169	757	523	220	303
PCT9226	896	155	741	537	180	357
PCT9227	729	124	605	518	147	371
PCT9228	738	160	578	495	181	314
PCT9229	579	119	460	378	122	256
PCT9231	962	236	726	615	263	352
PCT9232	734	126	608	451	157	294
PCT9233	818	150	668	521	188	333
PCT9234	734	91	643	467	147	320
PCT9235	863	160	703	560	195	365
PCT9236	673	136	537	420	137	283
PCT9237	897	118	779	579	182	397
PCT9238	805	118	687	501	173	328
PCT9239	864	124	740	554	162	392
PCT9241	960	141	819	602	196	406
PCT9242	943	172	771	566	216	350
PCT9243	603	123	480	383	142	241
PCT9244	910	154	756	584	187	397
PCT9245	714	98	616	428	128	300
PCT9246	970	155	815	623	195	428
PCT9247	912	148	764	587	206	381
PCT9248	907	150	757	554	196	358
PCT9249	915	191	724	593	214	379
PCT9251	966	174	792	630	236	394
PCT9252	953	142	811	563	183	380
PCT9253	761	162	599	457	154	303
PCT9254	921	163	758	615	197	418
PCT9255	550	114	436	328	133	195
PCT9256	462	95	367	289	119	170
PCT9257	320	-39	359	177	13	164
PCT9258	703	120	583	454	150	304
PCT9401	1038	242	796	580	223	357
PCT9402	1017	242	775	586	208	378
PCT9403	921	190	731	515	169	346
PCT9404	944	191	753	540	197	343
PCT9405	780	151	629	408	132	276
PCT9406	883	188	695	502	170	332
PCT9407	913	201	712	542	174	368
PCT9408	863	152	711	489	167	322
PCT9409	601	158	443	370	146	224
PCT9411	1007	191	816	589	213	376
PCT9412	870	202	668	525	187	338
PCT9413	936	179	757	545	172	373
PCT9414	920	186	734	499	142	357
PCT9415	788	154	634	449	135	314
PCT9416	999	230	769	541	151	390
PCT9417	774	145	629	447	125	322
PCT9418	819	188	631	453	142	311
PCT9419	909	173	736	508	138	370
PCT9421	925	173	752	490	154	336
PCT9422	1101	270	831	622	209	413
PCT9423	904	190	714	475	159	316
PCT9424	1009	210	799	537	153	384
PCT9425	976	187	789	517	172	345
PCT9426	853	156	697	463	139	324
PCT9427	987	188	799	532	150	382
PCT9428	990	179	811	498	143	355
PCT9429	906	197	709	489	146	343
PCT9431	1036	204	832	581	172	409
PCT9432	958	215	743	493	136	357
PCT9433	958	164	794	497	124	373
PCT9434	1012	227	785	597	210	387
PCT9435	1004	225	779	552	188	364
PCT9436	1068	226	842	536	151	385
PCT9437	927	191	736	527	151	376
PCT9438	989	152	837	525	109	416
PCT9439	917	199	718	482	140	342
PCT9441	971	193	778	562	167	395
PCT9442	1040	210	830	594	212	382
PCT9443	955	196	759	519	156	363
PCT9444	965	197	768	477	134	343
PCT9445	996	167	829	552	146	406
PCT9446	1116	216	900	644	179	465
PCT9447	921	192	729	570	180	390
PCT9448	940	198	742	504	157	347
PCT9449	881	162	719	459	119	340
PCT9451	441	88	353	246	67	179
PCT9452	842	195	647	523	186	337
PCT9453	524	115	409	302	84	218
PCT9501	150	-8	158	94	3	91
PCT9502	251	-43	294	142	6	136
PCT9503	700	150	550	387	120	267
PCT9505	765	176	589	432	136	296
PCT9506	754	207	547	369	138	231
PCT9507	716	160	556	484	182	302
PCT9508	780	148	632	503	185	318
PCT9509	727	142	585	463	167	296
PCT9511	634	176	458	403	163	240
PCT9512	777	160	617	509	180	329
PCT9513	877	191	686	522	187	335
PCT9514	896	183	713	566	213	353
PCT9515	712	169	543	471	164	307
PCT9516	889	184	705	556	190	366
PCT9517	788	162	626	508	173	335
PCT9518	788	146	642	516	198	318
PCT9519	891	198	693	605	236	369
PCT9521	901	214	687	594	242	352
PCT9701	654	156	498	409	140	269
PCT9702	720	166	554	452	148	304
PCT9703	991	182	809	543	147	396
PCT9704	959	199	760	620	200	420
PCT9705	929	175	754	566	146	420
PCT9706	49	-8	57	34	0	34
PCT9707	826	139	687	463	103	360
PCT9708	961	175	786	586	159	427
PCT9709	1040	209	831	611	183	428
PCT9711	646	144	502	468	162	306
PCT9712	661	127	534	456	118	338
PCT9713	950	203	747	555	171	384
PCT9714	951	156	795	583	137	446
PCT9715	579	130	449	372	135	237
PCT9716	966	221	745	564	167	397
PCT9717	977	224	753	614	176	438
PCT9718	901	152	749	589	145	444
PCT9719	920	173	747	614	152	462
PCT9721	662	164	498	424	135	289
PCT9722	597	84	513	389	76	313
PCT9723	508	72	436	270	46	224
PCT9724	1020	169	851	551	100	451
PCT9725	971	157	814	531	97	434
PCT9726	616	-14	630	320	103	217
PCT9727	460	56	404	260	35	225
PCT9728	963	212	751	580	135	445
PCT9729	818	164	654	462	131	331
PCT9731	579	143	436	355	111	244
PCT9732	73	-5	78	47	0	47
PCT9733	240	-21	261	164	1	163
PCT9734	604	131	473	397	110	287
PCT9735	820	170	650	519	133	386
PCT9736	736	150	586	480	155	325
PCT9737	791	154	637	527	137	390
PCT9738	838	150	688	384	66	318
PCT9739	789	115	674	360	89	271
PCT9741	441	-396	837	183	10	173
PCT9742	695	165	530	329	101	228
PCT9743	1140	227	913	574	176	398
PCT9744	943	160	783	462	126	336
PCT9745	992	202	790	452	130	322
PCT9746	903	189	714	491	120	371
PCT9747	976	204	772	548	146	402
PCT9748	913	167	746	543	119	424
PCT9749	938	188	750	402	110	292
PCT9751	1071	214	857	626	155	471
PCT9752	697	134	563	433	112	321
PCT9753	762	145	617	423	123	300
PCT9754	707	162	545	432	116	316
PCT9755	580	139	441	337	99	238
PCT9756	967	162	805	473	108	365
PCT9801	408	88	320	217	53	164
CONG12	445848	90254	355594	252523	77656	174867
