cons_precinct_id	cons_precinct_name	is_vbm	no_voters	precinct_ids
9104	Precinct 9104	N	N	9104
9105	Precinct 9105	N	N	9105
9106	Precinct 9106	N	N	9106
9107	Precinct 9107	N	N	9107
9108	Precinct 9108	N	N	9108
9109	Precinct 9109	N	N	9109
9111	Precinct 9111	N	N	9111
9112	Precinct 9112	N	N	9112
9113	Precinct 9113	N	N	9113
9114	Precinct 9114	N	N	9114
9115	Precinct 9115	N	N	9115
9116	Precinct 9116	N	N	9116
9117	Precinct 9117	N	N	9117
9118	Precinct 9118	N	N	9118
9119	Precinct 9119	N	N	9119
9121	Precinct 9121	N	N	9121
9122	Precinct 9122	N	N	9122
9123	Precinct 9123	N	N	9123
9124	Precinct 9124	N	N	9124
9125	Precinct 9125	N	N	9125
9126	Precinct 9126	N	N	9126
9127	Precinct 9127	N	N	9127
9128	Precinct 9128	N	N	9128
9129	Precinct 9129	N	N	9129
9131	Precinct 9131	N	N	9131
9132	Precinct 9132	N	N	9132
9133	Precinct 9133	N	N	9133
9134	Precinct 9134	N	N	9134
9135	Precinct 9135	N	N	9135
9136	Precinct 9136	N	N	9136
9137	Precinct 9137	N	N	9137
9138	Precinct 9138	N	N	9138
9139	Precinct 9139	N	N	9139
9141	Precinct 9141	N	N	9141
9142	Precinct 9142	N	N	9142
9143	Precinct 9143	N	N	9143
9144	Precinct 9144	N	N	9144
9145	Precinct 9145	N	N	9145
9146	Precinct 9146	N	N	9146
9147	Precinct 9147	N	N	9147
9148	Precinct 9148	N	N	9148
9149	Precinct 9149	N	N	9149
9151	Precinct 9151	N	N	9151
9152	Precinct 9152	N	N	9152
9201	Precinct 9201	N	N	9201
9202	Precinct 9202	N	N	9202
9203	Precinct 9203	N	N	9203
9204	Precinct 9204	N	N	9204
9205	Precinct 9205	N	N	9205
9206	Precinct 9206	N	N	9206
9207	Precinct 9207	N	N	9207
9208	Precinct 9208	N	N	9208
9209	Precinct 9209	N	N	9209
9211	Precinct 9211	N	N	9211
9212	Precinct 9212	N	N	9212
9213	Precinct 9213	N	N	9213
9214	Precinct 9214	N	N	9214
9215	Precinct 9215	N	N	9215
9216	Precinct 9216	N	N	9216
9217	Precinct 9217	N	N	9217
9218	Precinct 9218	N	N	9218
9219	Precinct 9219	N	N	9219
9221	Precinct 9221	N	N	9221
9222	Precinct 9222	N	N	9222
9223	Precinct 9223	N	N	9223
9224	Precinct 9224	N	N	9224
9225	Precinct 9225	N	N	9225
9226	Precinct 9226	N	N	9226
9227	Precinct 9227	N	N	9227
9228	Precinct 9228	N	N	9228
9229	Precinct 9229	N	N	9229
9231	Precinct 9231	N	N	9231
9232	Precinct 9232	N	N	9232
9233	Precinct 9233	N	N	9233
9234	Precinct 9234	N	N	9234
9235	Precinct 9235	N	N	9235
9236	Precinct 9236	N	N	9236
9237	Precinct 9237	N	N	9237
9238	Precinct 9238	N	N	9238
9239	Precinct 9239	N	N	9239
9241	Precinct 9241	N	N	9241
9242	Precinct 9242	N	N	9242
9243	Precinct 9243	N	N	9243
9244	Precinct 9244	N	N	9244
9245	Precinct 9245	N	N	9245
9246	Precinct 9246	N	N	9246
9247	Precinct 9247	N	N	9247
9248	Precinct 9248	N	N	9248
9249	Precinct 9249	N	N	9249
9251	Precinct 9251	N	N	9251
9252	Precinct 9252	N	N	9252
9253	Precinct 9253	N	N	9253
9254	Precinct 9254	N	N	9254
9255	Precinct 9255	N	N	9255
9256	Precinct 9256	N	N	9256
9257	Precinct 9257 MB	Y	N	9257
9258	Precinct 9258	N	N	9258
9401	Precinct 9401	N	N	9401
9402	Precinct 9402	N	N	9402
9403	Precinct 9403	N	N	9403
9404	Precinct 9404	N	N	9404
9405	Precinct 9405	N	N	9405
9406	Precinct 9406	N	N	9406
9407	Precinct 9407	N	N	9407
9408	Precinct 9408	N	N	9408
9409	Precinct 9409	N	N	9409
9411	Precinct 9411	N	N	9411
9412	Precinct 9412	N	N	9412
9413	Precinct 9413	N	N	9413
9414	Precinct 9414	N	N	9414
9415	Precinct 9415	N	N	9415
9416	Precinct 9416	N	N	9416
9417	Precinct 9417	N	N	9417
9418	Precinct 9418	N	N	9418
9419	Precinct 9419	N	N	9419
9421	Precinct 9421	N	N	9421
9422	Precinct 9422	N	N	9422
9423	Precinct 9423	N	N	9423
9424	Precinct 9424	N	N	9424
9425	Precinct 9425	N	N	9425
9426	Precinct 9426	N	N	9426
9427	Precinct 9427	N	N	9427
9428	Precinct 9428	N	N	9428
9429	Precinct 9429	N	N	9429
9431	Precinct 9431	N	N	9431
9432	Precinct 9432	N	N	9432
9433	Precinct 9433	N	N	9433
9434	Precinct 9434	N	N	9434
9435	Precinct 9435	N	N	9435
9436	Precinct 9436	N	N	9436
9437	Precinct 9437	N	N	9437
9438	Precinct 9438	N	N	9438
9439	Precinct 9439	N	N	9439
9441	Precinct 9441	N	N	9441
9442	Precinct 9442	N	N	9442
9443	Precinct 9443	N	N	9443
9444	Precinct 9444	N	N	9444
9445	Precinct 9445	N	N	9445
9446	Precinct 9446	N	N	9446
9447	Precinct 9447	N	N	9447
9448	Precinct 9448	N	N	9448
9449	Precinct 9449	N	N	9449
9451	Precinct 9451	N	N	9451
9452	Precinct 9452	N	N	9452
9453	Precinct 9453	N	N	9453
9501	Precinct 9501 MB	Y	N	9501
9502	Precinct 9502 MB	Y	N	9502
9503	Precinct 9503/9504	N	N	9503 9504
9505	Precinct 9505	N	N	9505
9506	Precinct 9506	N	N	9506
9507	Precinct 9507	N	N	9507
9508	Precinct 9508	N	N	9508
9509	Precinct 9509	N	N	9509
9511	Precinct 9511	N	N	9511
9512	Precinct 9512	N	N	9512
9513	Precinct 9513	N	N	9513
9514	Precinct 9514/9522	N	N	9514 9522
9515	Precinct 9515	N	N	9515
9516	Precinct 9516	N	N	9516
9517	Precinct 9517	N	N	9517
9518	Precinct 9518	N	N	9518
9519	Precinct 9519	N	N	9519
9521	Precinct 9521	N	N	9521
9701	Precinct 9701	N	N	9701
9702	Precinct 9702	N	N	9702
9703	Precinct 9703	N	N	9703
9704	Precinct 9704	N	N	9704
9705	Precinct 9705	N	N	9705
9706	Precinct 9706 MB	Y	N	9706
9707	Precinct 9707	N	N	9707
9708	Precinct 9708	N	N	9708
9709	Precinct 9709	N	N	9709
9711	Precinct 9711	N	N	9711
9712	Precinct 9712	N	N	9712
9713	Precinct 9713	N	N	9713
9714	Precinct 9714	N	N	9714
9715	Precinct 9715	N	N	9715
9716	Precinct 9716	N	N	9716
9717	Precinct 9717	N	N	9717
9718	Precinct 9718	N	N	9718
9719	Precinct 9719	N	N	9719
9721	Precinct 9721	N	N	9721
9722	Precinct 9722	N	N	9722
9723	Precinct 9723	N	N	9723
9724	Precinct 9724	N	N	9724
9725	Precinct 9725	N	N	9725
9726	Precinct 9726	N	N	9726
9727	Precinct 9727	N	N	9727
9728	Precinct 9728	N	N	9728
9729	Precinct 9729	N	N	9729
9731	Precinct 9731	N	N	9731
9732	Precinct 9732 MB	Y	N	9732
9733	Precinct 9733 MB	Y	N	9733
9734	Precinct 9734	N	N	9734
9735	Precinct 9735	N	N	9735
9736	Precinct 9736	N	N	9736
9737	Precinct 9737	N	N	9737
9738	Precinct 9738	N	N	9738
9739	Precinct 9739	N	N	9739
9741	Precinct 9741	N	N	9741
9742	Precinct 9742	N	N	9742
9743	Precinct 9743	N	N	9743
9744	Precinct 9744	N	N	9744
9745	Precinct 9745	N	N	9745
9746	Precinct 9746	N	N	9746
9747	Precinct 9747	N	N	9747
9748	Precinct 9748	N	N	9748
9749	Precinct 9749	N	N	9749
9751	Precinct 9751	N	N	9751
9752	Precinct 9752	N	N	9752
9753	Precinct 9753	N	N	9753
9754	Precinct 9754	N	N	9754
9755	Precinct 9755	N	N	9755
9756	Precinct 9756	N	N	9756
9801	Precinct 9801	N	N	9801
9900	Precinct 9900 MB	Y	Y	9900
9901	Precinct 9901 MB	Y	Y	9901
9902	Precinct 9902 MB	Y	Y	9902
