area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	101:VIVEK VISWANATHAN	102:JACK M. GUERRERO	103:KEVIN AKIN	104:GREG CONLON	105:FIONA MA
PCT7509	ED	909	171	0	0	18	153	0	17	7	15	9	105
PCT7509	MV	909	319	0	1	33	285	2	43	18	25	11	186
PCT7512	ED	604	96	0	0	12	84	0	13	9	10	3	49
PCT7512	MV	604	196	0	2	20	174	0	21	27	18	13	95
PCT7513	ED	790	142	0	0	24	118	0	17	6	16	3	76
PCT7513	MV	790	208	0	1	30	177	0	23	19	11	15	109
PCT7514	ED	863	95	0	0	32	63	0	7	1	2	4	49
PCT7514	MV	863	235	0	1	38	196	0	19	22	15	17	123
PCT7515	ED	845	150	0	0	30	120	2	4	6	16	3	89
PCT7515	MV	845	289	0	0	50	239	1	28	18	21	7	164
PCT7516	ED	886	145	0	0	23	122	0	7	8	9	8	90
PCT7516	MV	886	378	0	0	43	335	1	45	29	11	24	225
PCT7517	ED	863	228	0	1	31	196	1	21	9	37	3	125
PCT7517	MV	863	251	0	0	39	212	0	35	6	26	0	145
PCT7518	ED	939	235	0	0	34	201	0	27	10	31	2	131
PCT7518	MV	939	298	0	0	36	262	0	40	7	35	10	170
PCT7519	ED	726	179	0	0	23	156	0	21	9	41	0	85
PCT7519	MV	726	185	0	0	28	157	0	25	5	26	3	98
PCT7521	ED	802	211	0	0	32	179	0	22	8	39	8	102
PCT7521	MV	802	215	0	0	38	177	1	34	2	22	2	116
PCT7522	ED	743	175	0	0	24	151	0	17	8	35	3	88
PCT7522	MV	743	240	0	0	37	203	0	35	5	38	1	124
PCT7523	ED	737	208	0	0	28	180	0	24	9	55	1	91
PCT7523	MV	737	223	0	0	29	194	0	43	11	27	3	110
PCT7524	ED	646	143	0	0	23	120	1	17	8	14	2	78
PCT7524	MV	646	165	0	0	17	148	0	29	7	16	4	92
PCT7525	ED	779	145	0	0	29	116	0	13	4	16	1	82
PCT7525	MV	779	214	0	1	38	175	0	25	5	24	3	118
PCT7526	ED	947	197	0	1	20	176	1	36	10	25	4	100
PCT7526	MV	947	313	0	0	37	276	1	40	17	27	7	184
PCT7527	ED	729	162	0	1	34	127	0	16	9	33	7	62
PCT7527	MV	729	237	0	1	41	195	0	30	10	23	10	122
PCT7529	ED	925	214	0	0	29	185	0	29	4	44	3	105
PCT7529	MV	925	300	0	1	42	257	0	37	10	40	6	164
PCT7531	ED	847	179	0	0	27	152	0	29	5	30	0	88
PCT7531	MV	847	263	0	0	30	233	0	51	7	35	4	136
PCT7532	ED	823	172	0	0	24	148	0	15	7	25	5	96
PCT7532	MV	823	226	0	0	20	206	0	41	10	19	15	121
PCT7533	ED	951	268	0	0	28	240	1	41	9	54	8	127
PCT7533	MV	951	297	0	0	44	253	0	36	11	52	12	142
PCT7534	ED	883	241	0	1	31	209	0	33	7	47	0	122
PCT7534	MV	883	240	0	1	25	214	0	33	9	31	7	134
PCT7535	ED	743	201	0	0	31	170	0	17	6	31	5	111
PCT7535	MV	743	251	0	0	25	226	0	37	12	37	3	137
PCT7536	ED	856	206	0	0	34	172	0	26	6	32	3	105
PCT7536	MV	856	279	0	0	36	243	0	38	7	25	4	169
PCT7537	ED	734	187	0	0	27	160	0	21	4	30	3	102
PCT7537	MV	734	225	0	0	36	189	0	33	5	29	4	118
PCT7538	ED	757	223	0	0	40	183	0	28	7	39	1	108
PCT7538	MV	757	256	0	0	31	225	0	35	9	29	4	148
PCT7539	ED	884	250	0	0	46	204	1	28	10	51	4	110
PCT7539	MV	884	286	0	1	37	248	2	33	9	45	1	158
PCT7541	ED	791	215	0	0	48	167	1	25	6	37	4	94
PCT7541	MV	791	245	0	0	30	215	1	35	7	30	1	141
PCT7542	ED	787	183	0	0	29	154	0	19	1	37	0	97
PCT7542	MV	787	247	0	0	36	211	0	30	4	46	1	130
PCT7543	ED	910	187	0	1	35	151	0	16	7	21	2	105
PCT7543	MV	910	332	0	0	37	295	0	46	11	41	7	190
PCT7544	ED	877	186	0	0	25	161	2	21	10	27	3	98
PCT7544	MV	877	331	0	0	53	278	1	48	10	35	4	180
PCT7545	ED	877	179	0	0	26	153	0	21	9	25	2	96
PCT7545	MV	877	291	0	0	42	249	1	46	13	36	9	144
PCT7546	ED	913	219	0	0	29	190	1	30	6	29	6	118
PCT7546	MV	913	310	0	1	34	275	0	44	12	43	11	165
PCT7547	ED	987	244	0	0	46	198	0	28	5	40	1	124
PCT7547	MV	987	322	0	1	50	271	1	51	10	42	2	165
PCT7548	ED	1054	236	0	0	40	196	0	30	7	30	6	123
