area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	098:KONSTANTINOS RODITIS	099:MARY LOU FINLEY	100:BETTY T. YEE
PCT7344	MV	1039	334	0	0	0	64	270	0	24	7	239
PCT7345	ED	1077	183	0	0	0	34	149	1	9	15	124
PCT7345	MV	1077	283	0	0	0	55	228	2	17	4	205
PCT7346	ED	877	168	0	0	0	33	135	0	7	10	118
PCT7346	MV	877	221	0	0	0	44	177	1	13	15	148
PCT7347	ED	968	137	0	0	0	35	102	1	6	6	89
PCT7347	MV	968	279	0	0	0	48	231	1	16	9	205
PCT7348	ED	832	139	0	0	0	24	115	2	13	6	94
PCT7348	MV	832	202	0	0	0	42	160	1	18	6	135
PCT7349	ED	921	147	0	0	0	32	115	0	12	6	97
PCT7349	MV	921	282	0	0	0	52	230	0	25	11	194
PCT7501	ED	554	118	0	0	0	33	85	0	5	5	75
PCT7501	MV	554	168	0	0	0	47	121	0	19	5	97
PCT7502	ED	741	113	0	0	0	27	86	0	10	5	71
PCT7502	MV	741	349	0	0	0	64	285	2	34	2	247
PCT7503	ED	727	132	0	0	0	29	103	0	7	6	90
PCT7503	MV	727	226	0	0	0	43	183	1	17	7	158
PCT7504	ED	484	76	0	0	0	23	53	0	6	0	47
PCT7504	MV	484	158	0	0	1	39	118	2	8	3	105
PCT7505	ED	871	131	0	0	0	38	93	0	14	2	77
PCT7505	MV	871	417	0	0	0	101	316	0	33	10	273
PCT7506	ED	920	133	0	0	0	32	101	0	5	7	89
PCT7506	MV	920	252	0	0	0	51	201	1	17	6	177
PCT7507	ED	919	158	0	0	0	51	107	1	1	9	96
PCT7507	MV	919	255	0	0	0	52	203	1	14	14	174
PCT7508	ED	702	106	0	0	0	34	72	2	7	4	59
PCT7508	MV	702	340	0	0	0	73	267	0	26	10	231
PCT7509	ED	909	171	0	0	0	35	136	0	11	7	118
PCT7509	MV	909	319	0	0	0	66	253	0	16	21	216
PCT7512	ED	604	96	0	0	0	35	61	1	10	2	48
PCT7512	MV	604	196	0	0	0	30	166	0	31	4	131
PCT7513	ED	790	142	0	0	1	41	100	1	5	12	82
PCT7513	MV	790	208	0	0	0	48	160	0	20	11	129
PCT7514	ED	863	95	0	0	0	37	58	1	4	2	51
PCT7514	MV	863	235	0	0	0	51	184	0	18	20	146
PCT7515	ED	845	150	0	0	0	48	102	2	4	4	92
PCT7515	MV	845	289	0	0	0	65	224	1	18	5	200
PCT7516	ED	886	145	0	0	0	32	113	0	10	8	95
PCT7516	MV	886	378	0	0	0	78	300	1	33	13	253
