area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	052:JOSH JONES	053:J. BRIBIESCA	054:GLORIA ESTELA LA RIVA	055:PETER Y LIU	056:ANTONIO VILLARAIGOSA	057:YVONNE GIRARD	058:ROBERT DAVIDSON GRIFFIS	059:SHUBHAM GOEL	060:TRAVIS ALLEN	061:AKINYEMI AGBEDE	062:JOHNNY WATTENBURG	063:NICKOLAS WILDSTAR	064:DESMOND SILVEIRA	065:MICHAEL SHELLENBERGER	066:ZOLTAN ISTVAN	067:CHRISTOPHER N. CARLSON	068:THOMAS JEFFERSON CARES	069:JOHN CHIANG	070:JOHN H. COX	071:AMANDA RENTERIA	072:DELAINE EASTIN	073:JEFFREY EDWARD TAYLOR	074:KLEMENT TINAJ	075:HAKAN ''HAWK'' MIKADO	076:ALBERT CAESAR MEZZETTI	077:GAVIN NEWSOM	078:ROBERT C. NEWMAN, II	189:K. PEARCE	190:VERONIKA FIMBRES	191:ARMANDO M. ARREOLA	192:ARMAN SOLTANI	193:PETER CRAWFORD VALENTINO
PCT7018	MV	908	343	0	24	10	309	0	0	0	1	0	17	0	0	0	22	0	0	0	0	0	0	0	1	76	16	3	8	0	0	0	1	164	0	0	0	0	0	0
PCT7019	ED	864	111	0	0	2	109	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	1	4	3	1	9	0	0	0	2	77	0	0	0	0	0	0
PCT7019	MV	864	349	0	12	4	333	1	3	0	1	1	24	0	0	0	18	0	0	0	0	0	1	0	2	49	17	1	17	0	2	0	0	196	0	0	0	0	0	0
PCT7021	ED	927	129	0	2	4	123	0	0	0	1	0	14	0	0	0	0	0	0	0	0	0	1	0	3	5	4	1	15	0	0	0	2	76	1	0	0	0	0	0
PCT7021	MV	927	220	0	5	10	205	0	0	0	1	0	25	0	0	0	6	1	0	1	0	0	0	1	1	20	10	2	19	0	0	0	0	117	1	0	0	0	0	0
PCT7022	ED	923	164	0	5	2	157	0	1	2	1	0	19	1	0	0	0	0	0	0	0	0	1	0	2	7	5	1	12	0	0	0	1	104	0	0	0	0	0	0
PCT7022	MV	923	270	0	20	6	244	0	0	0	1	2	33	0	0	0	5	0	0	0	0	0	1	0	4	25	10	0	24	0	1	0	1	137	0	0	0	0	0	0
PCT7023	ED	906	131	0	6	2	123	0	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	1	3	7	2	0	12	1	0	0	0	84	0	0	0	0	0	0
PCT7023	MV	906	301	0	10	9	282	1	1	1	2	0	17	3	0	0	7	0	0	1	0	0	0	0	2	30	8	4	21	0	1	0	0	183	0	0	0	0	0	0
PCT7024	ED	386	30	0	3	2	25	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	21	0	0	0	0	0	0
PCT7024	MV	386	47	0	3	0	44	0	0	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	2	6	1	0	0	0	0	0	0	28	1	0	0	0	0	0
PCT7025	ED	448	66	0	2	3	61	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	3	1	6	0	0	0	0	42	0	0	0	0	0	0
PCT7025	MV	448	78	0	3	3	72	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	4	0	1	7	1	0	0	0	51	0	0	0	0	0	0
PCT7026	ED	971	90	0	3	2	85	0	0	0	0	0	7	0	0	0	2	1	0	0	0	0	0	0	1	10	2	1	8	0	0	0	1	52	0	0	0	0	0	0
