area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	8:RYAN LAM	9:DEAN PRESTON	10:NOMVULA O'MEARA	11:VALLIE BROWN
PCT9519	TO	882	452	0	1	17	0	434	0	21	210	3	200
PCT9521	ED	870	182	0	0	9	0	173	0	3	88	5	77
PCT9521	MV	870	295	0	0	20	0	275	0	9	106	1	159
PCT9521	TO	870	477	0	0	29	0	448	0	12	194	6	236
CONG12	ED	51976	8348	0	8	405	0	7935	0	223	4249	109	3354
CONG12	MV	51976	16417	0	31	848	0	15538	0	695	6870	156	7817
CONG12	TO	51976	24765	0	39	1253	0	23473	0	918	11119	265	11171
ASSM17	ED	39183	6286	0	5	305	0	5976	0	155	3208	81	2532
ASSM17	MV	39183	12471	0	25	653	0	11793	0	554	5217	128	5894
ASSM17	TO	39183	18757	0	30	958	0	17769	0	709	8425	209	8426
ASSM19	ED	12793	2062	0	3	100	0	1959	0	68	1041	28	822
ASSM19	MV	12793	3946	0	6	195	0	3745	0	141	1653	28	1923
ASSM19	TO	12793	6008	0	9	295	0	5704	0	209	2694	56	2745
SUPV5	ED	51976	8348	0	8	405	0	7935	0	223	4249	109	3354
SUPV5	MV	51976	16417	0	31	848	0	15538	0	695	6870	156	7817
SUPV5	TO	51976	24765	0	39	1253	0	23473	0	918	11119	265	11171
NEIG6	ED	14950	2833	0	1	93	0	2739	0	49	1532	26	1132
NEIG6	MV	14950	4844	0	6	210	0	4628	0	117	2169	41	2301
NEIG6	TO	14950	7677	0	7	303	0	7367	0	166	3701	67	3433
NEIG8	ED	7549	1286	0	0	55	0	1231	0	49	640	18	524
NEIG8	MV	7549	2516	0	3	136	0	2377	0	104	1073	14	1186
NEIG8	TO	7549	3802	0	3	191	0	3608	0	153	1713	32	1710
NEIG10	ED	2280	354	0	1	15	0	338	0	5	191	3	139
NEIG10	MV	2280	699	0	0	27	0	672	0	15	280	6	371
NEIG10	TO	2280	1053	0	1	42	0	1010	0	20	471	9	510
NEIG11	ED	3437	398	0	0	35	0	363	0	23	153	8	179
NEIG11	MV	3437	1047	0	5	64	0	978	0	88	368	23	499
NEIG11	TO	3437	1445	0	5	99	0	1341	0	111	521	31	678
NEIG25	ED	23760	3477	0	6	207	0	3264	0	97	1733	54	1380
NEIG25	MV	23760	7311	0	17	411	0	6883	0	371	2980	72	3460
NEIG25	TO	23760	10788	0	23	618	0	10147	0	468	4713	126	4840
