area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
PCT7055	MV	799	227	0	0	80	0	147	0	147
PCT7055	TO	799	264	0	0	91	0	173	0	173
PCT7101	ED	152	1	0	0	1	0	0	0	0
PCT7101	MV	152	77	0	0	14	0	63	0	63
PCT7101	TO	152	78	0	0	15	0	63	0	63
PCT7202	ED	1747	156	0	0	41	0	115	0	115
PCT7202	MV	1747	482	0	0	122	0	360	0	360
PCT7202	TO	1747	638	0	0	163	0	475	0	475
PCT7203	ED	867	103	0	0	33	0	70	0	70
PCT7203	MV	867	203	0	0	62	0	141	0	141
PCT7203	TO	867	306	0	0	95	0	211	0	211
PCT7204	ED	890	100	0	0	22	0	78	0	78
PCT7204	MV	890	294	0	0	70	0	224	0	224
PCT7204	TO	890	394	0	0	92	0	302	0	302
PCT7205	ED	862	108	0	0	27	0	81	0	81
PCT7205	MV	862	268	0	0	74	0	194	0	194
PCT7205	TO	862	376	0	0	101	0	275	0	275
PCT7207	ED	1483	126	0	0	29	0	97	0	97
PCT7207	MV	1483	551	0	0	141	0	410	0	410
PCT7207	TO	1483	677	0	0	170	0	507	0	507
PCT7208	ED	560	48	0	0	17	0	31	0	31
PCT7208	MV	560	159	0	0	42	0	117	0	117
PCT7208	TO	560	207	0	0	59	0	148	0	148
PCT7301	ED	1993	200	0	0	57	0	143	0	143
PCT7301	MV	1993	553	0	0	152	0	401	0	401
PCT7301	TO	1993	753	0	0	209	0	544	0	544
PCT7302	ED	838	98	0	0	18	0	80	0	80
PCT7302	MV	838	312	0	0	83	0	229	0	229
PCT7302	TO	838	410	0	0	101	0	309	0	309
PCT7305	ED	1633	223	0	0	64	0	159	0	159
PCT7305	MV	1633	494	0	0	142	0	352	0	352
PCT7305	TO	1633	717	0	0	206	0	511	0	511
PCT7306	ED	2083	208	0	0	59	0	149	0	149
PCT7306	MV	2083	533	0	0	162	0	371	0	371
PCT7306	TO	2083	741	0	0	221	0	520	0	520
PCT7308	ED	614	98	0	0	24	0	74	0	74
PCT7308	MV	614	181	0	0	51	0	130	0	130
PCT7308	TO	614	279	0	0	75	0	204	0	204
PCT7311	ED	866	124	0	0	28	0	96	0	96
PCT7311	MV	866	246	0	1	65	0	180	0	180
