area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	1:JOEL VENTRESCA	2:WILMA PANG	3:ROBERT L. JORDAN, JR.	4:PAUL YBARRA ROBERTSON	5:ELLEN LEE ZHOU	6:LONDON N. BREED	53:MARC ROTH
PCT7029	TO	1812	307	0	1	17	0	289	0	7	2	3	13	29	235	0
PCT7030	ED	787	46	0	0	2	0	44	0	1	1	2	1	16	23	0
PCT7030	MV	787	132	0	1	3	0	128	0	4	2	3	4	52	63	0
PCT7030	TO	787	178	0	1	5	0	172	0	5	3	5	5	68	86	0
PCT7031	ED	680	24	0	0	0	0	24	1	0	1	0	0	4	18	0
PCT7031	MV	680	123	0	1	4	0	118	0	7	2	4	4	34	67	0
PCT7031	TO	680	147	0	1	4	0	142	1	7	3	4	4	38	85	0
PCT7032	ED	876	48	0	0	2	0	46	0	1	2	2	3	3	35	0
PCT7032	MV	876	107	0	1	5	0	101	0	0	2	1	5	24	69	0
PCT7032	TO	876	155	0	1	7	0	147	0	1	4	3	8	27	104	0
PCT7033	ED	770	61	0	0	2	0	59	2	1	0	0	4	2	50	0
PCT7033	MV	770	83	0	1	3	0	79	0	3	1	1	1	11	62	0
PCT7033	TO	770	144	0	1	5	0	138	2	4	1	1	5	13	112	0
PCT7034	ED	954	36	0	0	2	0	34	0	0	1	0	2	4	27	0
PCT7034	MV	954	57	0	0	2	0	55	0	0	0	1	7	5	42	0
PCT7034	TO	954	93	0	0	4	0	89	0	0	1	1	9	9	69	0
PCT7035	ED	681	26	0	1	1	0	24	0	1	1	0	1	1	20	0
PCT7035	MV	681	97	0	1	12	0	84	0	2	3	2	3	8	66	0
PCT7035	TO	681	123	0	2	13	0	108	0	3	4	2	4	9	86	0
PCT7037	ED	1676	59	0	0	4	0	55	1	3	1	1	3	2	44	0
PCT7037	MV	1676	143	0	1	8	0	134	0	4	2	5	2	46	75	0
PCT7037	TO	1676	202	0	1	12	0	189	1	7	3	6	5	48	119	0
PCT7038	ED	924	34	0	0	1	0	33	0	1	0	0	0	5	27	0
PCT7038	MV	924	129	0	2	5	0	122	0	2	2	1	11	45	61	0
PCT7038	TO	924	163	0	2	6	0	155	0	3	2	1	11	50	88	0
PCT7039	ED	830	71	0	0	7	0	64	2	7	4	2	1	11	37	0
PCT7039	MV	830	110	0	1	0	0	109	0	4	6	1	9	24	65	0
PCT7039	TO	830	181	0	1	7	0	173	2	11	10	3	10	35	102	0
PCT7041	MV	60	11	0	0	0	0	11	0	0	0	0	1	4	6	0
PCT7041	TO	60	11	0	0	0	0	11	0	0	0	0	1	4	6	0
PCT7042	ED	1069	67	0	0	4	0	63	2	2	1	1	6	12	39	0
PCT7042	MV	1069	110	0	0	8	0	102	0	5	3	5	7	24	58	0
PCT7042	TO	1069	177	0	0	12	0	165	2	7	4	6	13	36	97	0
PCT7043	ED	961	40	0	0	4	0	36	1	2	0	0	1	2	30	0
PCT7043	MV	961	104	0	1	11	0	92	0	5	6	1	2	24	54	0
PCT7043	TO	961	144	0	1	15	0	128	1	7	6	1	3	26	84	0
PCT7044	ED	844	23	0	0	1	0	22	0	0	0	0	0	1	21	0
PCT7044	MV	844	61	0	3	4	0	54	0	2	1	1	5	15	30	0
PCT7044	TO	844	84	0	3	5	0	76	0	2	1	1	5	16	51	0
PCT7045	ED	783	39	0	0	3	0	36	1	2	2	0	1	8	22	0
PCT7045	MV	783	143	0	0	7	0	136	0	2	6	1	5	43	79	0
PCT7045	TO	783	182	0	0	10	0	172	1	4	8	1	6	51	101	0
PCT7047	ED	1727	73	0	0	8	0	65	1	6	0	0	4	11	43	0
PCT7047	MV	1727	257	0	2	11	0	244	0	15	3	10	12	96	108	0
PCT7047	TO	1727	330	0	2	19	0	309	1	21	3	10	16	107	151	0
PCT7048	ED	870	37	0	0	2	0	35	0	1	1	0	0	2	31	0
PCT7048	MV	870	120	0	0	6	0	114	0	8	0	4	8	20	74	0
PCT7048	TO	870	157	0	0	8	0	149	0	9	1	4	8	22	105	0
PCT7049	ED	815	50	0	0	1	0	49	0	0	3	0	5	12	29	0
PCT7049	MV	815	123	0	0	7	0	116	0	4	1	1	11	36	63	0
PCT7049	TO	815	173	0	0	8	0	165	0	4	4	1	16	48	92	0
PCT7052	ED	878	67	0	0	3	0	64	0	5	1	1	3	6	48	0
PCT7052	MV	878	131	0	0	8	0	123	0	6	3	4	3	46	61	0
PCT7052	TO	878	198	0	0	11	0	187	0	11	4	5	6	52	109	0
PCT7053	ED	568	22	0	0	1	0	21	0	0	0	0	1	3	17	0
PCT7053	MV	568	84	0	0	8	0	76	0	3	4	1	2	14	52	0
PCT7053	TO	568	106	0	0	9	0	97	0	3	4	1	3	17	69	0
PCT7054	ED	1111	60	0	0	7	0	53	0	0	2	1	1	1	48	0
PCT7054	MV	1111	98	0	0	7	0	91	0	4	0	1	0	21	65	0
PCT7054	TO	1111	158	0	0	14	0	144	0	4	2	2	1	22	113	0
PCT7055	ED	799	21	0	0	2	0	19	1	2	0	1	0	3	12	0
PCT7055	MV	799	118	0	0	6	0	112	0	6	3	1	3	44	55	0
PCT7055	TO	799	139	0	0	8	0	131	1	8	3	2	3	47	67	0
PCT7101	MV	152	27	0	1	3	0	23	0	3	1	0	1	2	16	0
PCT7101	TO	152	27	0	1	3	0	23	0	3	1	0	1	2	16	0
PCT7202	ED	1747	118	0	0	11	0	107	0	7	7	2	7	9	75	0
PCT7202	MV	1747	264	0	1	23	0	240	0	16	8	4	17	28	167	0
PCT7202	TO	1747	382	0	1	34	0	347	0	23	15	6	24	37	242	0
PCT7203	ED	867	83	0	0	9	0	74	0	8	0	1	3	9	53	0
PCT7203	MV	867	85	0	0	11	0	74	0	4	0	0	4	7	59	0
PCT7203	TO	867	168	0	0	20	0	148	0	12	0	1	7	16	112	0
PCT7204	ED	890	73	0	0	8	0	65	2	7	1	0	4	6	45	0
PCT7204	MV	890	153	0	0	9	0	144	0	6	1	3	7	9	118	0
PCT7204	TO	890	226	0	0	17	0	209	2	13	2	3	11	15	163	0
PCT7205	ED	862	85	0	0	9	0	76	0	5	3	1	4	5	58	0
PCT7205	MV	862	134	0	0	14	0	120	0	8	7	1	7	8	89	0
PCT7205	TO	862	219	0	0	23	0	196	0	13	10	2	11	13	147	0
PCT7207	ED	1483	87	0	0	6	0	81	1	4	1	0	2	9	64	0
PCT7207	MV	1483	315	0	2	21	0	292	0	19	8	3	18	22	222	0
PCT7207	TO	1483	402	0	2	27	0	373	1	23	9	3	20	31	286	0
