area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	13:DENNIS J. HERRERA
PCT7306	MV	2083	260	0	0	66	0	194	0	194
PCT7306	TO	2083	426	0	0	103	0	323	0	323
PCT7308	ED	614	75	0	0	15	0	60	0	60
PCT7308	MV	614	94	0	0	20	0	74	0	74
PCT7308	TO	614	169	0	0	35	0	134	0	134
PCT7311	ED	866	89	0	0	13	0	76	0	76
PCT7311	MV	866	123	0	1	23	0	99	0	99
PCT7311	TO	866	212	0	1	36	0	175	0	175
PCT7312	ED	801	69	0	0	16	0	53	0	53
PCT7312	MV	801	157	0	0	26	0	131	0	131
PCT7312	TO	801	226	0	0	42	0	184	0	184
PCT7314	ED	1749	106	0	0	21	0	85	1	84
PCT7314	MV	1749	286	0	0	84	0	202	0	202
PCT7314	TO	1749	392	0	0	105	0	287	1	286
PCT7315	ED	1584	130	0	0	22	0	108	0	108
PCT7315	MV	1584	200	0	0	47	0	153	0	153
PCT7315	TO	1584	330	0	0	69	0	261	0	261
PCT7317	ED	875	59	0	0	8	0	51	1	50
PCT7317	MV	875	187	0	0	48	0	139	0	139
PCT7317	TO	875	246	0	0	56	0	190	1	189
PCT7318	ED	1567	109	0	0	22	0	87	1	86
PCT7318	MV	1567	237	0	0	55	0	182	0	182
PCT7318	TO	1567	346	0	0	77	0	269	1	268
PCT7321	ED	1533	57	0	0	14	0	43	0	43
PCT7321	MV	1533	270	0	1	93	0	176	0	176
PCT7321	TO	1533	327	0	1	107	0	219	0	219
PCT7323	ED	1967	149	0	0	26	0	123	2	121
PCT7323	MV	1967	244	0	0	65	0	179	0	179
PCT7323	TO	1967	393	0	0	91	0	302	2	300
PCT7325	ED	1588	104	0	0	26	0	78	0	78
PCT7325	MV	1588	202	0	0	43	0	159	0	159
PCT7325	TO	1588	306	0	0	69	0	237	0	237
PCT7326	ED	1709	123	0	0	19	0	104	1	103
PCT7326	MV	1709	285	0	0	76	0	209	0	209
PCT7326	TO	1709	408	0	0	95	0	313	1	312
PCT7327	ED	668	26	0	1	4	0	21	0	21
PCT7327	MV	668	166	0	0	51	0	115	0	115
PCT7327	TO	668	192	0	1	55	0	136	0	136
PCT7328	ED	985	33	0	0	14	0	19	0	19
PCT7328	MV	985	237	0	0	83	0	154	0	154
PCT7328	TO	985	270	0	0	97	0	173	0	173
PCT7329	ED	638	31	0	0	7	0	24	0	24
PCT7329	MV	638	120	0	0	30	0	90	0	90
PCT7329	TO	638	151	0	0	37	0	114	0	114
PCT7331	ED	850	102	0	0	23	0	79	3	76
PCT7331	MV	850	181	0	0	51	0	130	0	130
PCT7331	TO	850	283	0	0	74	0	209	3	206
PCT7332	ED	1601	145	0	0	28	0	117	1	116
PCT7332	MV	1601	222	0	0	42	0	180	0	180
PCT7332	TO	1601	367	0	0	70	0	297	1	296
PCT7333	ED	1930	151	0	0	24	0	127	2	125
PCT7333	MV	1930	265	0	0	61	0	204	0	204
PCT7333	TO	1930	416	0	0	85	0	331	2	329
PCT7336	ED	2021	168	0	0	31	0	137	1	136
PCT7336	MV	2021	268	0	0	68	0	200	0	200
PCT7336	TO	2021	436	0	0	99	0	337	1	336
PCT7338	ED	1783	120	0	0	24	0	96	0	96
PCT7338	MV	1783	355	0	0	90	0	265	0	265
PCT7338	TO	1783	475	0	0	114	0	361	0	361
PCT7339	ED	1588	131	0	0	21	0	110	1	109
PCT7339	MV	1588	224	0	0	53	0	171	0	171
PCT7339	TO	1588	355	0	0	74	0	281	1	280
PCT7342	ED	909	132	0	0	27	0	105	1	104
PCT7342	MV	909	113	0	0	24	0	89	0	89
PCT7342	TO	909	245	0	0	51	0	194	1	193
PCT7343	ED	706	65	0	0	14	0	51	1	50
PCT7343	MV	706	65	0	0	11	0	54	0	54
PCT7343	TO	706	130	0	0	25	0	105	1	104
PCT7344	ED	1052	93	0	0	20	0	73	0	73
PCT7344	MV	1052	157	0	0	33	0	124	0	124
PCT7344	TO	1052	250	0	0	53	0	197	0	197
PCT7346	ED	879	83	0	0	14	0	69	2	67
PCT7346	MV	879	89	0	0	21	0	68	0	68
PCT7346	TO	879	172	0	0	35	0	137	2	135
PCT7348	ED	1826	121	0	1	13	0	107	1	106
PCT7348	MV	1826	257	0	0	58	0	199	0	199
PCT7348	TO	1826	378	0	1	71	0	306	1	305
PCT7502	ED	779	66	0	0	10	0	56	4	52
PCT7502	MV	779	124	0	0	29	0	95	0	95
PCT7502	TO	779	190	0	0	39	0	151	4	147
PCT7503	ED	725	56	0	0	6	0	50	0	50
PCT7503	MV	725	96	0	0	15	0	81	0	81
PCT7503	TO	725	152	0	0	21	0	131	0	131
PCT7504	ED	1019	95	0	0	13	0	82	0	82
PCT7504	MV	1019	142	0	0	23	0	119	0	119
PCT7504	TO	1019	237	0	0	36	0	201	0	201
PCT7505	ED	851	78	0	0	11	0	67	1	66
PCT7505	MV	851	250	0	0	49	0	201	0	201
PCT7505	TO	851	328	0	0	60	0	268	1	267
PCT7506	ED	1913	135	0	0	21	0	114	0	114
PCT7506	MV	1913	285	0	0	66	0	219	0	219
PCT7506	TO	1913	420	0	0	87	0	333	0	333
PCT7508	ED	720	75	0	0	10	0	65	0	65
PCT7508	MV	720	159	0	0	43	0	116	0	116
PCT7508	TO	720	234	0	0	53	0	181	0	181
PCT7509	ED	914	100	0	0	14	0	86	0	86
PCT7509	MV	914	164	0	0	25	0	139	0	139
PCT7509	TO	914	264	0	0	39	0	225	0	225
PCT7512	ED	588	58	0	0	15	0	43	1	42
PCT7512	MV	588	117	0	0	28	0	89	0	89
PCT7512	TO	588	175	0	0	43	0	132	1	131
PCT7513	ED	784	79	0	0	17	0	62	2	60
PCT7513	MV	784	108	0	0	26	0	82	0	82
PCT7513	TO	784	187	0	0	43	0	144	2	142
PCT7514	ED	901	54	0	0	8	0	46	0	46
PCT7514	MV	901	141	0	0	37	0	104	0	104
PCT7514	TO	901	195	0	0	45	0	150	0	150
PCT7515	ED	852	70	0	0	10	0	60	1	59
PCT7515	MV	852	101	0	0	22	0	79	0	79
PCT7515	TO	852	171	0	0	32	0	139	1	138
PCT7516	ED	906	89	0	0	17	0	72	1	71
PCT7516	MV	906	189	0	0	47	0	142	0	142
PCT7516	TO	906	278	0	0	64	0	214	1	213
PCT7518	ED	1754	221	0	0	30	0	191	0	191
PCT7518	MV	1754	218	0	0	35	0	183	0	183
PCT7518	TO	1754	439	0	0	65	0	374	0	374
PCT7519	ED	709	88	0	0	15	0	73	0	73
PCT7519	MV	709	76	0	0	16	0	60	0	60
PCT7519	TO	709	164	0	0	31	0	133	0	133
PCT7521	ED	761	98	0	0	17	0	81	1	80
PCT7521	MV	761	94	0	0	19	0	75	0	75
PCT7521	TO	761	192	0	0	36	0	156	1	155
PCT7522	ED	1464	203	0	0	23	0	180	1	179
PCT7522	MV	1464	158	0	0	27	0	131	0	131
PCT7522	TO	1464	361	0	0	50	0	311	1	310
PCT7524	ED	606	75	0	0	13	0	62	1	61
PCT7524	MV	606	60	0	0	10	0	50	0	50
PCT7524	TO	606	135	0	0	23	0	112	1	111
PCT7525	ED	762	67	0	0	4	0	63	0	63
PCT7525	MV	762	79	0	0	13	0	66	0	66
PCT7525	TO	762	146	0	0	17	0	129	0	129
PCT7526	ED	974	93	0	0	15	0	78	1	77
PCT7526	MV	974	127	0	0	29	0	98	0	98
PCT7526	TO	974	220	0	0	44	0	176	1	175
PCT7527	ED	689	92	0	0	16	0	76	0	76
PCT7527	MV	689	95	0	0	18	0	77	0	77
PCT7527	TO	689	187	0	0	34	0	153	0	153
PCT7529	ED	906	137	0	0	20	0	117	1	116
PCT7529	MV	906	121	0	0	26	0	95	0	95
PCT7529	TO	906	258	0	0	46	0	212	1	211
