area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	24:JOSÉ CISNEROS
PCT7208	TO	560	139	0	0	28	0	111	1	110
PCT7301	ED	1993	161	0	0	43	0	118	1	117
PCT7301	MV	1993	298	0	0	75	0	223	0	223
PCT7301	TO	1993	459	0	0	118	0	341	1	340
PCT7302	ED	838	81	0	0	12	0	69	0	69
PCT7302	MV	838	199	0	0	53	0	146	0	146
PCT7302	TO	838	280	0	0	65	0	215	0	215
PCT7305	ED	1633	161	0	0	42	0	119	0	119
PCT7305	MV	1633	249	0	0	72	0	177	0	177
PCT7305	TO	1633	410	0	0	114	0	296	0	296
PCT7306	ED	2083	166	0	0	45	0	121	0	121
PCT7306	MV	2083	260	0	0	68	0	192	0	192
PCT7306	TO	2083	426	0	0	113	0	313	0	313
PCT7308	ED	614	75	0	0	16	0	59	0	59
PCT7308	MV	614	94	0	0	22	0	72	0	72
PCT7308	TO	614	169	0	0	38	0	131	0	131
PCT7311	ED	866	89	0	0	14	0	75	0	75
PCT7311	MV	866	123	0	1	21	0	101	0	101
PCT7311	TO	866	212	0	1	35	0	176	0	176
PCT7312	ED	801	69	0	0	12	0	57	0	57
PCT7312	MV	801	157	0	0	28	0	129	0	129
PCT7312	TO	801	226	0	0	40	0	186	0	186
PCT7314	ED	1749	106	0	0	26	0	80	0	80
PCT7314	MV	1749	286	0	0	89	0	197	0	197
PCT7314	TO	1749	392	0	0	115	0	277	0	277
PCT7315	ED	1584	130	0	0	23	0	107	0	107
PCT7315	MV	1584	200	0	0	48	0	152	0	152
PCT7315	TO	1584	330	0	0	71	0	259	0	259
PCT7317	ED	875	59	0	0	6	0	53	0	53
PCT7317	MV	875	187	0	0	51	0	136	0	136
PCT7317	TO	875	246	0	0	57	0	189	0	189
PCT7318	ED	1567	109	0	0	21	0	88	1	87
PCT7318	MV	1567	237	0	0	54	0	183	0	183
PCT7318	TO	1567	346	0	0	75	0	271	1	270
PCT7321	ED	1533	57	0	0	17	0	40	0	40
PCT7321	MV	1533	270	0	0	89	0	181	0	181
PCT7321	TO	1533	327	0	0	106	0	221	0	221
PCT7323	ED	1967	149	0	0	28	0	121	2	119
PCT7323	MV	1967	244	0	0	60	0	184	0	184
PCT7323	TO	1967	393	0	0	88	0	305	2	303
PCT7325	ED	1588	104	0	0	27	0	77	0	77
PCT7325	MV	1588	202	0	0	41	0	161	0	161
PCT7325	TO	1588	306	0	0	68	0	238	0	238
PCT7326	ED	1709	123	0	0	24	0	99	1	98
PCT7326	MV	1709	285	0	0	82	0	203	0	203
PCT7326	TO	1709	408	0	0	106	0	302	1	301
PCT7327	ED	668	26	0	0	5	0	21	0	21
PCT7327	MV	668	166	0	0	39	0	127	0	127
PCT7327	TO	668	192	0	0	44	0	148	0	148
PCT7328	ED	985	33	0	0	10	0	23	0	23
PCT7328	MV	985	237	0	0	77	0	160	0	160
PCT7328	TO	985	270	0	0	87	0	183	0	183
PCT7329	ED	638	31	0	0	12	0	19	0	19
PCT7329	MV	638	120	0	0	30	0	90	0	90
PCT7329	TO	638	151	0	0	42	0	109	0	109
PCT7331	ED	850	102	0	0	25	0	77	2	75
PCT7331	MV	850	181	0	0	58	0	123	0	123
PCT7331	TO	850	283	0	0	83	0	200	2	198
PCT7332	ED	1601	145	0	0	33	0	112	0	112
PCT7332	MV	1601	222	0	0	46	0	176	0	176
PCT7332	TO	1601	367	0	0	79	0	288	0	288
PCT7333	ED	1930	151	0	0	24	0	127	1	126
PCT7333	MV	1930	265	0	0	60	0	205	0	205
PCT7333	TO	1930	416	0	0	84	0	332	1	331
PCT7336	ED	2021	168	0	0	39	0	129	1	128
PCT7336	MV	2021	268	0	0	72	0	196	0	196
PCT7336	TO	2021	436	0	0	111	0	325	1	324
PCT7338	ED	1783	120	0	0	29	0	91	0	91
PCT7338	MV	1783	355	0	0	90	0	265	0	265
PCT7338	TO	1783	475	0	0	119	0	356	0	356
PCT7339	ED	1588	131	0	0	28	0	103	1	102
PCT7339	MV	1588	224	0	0	49	0	175	0	175
PCT7339	TO	1588	355	0	0	77	0	278	1	277
PCT7342	ED	909	132	0	0	28	0	104	1	103
PCT7342	MV	909	113	0	0	25	0	88	0	88
PCT7342	TO	909	245	0	0	53	0	192	1	191
PCT7343	ED	706	65	0	0	18	0	47	1	46
PCT7343	MV	706	65	0	0	13	0	52	0	52
PCT7343	TO	706	130	0	0	31	0	99	1	98
PCT7344	ED	1052	93	0	0	25	0	68	0	68
PCT7344	MV	1052	157	0	0	37	0	120	0	120
PCT7344	TO	1052	250	0	0	62	0	188	0	188
PCT7346	ED	879	83	0	0	19	0	64	2	62
PCT7346	MV	879	89	0	0	22	0	67	0	67
PCT7346	TO	879	172	0	0	41	0	131	2	129
PCT7348	ED	1826	121	0	0	19	0	102	2	100
PCT7348	MV	1826	257	0	0	65	0	192	0	192
PCT7348	TO	1826	378	0	0	84	0	294	2	292
PCT7502	ED	779	66	0	0	12	0	54	2	52
PCT7502	MV	779	124	0	0	31	0	93	0	93
PCT7502	TO	779	190	0	0	43	0	147	2	145
PCT7503	ED	725	56	0	0	7	0	49	0	49
PCT7503	MV	725	96	0	0	13	0	83	0	83
PCT7503	TO	725	152	0	0	20	0	132	0	132
PCT7504	ED	1019	95	0	0	20	0	75	0	75
PCT7504	MV	1019	142	0	0	23	0	119	0	119
PCT7504	TO	1019	237	0	0	43	0	194	0	194
