area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	26:JENNY LAM	27:KIRSTEN STROBEL	28:ROBERT K. COLEMAN
PCT7043	TO	961	289	0	3	44	242	0	188	35	19
PCT7044	ED	844	42	0	1	8	33	0	18	6	9
PCT7044	MV	844	115	0	2	12	101	0	65	22	14
PCT7044	TO	844	157	0	3	20	134	0	83	28	23
PCT7045	ED	783	49	0	1	8	40	0	22	10	8
PCT7045	MV	783	243	0	3	32	208	0	167	25	16
PCT7045	TO	783	292	0	4	40	248	0	189	35	24
PCT7047	ED	1727	102	0	1	20	81	0	56	11	14
PCT7047	MV	1727	509	0	2	93	414	0	326	57	31
PCT7047	TO	1727	611	0	3	113	495	0	382	68	45
PCT7048	ED	870	53	0	0	6	47	0	30	7	10
PCT7048	MV	870	209	0	1	28	180	0	136	28	16
PCT7048	TO	870	262	0	1	34	227	0	166	35	26
PCT7049	ED	815	68	0	0	8	60	0	44	9	7
PCT7049	MV	815	200	0	0	24	176	0	144	17	15
PCT7049	TO	815	268	0	0	32	236	0	188	26	22
PCT7052	ED	878	87	0	0	12	75	0	56	14	5
PCT7052	MV	878	247	0	1	25	221	0	174	30	17
PCT7052	TO	878	334	0	1	37	296	0	230	44	22
PCT7053	ED	568	38	0	0	12	26	0	21	5	0
PCT7053	MV	568	146	0	0	26	120	0	103	10	7
PCT7053	TO	568	184	0	0	38	146	0	124	15	7
PCT7054	ED	1111	87	0	0	17	70	0	35	17	18
PCT7054	MV	1111	243	0	4	31	208	0	149	29	30
PCT7054	TO	1111	330	0	4	48	278	0	184	46	48
PCT7055	ED	799	37	0	0	6	31	0	20	8	3
PCT7055	MV	799	228	0	1	45	182	0	161	13	8
PCT7055	TO	799	265	0	1	51	213	0	181	21	11
PCT7101	ED	152	2	0	0	1	1	0	1	0	0
PCT7101	MV	152	77	0	1	14	62	0	47	11	4
PCT7101	TO	152	79	0	1	15	63	0	48	11	4
PCT7202	ED	1747	156	0	0	35	121	0	72	40	9
PCT7202	MV	1747	485	0	0	104	381	0	288	66	27
PCT7202	TO	1747	641	0	0	139	502	0	360	106	36
PCT7203	ED	867	103	0	0	27	76	0	49	22	5
PCT7203	MV	867	203	0	4	44	155	0	107	33	15
PCT7203	TO	867	306	0	4	71	231	0	156	55	20
PCT7204	ED	890	100	0	0	16	84	0	54	22	8
PCT7204	MV	890	296	0	1	55	240	0	185	36	19
