||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|Placer|92445|28859|36804|3217|259|1529|220|493|367|20697
|Sacramento|170832|63318|56192|6790|750|2366|1032|976|598|38810
|Sutter|48423|14802|19540|1762|99|475|193|325|1740|9487
|Tehama|35087|8695|15895|1768|79|429|140|25|105|7951
|Yuba|36707|10220|13938|1856|150|478|242|363|167|9293
District Total||522223|173998|192742|20717|2098|6969|2371|2700|4030|116598
|Percent||0.33318716287612915|0.3690798878669739|0.03967079147696495|0.004017440602183342|0.013344873674213886|0.004540205933153629|0.005170205142349005|0.007717009633779526|0.2232724279165268

State Senate 5
|Sacramento|14903|4929|5672|605|42|163|73|79|49|3291
|San Joaquin|326470|140984|94440|10235|873|2767|1591|3272|1100|71208
|Stanislaus|123511|47956|42877|4249|314|1139|494|726|1083|24673
District Total||464884|193869|142989|15089|1229|4069|2158|4077|2232|99172
|Percent||0.4170266091823578|0.30757996439933777|0.032457560300827026|0.0026436701882630587|0.00875272136181593|0.004642018117010593|0.0087699294090271|0.004801197908818722|0.2133263349533081

State Senate 6
|Sacramento|505177|253433|99599|15820|2134|4527|3608|3486|1474|121096
|Yolo|28681|12615|6271|1115|114|246|204|173|123|7820
District Total||533858|266048|105870|16935|2248|4773|3812|3659|1597|128916
|Percent||0.49834975600242615|0.19831116497516632|0.031721919775009155|0.0042108576744794846|0.008940579369664192|0.007140475325286388|0.006853882689028978|0.0029914320912212133|0.24147994816303253

State Senate 7
|Alameda|135019|56495|33571|4210|369|1181|264|11|817|38101
|Contra Costa|463575|219947|105033|14480|1450|3768|1333|2109|1130|114325
District Total||598594|276442|138604|18690|1819|4949|1597|2120|1947|152426
|Percent||0.4618188738822937|0.23154926300048828|0.03122316673398018|0.003038787515833974|0.00826770719140768|0.0026679185684770346|0.003541632555425167|0.0032526219729334116|0.25464004278182983

State Senate 8
|Amador|23717|6780|10894|1055|98|347|65|30|55|4393
|Calaveras|29889|8237|13167|1433|170|477|100|160|253|5892
|Fresno|312809|110897|114609|10536|980|2700|1186|1178|2784|67939
|Inyo|10029|3299|4072|385|35|90|33|31|57|2027
|Madera|17207|4171|8776|739|55|204|43|77|95|3047
|Mariposa|10916|3101|4931|464|59|125|33|34|109|2060
|Mono|7095|2627|2178|263|50|79|29|3|7|1859
|Sacramento|29921|10058|11307|1101|78|401|114|129|73|6660
|Stanislaus|77820|23883|33534|2752|198|733|283|407|624|15406
|Tulare|2583|819|1141|88|16|20|6|17|10|466
|Tuolumne|32562|9634|14053|1411|145|425|113|8|51|6722
District Total||554548|183506|218662|20227|1884|5601|2005|2074|4118|116471
|Percent||0.33091095089912415|0.3943067193031311|0.03647474944591522|0.0033973613753914833|0.01010011788457632|0.0036155572161078453|0.003739982843399048|0.007425867486745119|0.21002870798110962

State Senate 9
|Alameda|455879|304136|24264|7736|4055|2165|1827|15|3001|108680
|Contra Costa|139176|88904|11227|2821|867|708|725|784|305|32835
District Total||595055|393040|35491|10557|4922|2873|2552|799|3306|141515
|Percent||0.6605103611946106|0.059643227607011795|0.017741216346621513|0.008271504193544388|0.004828125238418579|0.004288678988814354|0.001342733041383326|0.005555788986384869|0.23781836032867432

State Senate 10
|Alameda|329277|173634|42489|7069|1259|1959|1263|21|2007|99576
|Santa Clara|153508|72728|23528|3327|486|1097|543|42|337|51420
District Total||482785|246362|66017|10396|1745|3056|1806|63|2344|150996
|Percent||0.5102934241294861|0.1367420256137848|0.02153339423239231|0.003614445449784398|0.00632993970066309|0.0037407956551760435|0.00013049287372268736|0.004855163395404816|0.3127603530883789

State Senate 11
|San Francisco|505246|305309|33077|8686|3142|3125|1545|4044|810|145508
|San Mateo|63124|34935|6628|1196|216|293|283|382|275|18916
District Total||568370|340244|39705|9882|3358|3418|1828|4426|1085|164424
|Percent||0.5986311435699463|0.06985766440629959|0.017386561259627342|0.005908123217523098|0.006013688165694475|0.0032162147108465433|0.007787181064486504|0.001908967737108469|0.2892904281616211

State Senate 12
|Fresno|49529|18609|16579|1477|107|312|243|228|448|11526
|Madera|44644|15885|15383|1417|120|362|282|351|226|10618
|Merced|104706|45090|29361|3658|310|874|501|143|199|24570
|Monterey|85861|47529|13468|1788|273|468|496|872|127|20840
|San Benito|32453|15067|8468|996|107|290|130|31|44|7320
|Stanislaus|59995|27539|16131|1768|151|440|363|419|490|12694
District Total||377188|169719|99390|11104|1068|2746|2015|2044|1534|87568
|Percent||0.4499586522579193|0.2635025382041931|0.02943889982998371|0.002831479301676154|0.007280189078301191|0.005342163611203432|0.005419048480689526|0.004066937603056431|0.23216009140014648

State Senate 13
