||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|Watsonville|19876|12082|2046|343|89|116|141|45|77|4937

|Unincorporated Area|89472|49019|14772|2389|807|971|282|154|423|20655
Santa Cruz Totals||163604|94175|22739|3894|1395|1543|582|249|779|38248
     Percent|||0.5756277441978455|0.13898804783821106|0.023801373317837715|0.008526686578989029|0.009431309998035431|0.003557370277121663|0.0015219677006825805|0.004761497490108013|0.233784019947052

Shasta
  Districts
|County Supervisorial 1|20096|5456|8656|868|103|299|84|19|68|4543
|County Supervisorial 2|20298|4771|9584|846|75|258|79|20|58|4607
|County Supervisorial 3|20502|4523|10309|850|65|246|79|13|56|4361
|County Supervisorial 4|21267|4714|10601|909|60|234|73|30|61|4585
|County Supervisorial 5|21720|4671|11248|968|51|232|64|24|41|4421

|US Congressional 1|103883|24135|50398|4441|354|1269|379|106|284|22517

|State Senate 1|103883|24135|50398|4441|354|1269|379|106|284|22517

|State Assembly 1|103883|24135|50398|4441|354|1269|379|106|284|22517

|State Board of Equalization 1|103883|24135|50398|4441|354|1269|379|106|284|22517

  Cities
|Anderson|5273|1254|2316|269|13|68|23|11|15|1304
|Redding|51806|12796|24016|2133|214|693|180|44|152|11578
|Shasta Lake|5591|1403|2426|287|19|66|34|11|18|1327

|Unincorporated Area|41213|8682|21640|1752|108|442|142|40|99|8308
Shasta Totals||103883|24135|50398|4441|354|1269|379|106|284|22517
     Percent|||0.23232868313789368|0.48514193296432495|0.04275001585483551|0.003407679731026292|0.01221566554158926|0.003648335114121437|0.001020378665998578|0.0027338447980582714|0.21675346791744232

Sierra
  Districts
|County Supervisorial 1|485|154|179|30|9|14|1|1|4|93
|County Supervisorial 2|406|134|167|20|1|5|1|0|8|70
|County Supervisorial 3|464|138|201|28|1|5|1|1|8|81
|County Supervisorial 4|423|117|174|32|2|4|0|0|7|87
|County Supervisorial 5|345|71|169|24|4|3|0|0|2|72

|US Congressional 1|2123|614|890|134|17|31|3|2|29|403

|State Senate 1|2123|614|890|134|17|31|3|2|29|403

|State Assembly 1|2123|614|890|134|17|31|3|2|29|403

|State Board of Equalization 1|2123|614|890|134|17|31|3|2|29|403

  Cities
|Loyalton|432|120|176|34|2|4|0|0|7|89

|Unincorporated Area|1691|494|714|100|15|27|3|2|22|314
Sierra Totals||2123|614|890|134|17|31|3|2|29|403
     Percent|||0.2892133891582489|0.4192180931568146|0.06311822682619095|0.008007536642253399|0.014601978473365307|0.0014130946947261691|0.0009420631104148924|0.013659914955496788|0.18982571363449097

Siskiyou
  Districts
|County Supervisorial 1|4687|1160|2194|230|18|45|30|24|11|975
|County Supervisorial 2|5952|2460|1631|253|60|86|31|34|18|1379
|County Supervisorial 3|6033|2001|2143|321|29|68|27|32|22|1390
|County Supervisorial 4|5647|1404|2555|282|29|75|23|46|14|1219
|County Supervisorial 5|5343|1303|2464|264|30|85|27|17|11|1142

|US Congressional 1|27662|8328|10987|1350|166|359|138|153|76|6105

|State Senate 1|27662|8328|10987|1350|166|359|138|153|76|6105

|State Assembly 1|27662|8328|10987|1350|166|359|138|153|76|6105

|State Board of Equalization 1|27662|8328|10987|1350|166|359|138|153|76|6105

  Cities
|Dorris|353|89|162|18|0|2|3|1|4|74
|Dunsmuir|1022|403|257|51|15|19|8|9|2|258
|Etna|415|108|199|20|2|3|2|2|1|78
|Fort Jones|397|97|178|19|3|6|3|1|0|90
|Montague|811|158|386|42|4|10|6|5|2|198
|Mt. Shasta|2280|1008|549|94|25|34|8|15|7|540
|Tulelake|259|57|122|11|0|0|2|1|0|66
|Weed|1394|530|345|83|12|24|12|13|8|367
|Yreka|4375|1199|1822|227|24|58|20|38|13|974

|Unincorporated Area|16356|4679|6967|785|81|203|74|68|39|3460
Siskiyou Totals||27662|8328|10987|1350|166|359|138|153|76|6105
     Percent|||0.30106282234191895|0.3971874713897705|0.048803411424160004|0.006001012399792671|0.012978092767298222|0.004988793283700943|0.005531053524464369|0.0027474514208734035|0.22069987654685974

Solano
  Districts
|County Supervisorial 1|46159|26644|5545|1158|195|269|268|292|286|11502
|County Supervisorial 2|52784|27244|9774|1606|219|418|189|243|325|12766
|County Supervisorial 3|42423|20477|8490|1383|136|356|215|213|258|10895
|County Supervisorial 4|44765|16505|14812|1707|135|533|136|176|266|10495
|County Supervisorial 5|53136|22377|14992|1831|150|501|165|276|304|12540

|US Congressional 3|153288|65361|41108|5332|456|1497|559|719|906|37350
|US Congressional 5|85979|47886|12505|2353|379|580|414|481|533|20848

|State Senate 3|239267|113247|53613|7685|835|2077|973|1200|1439|58198

|State Assembly 4|18646|6467|6900|660|49|209|43|83|107|4128
|State Assembly 11|134632|58889|34204|4672|407|1288|516|636|799|33221
|State Assembly 14|85989|47891|12509|2353|379|580|414|481|533|20849

|State Board of Equalization 2|239267|113247|53613|7685|835|2077|973|1200|1439|58198

  Cities
|Benicia|19246|9638|4195|626|79|165|42|59|111|4331
|Dixon|10544|4008|3426|357|25|112|34|45|54|2483
|Fairfield|57422|27374|11901|1829|173|474|261|272|343|14795
|Rio Vista|6807|2989|2137|286|14|55|15|27|39|1245
|Suisun City|15597|7900|2773|463|43|138|65|87|84|4044
|Vacaville|52580|19946|16496|2025|165|605|163|245|318|12617
|Vallejo|65173|37365|8110|1683|292|402|360|401|409|16151

|Unincorporated Area|11898|4027|4575|416|44|126|33|64|81|2532
Solano Totals||239267|113247|53613|7685|835|2077|973|1200|1439|58198
     Percent|||0.4733080565929413|0.22407184541225433|0.03211893141269684|0.003489825176075101|0.008680678904056549|0.004066586494445801|0.005015317816287279|0.006014201790094376|0.2432345449924469

Sonoma
  Districts
|County Supervisorial 1|60644|33064|11970|1677|394|502|117|287|281|12352
|County Supervisorial 2|60092|32465|11104|1745|456|548|140|338|277|13019
|County Supervisorial 3|48985|26933|7654|1377|395|521|184|395|270|11256
|County Supervisorial 4|54256|27629|11727|1572|340|547|162|323|217|11739
|County Supervisorial 5|55361|32570|7631|1292|728|496|217|370|254|11803

|US Congressional 2|117312|64846|21281|3109|1115|1067|314|620|509|24451
|US Congressional 5|162026|87815|28805|4554|1198|1547|506|1093|790|35718

|State Senate 2|196110|107906|34839|5156|1752|1883|615|1217|908|41834
|State Senate 3|83228|44755|15247|2507|561|731|205|496|391|18335

|State Assembly 2|117808|63730|22557|3140|984|1105|319|682|525|24766
|State Assembly 4|38047|20185|6940|1132|255|368|120|264|201|8582
|State Assembly 10|123483|68746|20589|3391|1074|1141|381|767|573|26821

|State Board of Equalization 2|279338|152661|50086|7663|2313|2614|820|1713|1299|60169

  Cities
|Cloverdale|4766|2482|1006|132|31|43|20|23|16|1013
|Cotati|4491|2504|716|125|58|48|13|24|19|984
|Healdsburg|6897|3851|1218|181|49|77|16|36|26|1443
|Petaluma|36412|20229|6192|1059|229|308|77|201|165|7952
|Rohnert Park|22706|11729|4248|702|131|229|68|172|122|5305
|Santa Rosa|93210|51562|15547|2488|695|902|298|665|455|20598
|Sebastopol|5269|3521|499|94|83|38|24|20|24|966
|Sonoma|7146|3940|1301|216|34|54|19|31|29|1522
|Windsor|15578|7660|3569|449|85|159|44|88|62|3462

|Unincorporated Area|82863|45183|15790|2217|918|756|241|453|381|16924
Sonoma Totals||279338|152661|50086|7663|2313|2614|820|1713|1299|60169
     Percent|||0.5465099811553955|0.17930249869823456|0.027432715520262718|0.008280291222035885|0.00935783889144659|0.0029355117585510015|0.0061323558911681175|0.004650280345231295|0.21539855003356934

Stanislaus
  Districts
|County Supervisorial 1|56861|18443|23538|2084|129|513|183|326|494|11151
|County Supervisorial 2|52939|17465|21359|1769|139|503|207|290|408|10799
|County Supervisorial 3|48531|20263|14999|1575|125|404|244|336|423|10162
|County Supervisorial 4|57370|22124|20518|1982|154|554|253|305|502|10978
|County Supervisorial 5|45625|21083|12128|1359|116|338|253|295|370|9683

|US Congressional 10|261326|99378|92542|8769|663|2312|1140|1552|2197|52773

|State Senate 5|123511|47956|42877|4249|314|1139|494|726|1083|24673
|State Senate 8|77820|23883|33534|2752|198|733|283|407|624|15406
|State Senate 12|59995|27539|16131|1768|151|440|363|419|490|12694

|State Assembly 12|167788|58157|65156|5821|412|1555|592|942|1439|33714
|State Assembly 21|93538|41221|27386|2948|251|757|548|610|758|19059

|State Board of Equalization 1|261326|99378|92542|8769|663|2312|1140|1552|2197|52773

  Cities
|Ceres|21377|9926|5846|602|51|155|105|132|164|4396
|Hughson|3766|1158|1682|125|8|48|15|11|23|696
|Modesto|107208|43299|35712|3624|276|978|471|625|956|21267
|Newman|4778|2016|1296|166|12|33|28|27|65|1135
|Oakdale|12158|3276|5594|547|31|149|37|63|120|2341
|Patterson|9982|5077|2085|307|24|77|56|72|70|2214
|Riverbank|11447|4369|3770|394|22|109|46|83|95|2559
|Turlock|35849|12541|13340|1179|102|330|140|211|300|7706
|Waterford|4032|1120|1783|149|12|17|18|23|27|883

|Unincorporated Area|50729|16596|21434|1676|125|416|224|305|377|9576
Stanislaus Totals||261326|99378|92542|8769|663|2312|1140|1552|2197|52773
     Percent|||0.3802836239337921|0.3541247248649597|0.033555787056684494|0.002537060994654894|0.008847187273204327|0.00436236709356308|0.005938942078500986|0.008407123386859894|0.20194317400455475

Sutter
  Districts
|County Supervisorial 1|9796|3228|3828|337|24|83|39|49|361|1847
|County Supervisorial 2|7127|2281|2527|312|22|90|52|39|334|1470
|County Supervisorial 3|11374|2905|5577|394|16|99|25|63|361|1934
|County Supervisorial 4|10266|3609|3326|337|23|87|40|110|372|2362
|County Supervisorial 5|9860|2779|4282|382|14|116|37|64|312|1874

|US Congressional 3|48423|14802|19540|1762|99|475|193|325|1740|9487

|State Senate 4|48423|14802|19540|1762|99|475|193|325|1740|9487

|State Assembly 3|48423|14802|19540|1762|99|475|193|325|1740|9487

|State Board of Equalization 1|48423|14802|19540|1762|99|475|193|325|1740|9487

  Cities
|Live Oak|3784|1545|1095|114|14|30|19|23|148|796
|Yuba City|32982|10712|12157|1239|68|308|138|259|1287|6814

|Unincorporated Area|11657|2545|6288|409|17|137|36|43|305|1877
Sutter Totals||48423|14802|19540|1762|99|475|193|325|1740|9487
     Percent|||0.3056811988353729|0.40352725982666016|0.036387667059898376|0.0020444830879569054|0.009809387847781181|0.003985709045082331|0.006711686495691538|0.03593333810567856|0.19591929018497467

Tehama
  Districts
|County Supervisorial 1|7938|1784|3909|386|15|104|27|4|24|1685
|County Supervisorial 2|6847|1643|3061|372|16|95|29|5|22|1604
|County Supervisorial 3|7884|1800|3745|420|16|99|25|5|16|1758
|County Supervisorial 4|6063|1731|2449|291|12|59|27|6|16|1472
|County Supervisorial 5|6355|1737|2731|299|20|72|32|5|27|1432

|US Congressional 1|35087|8695|15895|1768|79|429|140|25|105|7951

|State Senate 4|35087|8695|15895|1768|79|429|140|25|105|7951

|State Assembly 3|35087|8695|15895|1768|79|429|140|25|105|7951

|State Board of Equalization 2|35087|8695|15895|1768|79|429|140|25|105|7951

  Cities
|Corning|3118|1023|1040|129|5|24|18|4|8|867
|Red Bluff|7276|2004|2741|426|16|105|34|7|19|1924
|Tehama|243|78|91|17|0|2|0|0|0|55

|Unincorporated Area|24450|5590|12023|1196|58|298|88|14|78|5105
Tehama Totals||35087|8695|15895|1768|79|429|140|25|105|7951
     Percent|||0.24781258404254913|0.4530167877674103|0.05038903281092644|0.0022515461314469576|0.012226751074194908|0.00399008160457015|0.0007125146221369505|0.0029925613198429346|0.22660814225673676

Trinity
  Districts
|County Supervisorial 1|1667|541|653|84|15|19|6|37|10|302
|County Supervisorial 2|1663|484|607|73|10|29|14|19|19|408
|County Supervisorial 3|1649|528|491|85|23|25|14|52|20|411
|County Supervisorial 4|1520|542|489|80|17|15|6|5|17|349
|County Supervisorial 5|1398|404|439|75|19|20|13|9|21|398

|US Congressional 2|7897|2499|2679|397|84|108|53|122|87|1868

|State Senate 2|7897|2499|2679|397|84|108|53|122|87|1868

|State Assembly 2|7897|2499|2679|397|84|108|53|122|87|1868

|State Board of Equalization 2|7897|2499|2679|397|84|108|53|122|87|1868

  Cities
|Unincorporated Area|7897|2499|2679|397|84|108|53|122|87|1868
Trinity Totals||7897|2499|2679|397|84|108|53|122|87|1868
     Percent|||0.31644928455352783|0.33924275636672974|0.05027225613594055|0.010636950843036175|0.013676079921424389|0.00671140942722559|0.01544890459626913|0.011016841977834702|0.23654551804065704

Tulare
  Districts
|County Supervisorial 1|37937|11927|14856|1386|101|330|161|312|166|8698
|County Supervisorial 2|34877|11457|13113|1210|83|289|153|296|120|8156
|County Supervisorial 3|46517|13882|19793|1699|142|522|183|380|173|9743
|County Supervisorial 4|31202|11353|10688|882|67|263|145|324|88|7392
|County Supervisorial 5|32553|10611|11811|1240|90|290|172|372|105|7862

|US Congressional 21|7702|3174|2076|245|22|48|42|93|21|1981
|US Congressional 22|138513|44433|54053|4792|355|1303|595|1206|509|31267
|US Congressional 23|36871|11623|14132|1380|106|343|177|385|122|8603

|State Senate 8|2583|819|1141|88|16|20|6|17|10|466
|State Senate 14|69809|25657|22147|2227|168|545|379|767|215|17704
|State Senate 16|110694|32754|46973|4102|299|1129|429|900|427|23681

|State Assembly 23|3549|1025|1670|124|15|30|10|25|10|640
|State Assembly 26|179537|58205|68591|6293|468|1664|804|1659|642|41211

|State Board of Equalization 1|183086|59230|70261|6417|483|1694|814|1684|652|41851

  Cities
|Dinuba|8096|3421|2204|216|15|63|40|79|15|2043
|Exeter|4843|1270|2267|236|13|48|17|34|19|939
|Farmersville|3368|1350|735|107|10|23|23|41|22|1057
|Lindsay|3465|1517|689|96|9|24|28|35|5|1062
|Porterville|21594|7446|7118|829|59|204|121|239|73|5505
|Tulare|26807|8623|10239|959|60|234|116|224|95|6257
|Visalia|65701|19996|27098|2438|199|724|267|546|274|14159
|Woodlake|2378|1122|513|65|9|19|12|34|12|592

|Unincorporated Area|46834|14485|19398|1471|109|355|190|452|137|10237
Tulare Totals||183086|59230|70261|6417|483|1694|814|1684|652|41851
     Percent|||0.323509156703949|0.3837595582008362|0.03504910320043564|0.0026381046045571566|0.00925248209387064|0.004445997998118401|0.00919786375015974|0.0035611679777503014|0.2285865694284439

Tuolumne
  Districts
|County Supervisorial 1|6404|2149|2505|243|37|82|26|1|14|1347
|County Supervisorial 2|6508|1858|2853|245|24|90|22|1|8|1407
|County Supervisorial 3|6462|1856|2798|323|27|95|25|4|11|1323
|County Supervisorial 4|6585|1809|3081|289|30|77|17|1|11|1270
|County Supervisorial 5|6603|1962|2816|311|27|81|23|1|7|1375

|US Congressional 4|32562|9634|14053|1411|145|425|113|8|51|6722

|State Senate 8|32562|9634|14053|1411|145|425|113|8|51|6722

|State Assembly 5|32562|9634|14053|1411|145|425|113|8|51|6722

|State Board of Equalization 1|32562|9634|14053|1411|145|425|113|8|51|6722

  Cities
|Sonora|2615|951|859|113|21|42|15|1|4|609

|Unincorporated Area|29947|8683|13194|1298|124|383|98|7|47|6113
Tuolumne Totals||32562|9634|14053|1411|145|425|113|8|51|6722
     Percent|||0.29586634039878845|0.4315766990184784|0.043332718312740326|0.004453043453395367|0.013052023947238922|0.0034703027922660112|0.00024568516528233886|0.0015662428922951221|0.20643694698810577

Ventura
  Districts
|County Supervisorial 1|100167|44889|25586|2998|571|984|345|892|1197|22705
|County Supervisorial 2|102412|36925|35424|2969|305|960|203|921|1264|23441
|County Supervisorial 3|89698|37319|26168|2561|285|751|342|1028|1000|20244
|County Supervisorial 4|100051|33347|37471|3060|289|1001|249|1022|1108|22504
|County Supervisorial 5|70899|39022|11175|1521|237|472|425|1076|595|16376

|US Congressional 24|5687|2576|1319|192|49|81|28|38|85|1319
|US Congressional 25|71960|23116|27781|2239|204|700|172|771|778|16199
|US Congressional 26|384210|165288|106301|10629|1431|3374|1362|4112|4286|87427
|US Congressional 30|1370|522|423|49|3|13|2|18|15|325

|State Senate 19|264130|122446|64076|7192|1116|2249|1127|3033|2841|60050
|State Senate 27|199097|69056|71748|5917|571|1919|437|1906|2323|45220

|State Assembly 37|140223|63093|35762|4050|727|1306|525|1360|1594|31806
|State Assembly 38|77269|25045|29476|2404|218|776|197|828|845|17480
|State Assembly 44|244365|102842|70163|6606|739|2073|840|2733|2710|55659
|State Assembly 45|1370|522|423|49|3|13|2|18|15|325

|State Board of Equalization 3|463227|191502|135824|13109|1687|4168|1564|4939|5164|105270

  Cities
|Camarillo|43980|15240|16057|1409|121|380|95|449|543|9686
|Fillmore|7343|3348|1705|195|23|54|50|92|72|1804
|Moorpark|21707|7957|7535|631|70|212|46|174|253|4829
|Ojai|5079|2596|1074|110|42|42|6|44|86|1079
|Oxnard|84995|46501|13263|1843|281|569|510|1254|720|20054
|Port Hueneme|10031|4979|1996|301|27|94|53|134|114|2333
|San Buenaventura|66870|29252|17953|2063|348|679|212|530|830|15003
|Santa Paula|12851|6606|2515|282|54|89|63|140|125|2977
|Simi Valley|75159|24357|28693|2341|210|750|189|810|809|17000
|Thousand Oaks|80155|28777|27795|2340|238|710|158|712|1000|18425

|Unincorporated Area|55057|21889|17238|1594|273|589|182|600|612|12080
Ventura Totals||463227|191502|135824|13109|1687|4168|1564|4939|5164|105270
     Percent|||0.4134085476398468|0.2932126224040985|0.028299300000071526|0.0036418430972844362|0.008997748605906963|0.003376314416527748|0.010662158951163292|0.011147881858050823|0.22725358605384827

Yolo
  Districts
|County Supervisorial 1|25126|11042|5695|984|93|229|161|141|100|6681
|County Supervisorial 2|22417|13155|2672|475|202|182|55|100|83|5493
|County Supervisorial 3|23549|9885|6454|819|93|222|122|116|86|5752
|County Supervisorial 4|25494|14746|3204|550|185|226|33|100|72|6378
|County Supervisorial 5|20792|9056|5170|693|93|225|118|122|61|5254

|US Congressional 3|88697|45269|16924|2406|552|838|285|406|279|21738
|US Congressional 6|28681|12615|6271|1115|114|246|204|173|123|7820

|State Senate 3|88697|45269|16924|2406|552|838|285|406|279|21738
|State Senate 6|28681|12615|6271|1115|114|246|204|173|123|7820

|State Assembly 4|88697|45269|16924|2406|552|838|285|406|279|21738
|State Assembly 7|28681|12615|6271|1115|114|246|204|173|123|7820

|State Board of Equalization 2|117378|57884|23195|3521|666|1084|489|579|402|29558

  Cities
|Davis|39816|24042|4225|809|327|319|63|157|124|9750
|West Sacramento|28681|12615|6271|1115|114|246|204|173|123|7820
|Winters|3951|1730|946|122|30|43|16|22|15|1027
|Woodland|32301|14401|7939|1094|129|338|160|161|93|7986

|Unincorporated Area|12629|5096|3814|381|66|138|46|66|47|2975
Yolo Totals||117378|57884|23195|3521|666|1084|489|579|402|29558
     Percent|||0.4931418299674988|0.19760943949222565|0.029997102916240692|0.005673976615071297|0.009235120378434658|0.004166027531027794|0.004932781215757132|0.003424832597374916|0.2518188953399658

Yuba
  Districts
|County Supervisorial 1|6676|2057|2021|343|28|89|60|88|31|1959
|County Supervisorial 2|6767|2043|2301|356|23|71|67|91|41|1774
|County Supervisorial 3|6140|1891|1947|336|23|65|47|60|28|1743
|County Supervisorial 4|8112|2158|3447|387|17|137|34|60|36|1836
|County Supervisorial 5|9012|2071|4222|434|59|116|34|64|31|1981

|US Congressional 3|36707|10220|13938|1856|150|478|242|363|167|9293

|State Senate 4|36707|10220|13938|1856|150|478|242|363|167|9293

|State Assembly 3|36707|10220|13938|1856|150|478|242|363|167|9293

|State Board of Equalization 1|36707|10220|13938|1856|150|478|242|363|167|9293

  Cities
|Marysville|5777|1742|2050|300|22|59|47|74|34|1449
|Wheatland|1896|427|862|102|7|38|10|15|11|424

|Unincorporated Area|29034|8051|11026|1454|121|381|185|274|122|7420
Yuba Totals||36707|10220|13938|1856|150|478|242|363|167|9293
     Percent|||0.278421014547348|0.3797096014022827|0.05056256428360939|0.004086413886398077|0.013022039085626602|0.006592747755348682|0.009889122098684311|0.0045495410449802876|0.25316697359085083


Incorporated Total||17151235|8002840|3804315|481018|67304|140069|80073|87721|98007|4389888
Unincorporated Total||3509230|1358742|1133671|119039|15977|35283|15169|16959|22487|791903
State Total||20660465|9361582|4937986|600057|83281|175352|95242|104680|120494|5181791
