||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|Unincorporated Area|11435|3245|5315|329|25|108|51|79|64|2219
Kings Totals||55738|18507|22186|1751|122|522|234|394|303|11719
     Percent|||0.3320356011390686|0.3980408310890198|0.031414832919836044|0.0021888120099902153|0.009365244768559933|0.00419821310788393|0.007068786304444075|0.005436147563159466|0.21025153994560242

Lake
  Districts
|County Supervisorial 1|7169|2655|2187|324|55|106|41|9|11|1781
|County Supervisorial 2|5355|2149|1135|244|44|61|43|8|11|1660
|County Supervisorial 3|6603|2514|1811|336|76|58|49|3|10|1746
|County Supervisorial 4|7475|2829|2409|303|58|87|29|3|13|1744
|County Supervisorial 5|7303|2869|2117|304|60|79|25|3|9|1837

|US Congressional 3|15876|6155|4060|746|156|164|123|13|28|4431
|US Congressional 5|18029|6861|5599|765|137|227|64|13|26|4337

|State Senate 2|33905|13016|9659|1511|293|391|187|26|54|8768

|State Assembly 4|33905|13016|9659|1511|293|391|187|26|54|8768

|State Board of Equalization 2|33905|13016|9659|1511|293|391|187|26|54|8768

  Cities
|Clearlake|6384|2570|1350|295|53|73|56|9|15|1963
|Lakeport|2704|1053|855|108|24|25|7|2|3|627

|Unincorporated Area|24817|9393|7454|1108|216|293|124|15|36|6178
Lake Totals||33905|13016|9659|1511|293|391|187|26|54|8768
     Percent|||0.3838961720466614|0.2848842442035675|0.044565699994564056|0.008641793392598629|0.011532221920788288|0.00551541056483984|0.0007668485632166266|0.0015926854684948921|0.25860491394996643

Lassen
  Districts
|County Supervisorial 1|3039|647|1564|165|7|31|8|3|16|598
|County Supervisorial 2|2439|555|1062|152|10|49|11|4|8|588
|County Supervisorial 3|3382|528|1984|194|9|41|12|2|24|588
|County Supervisorial 4|2808|523|1532|144|9|32|14|2|4|548
|County Supervisorial 5|2360|353|1285|126|10|16|11|3|14|542

|US Congressional 1|14028|2606|7427|781|45|169|56|14|66|2864

|State Senate 1|14028|2606|7427|781|45|169|56|14|66|2864

|State Assembly 1|14028|2606|7427|781|45|169|56|14|66|2864

|State Board of Equalization 1|14028|2606|7427|781|45|169|56|14|66|2864

  Cities
|Susanville|4788|1013|2257|273|15|75|22|6|16|1111

|Unincorporated Area|9240|1593|5170|508|30|94|34|8|50|1753
Lassen Totals||14028|2606|7427|781|45|169|56|14|66|2864
     Percent|||0.18577131628990173|0.5294411182403564|0.055674366652965546|0.0032078700605779886|0.012047333642840385|0.003992015961557627|0.0009980039903894067|0.004704875871539116|0.2041631042957306

Los Angeles
  Districts
|County Supervisorial 1|940862|524287|111768|19286|3911|5588|8430|6533|6667|254392
