County	Eligible	Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Percent		0.7840588092803955	0.4994768500328064	0.20175452530384064	0.0272868312895298	0.005061516538262367	0.0076386635191738605	0.004303835332393646	0.008112858049571514	0.0010205501457676291	0.2453443855047226

Napa	92190	79823	37321	17203	2718	538	803	264	499	277	20200
Percent		0.8658531308174133	0.4675469398498535	0.21551433205604553	0.034050337970256805	0.006739912088960409	0.01005975715816021	0.0033073173835873604	0.006251330953091383	0.003470177762210369	0.25305989384651184

Nevada	77972	67119	25024	22207	2654	755	929	198	45	7247	8060
Percent		0.8608090281486511	0.372830331325531	0.33086010813713074	0.039541710168123245	0.011248677968978882	0.013841087929904461	0.0029499842785298824	0.0006704509723931551	0.1079724058508873	0.1200852245092392

Orange	2023922	1615482	563873	548235	46491	5048	16061	5294	2342	4644	423494
Percent		0.7981938123703003	0.34904319047927856	0.33936309814453125	0.028778407722711563	0.0031247639562934637	0.00994192436337471	0.0032770405523478985	0.0014497220981866121	0.0028746838215738535	0.2621471583843231

Placer	283117	244375	71285	101028	8732	897	4260	543	1240	1159	55231
Percent		0.8631590604782104	0.29170331358909607	0.4134138226509094	0.0357319675385952	0.0036705881357192993	0.01743222586810589	0.002221994800493121	0.005074169021099806	0.00474271085113287	0.22600920498371124

Plumas	15955	12471	3523	5441	634	50	156	39	4	17	2607
Percent		0.7816358804702759	0.282495379447937	0.43629220128059387	0.05083794519305229	0.004009301774203777	0.01250902097672224	0.00312725524418056	0.0003207441186532378	0.0013631625333800912	0.20904497802257538

Riverside	1495880	1092440	419601	348876	38436	3191	9742	4867	6994	5134	255599
Percent		0.7302992343902588	0.3840952217578888	0.3193548321723938	0.0351836271584034	0.0029209842905402184	0.008917652070522308	0.004455164540559053	0.006402182392776012	0.0046995715238153934	0.2339707463979721

Sacramento	1025344	808490	352068	205481	28341	3604	8957	5081	5021	2304	197633
Percent		0.7885060906410217	0.43546363711357117	0.2541540265083313	0.03505423665046692	0.004457692615687847	0.011078677140176296	0.0062845549546182156	0.006210342515259981	0.00284975697286427	0.24444705247879028

San Benito	38142	32742	14956	8369	1006	121	305	139	27	38	7781
Percent		0.8584237694740295	0.45678332448005676	0.25560441613197327	0.030725061893463135	0.003695559222251177	0.009315252304077148	0.004245311953127384	0.0008246289216913283	0.001160588813945651	0.23764583468437195

San Bernardino	1344117	1016260	405367	293483	39187	3310	9024	5958	6590	6228	247113
Percent		0.7560800313949585	0.398881196975708	0.288787305355072	0.038560014218091965	0.0032570406328886747	0.008879617787897587	0.005862672813236713	0.006484561134129763	0.00612835306674242	0.2431592345237732

San Diego	2231011	1798138	676953	493379	63506	6958	18447	6908	9266	8690	514031
Percent		0.8059744834899902	0.37647444009780884	0.2743832767009735	0.035317644476890564	0.0038695584516972303	0.010258945636451244	0.003841751953586936	0.005153108388185501	0.004832777194678783	0.28586849570274353

San Francisco	656375	500189	295456	33034	8876	3653	3204	1581	4038	655	149692
Percent		0.7620475888252258	0.5906887054443359	0.06604303419589996	0.01774529181420803	0.007303239312022924	0.006405578460544348	0.003160805208608508	0.008072948083281517	0.0013095049653202295	0.2992708683013916

San Joaquin	467695	319431	136976	90653	10113	893	2728	1527	3052	1057	72432
Percent		0.6829899549484253	0.4288124740123749	0.28379523754119873	0.03165942057967186	0.002795595908537507	0.008540185168385506	0.004780374933034182	0.009554489515721798	0.0033090088982135057	0.22675319015979767

San Luis Obispo	209066	174535	61904	60617	6204	1063	2065	488	883	1518	39793
Percent		0.8348320722579956	0.35467958450317383	0.34730568528175354	0.03554587811231613	0.006090469192713499	0.011831438168883324	0.002796000801026821	0.005059157032519579	0.008697396144270897	0.2279943823814392

San Mateo	507113	411665	215252	60581	9496	1861	2804	1199	2064	1637	116771
Percent		0.8117815852165222	0.5228814482688904	0.14716091752052307	0.023067299276590347	0.004520665854215622	0.006811363622546196	0.0029125623404979706	0.005013785324990749	0.003976534120738506	0.28365540504455566

Santa Barbara	294402	222525	97152	56175	6562	1130	1975	755	1417	1436	55923
Percent		0.7558542490005493	0.43658915162086487	0.2524435520172119	0.02948882058262825	0.005078081041574478	0.00887540727853775	0.0033928772900253534	0.006367824040353298	0.006453207693994045	0.2513110935688019

Santa Clara	1201748	935662	443388	157175	21368	3574	7263	3203	167	2367	297157
Percent		0.7785841822624207	0.4738762378692627	0.16798266768455505	0.022837307304143906	0.0038197555113583803	0.00776241859421134	0.0034232446923851967	0.00017848325660452247	0.002529759658500552	0.3175901174545288

Santa Cruz	187451	162092	90950	22404	4014	1624	1587	588	237	812	39876
Percent		0.864716649055481	0.5611010789871216	0.13821780681610107	0.024763714522123337	0.010019001550972462	0.009790736250579357	0.0036275694146752357	0.0014621326699852943	0.005009500775486231	0.24600844085216522

