area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
PCT7636	MV	938	465	0	0	0	14	451	55	396
PCT7637	ED	809	193	0	0	0	5	188	40	148
PCT7637	MV	809	404	0	0	0	14	390	55	335
PCT7638	ED	1467	294	0	0	0	12	282	50	232
PCT7638	MV	1467	871	1	0	0	27	843	156	687
PCT7639	ED	1011	241	0	0	0	9	232	40	192
PCT7639	MV	1011	559	0	0	0	15	544	72	472
PCT7641	ED	972	204	0	0	0	9	195	40	155
PCT7641	MV	972	549	0	0	0	22	527	102	425
PCT7642	ED	937	152	0	0	0	2	150	14	136
PCT7642	MV	937	394	0	0	1	9	384	42	342
PCT7643	ED	920	168	0	0	0	10	158	19	139
PCT7643	MV	920	507	0	0	0	23	484	64	420
PCT7644	ED	1175	329	0	0	0	16	313	29	284
PCT7644	MV	1175	554	0	0	0	18	536	53	483
PCT7645	ED	640	120	0	0	0	6	114	24	90
PCT7645	MV	640	377	0	0	0	11	366	68	298
PCT7646	ED	1100	262	0	0	0	13	249	23	226
PCT7646	MV	1100	591	0	0	0	19	572	59	513
PCT7647	ED	1075	205	0	0	0	16	189	22	167
PCT7647	MV	1075	283	0	0	0	11	272	26	246
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	0	0	0	6	169	19	150
PCT7649	MV	891	395	0	0	0	27	368	48	320
PCT7651	ED	677	165	1	0	0	12	152	24	128
PCT7651	MV	677	351	0	0	0	10	341	40	301
PCT7652	ED	628	135	0	0	0	3	132	21	111
PCT7652	MV	628	301	0	0	1	12	288	31	257
PCT7653	ED	1280	299	0	0	0	11	288	31	257
PCT7653	MV	1280	673	0	0	0	24	649	75	574
PCT7701	ED	1064	295	0	0	0	13	282	34	248
PCT7701	MV	1064	597	0	0	0	24	573	68	505
PCT7702	ED	748	179	0	0	0	11	168	24	144
PCT7702	MV	748	415	0	0	0	11	404	68	336
PCT7703	MV	171	79	0	0	1	4	74	7	67
PCT7704	ED	1008	257	0	0	0	15	242	41	201
PCT7704	MV	1008	557	0	0	0	15	542	97	445
PCT7705	ED	568	149	0	0	0	6	143	18	125
PCT7705	MV	568	335	0	0	0	7	328	63	265
PCT7706	ED	840	252	0	0	0	5	247	39	208
PCT7706	MV	840	467	0	0	1	13	453	83	370
PCT7707	ED	857	240	1	0	0	4	235	34	201
PCT7707	MV	857	495	0	0	0	20	475	57	418
PCT7708	ED	871	205	0	0	0	6	199	22	177
PCT7708	MV	871	540	0	0	0	18	522	69	453
PCT7709	ED	391	102	0	0	0	6	96	19	77
PCT7709	MV	391	222	0	0	0	9	213	30	183
PCT7711	ED	766	197	0	0	0	9	188	22	166
PCT7711	MV	766	422	0	0	0	17	405	44	361
PCT7712	ED	529	148	0	0	0	1	147	16	131
PCT7712	MV	529	296	0	0	0	7	289	31	258
PCT7801	ED	1001	263	1	0	0	6	256	23	233
PCT7801	MV	1001	596	0	0	2	13	581	59	522
PCT7802	ED	788	229	0	0	0	13	216	12	204
PCT7802	MV	788	458	0	0	0	16	442	39	403
PCT7803	ED	828	173	0	0	0	4	169	13	156
PCT7803	MV	828	552	0	0	0	16	536	44	492
PCT7804	ED	893	257	0	0	0	12	245	10	235
PCT7804	MV	893	533	0	0	0	10	523	35	488
PCT7805	ED	825	226	0	0	0	9	217	3	214
PCT7805	MV	825	484	0	0	0	9	475	28	447
PCT7806	ED	716	207	2	0	0	6	199	12	187
PCT7806	MV	716	406	0	0	0	19	387	27	360
PCT7807	ED	844	276	0	0	0	8	268	11	257
PCT7807	MV	844	417	0	0	0	14	403	19	384
PCT7808	ED	655	211	0	0	0	9	202	9	193
PCT7808	MV	655	333	0	0	0	17	316	12	304
PCT7809	ED	781	237	0	0	0	9	228	9	219
PCT7809	MV	781	405	0	0	0	14	391	18	373
PCT7811	ED	783	249	0	0	0	9	240	20	220
PCT7811	MV	783	404	0	0	0	11	393	26	367
PCT7812	ED	877	256	0	0	0	15	241	29	212
PCT7812	MV	877	454	0	0	0	18	436	19	417
PCT7813	ED	1064	308	1	0	1	8	298	16	282
PCT7813	MV	1064	585	0	0	0	17	568	34	534
PCT7814	ED	936	227	0	0	0	18	209	21	188
PCT7814	MV	936	340	0	0	1	11	328	23	305
PCT7815	ED	954	238	0	0	0	5	233	19	214
PCT7815	MV	954	573	0	0	0	22	551	30	521
PCT7816	ED	865	235	0	0	0	4	231	12	219
PCT7816	MV	865	531	1	0	0	21	509	20	489
PCT7817	ED	823	276	0	0	0	19	257	19	238
PCT7817	MV	823	439	0	0	0	13	426	17	409
PCT7818	ED	860	232	0	0	0	6	226	13	213
PCT7818	MV	860	452	2	0	0	24	426	19	407
PCT7819	ED	793	191	0	0	0	6	185	23	162
PCT7819	MV	793	420	0	0	0	17	403	28	375
PCT7821	ED	985	247	0	0	0	14	233	16	217
PCT7821	MV	985	629	0	0	0	22	607	45	562
PCT7822	ED	908	275	0	0	0	16	259	21	238
PCT7822	MV	908	479	0	0	0	13	466	32	434
PCT7823	ED	879	269	6	0	0	7	256	8	248
PCT7823	MV	879	501	0	0	0	14	487	32	455
PCT7824	ED	768	246	0	0	0	13	233	8	225
PCT7824	MV	768	383	0	0	0	18	365	27	338
PCT7825	ED	597	191	0	0	0	8	183	13	170
PCT7825	MV	597	302	0	0	0	10	292	16	276
PCT7826	ED	684	258	0	0	0	8	250	16	234
PCT7826	MV	684	319	0	0	0	14	305	18	287
PCT7827	ED	831	261	0	0	0	17	244	11	233
PCT7827	MV	831	361	0	0	0	16	345	25	320
PCT7828	ED	1018	260	0	0	0	12	248	21	227
PCT7828	MV	1018	549	0	0	0	13	536	40	496
PCT7829	ED	907	237	1	0	0	8	228	19	209
PCT7829	MV	907	557	0	0	0	13	544	47	497
