area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	080:GREG CONLON	081:FIONA MA
PCT7525	ED	800	205	0	0	0	12	193	13	180
PCT7525	MV	800	341	0	0	0	26	315	21	294
PCT7526	ED	1011	291	0	0	1	16	274	21	253
PCT7526	MV	1011	552	0	0	0	23	529	29	500
PCT7527	ED	725	208	0	0	1	13	194	23	171
PCT7527	MV	725	339	0	0	1	17	321	35	286
PCT7529	ED	948	294	0	0	0	22	272	21	251
PCT7529	MV	948	486	0	0	0	19	467	25	442
PCT7531	ED	865	225	0	0	0	6	219	12	207
PCT7531	MV	865	442	0	0	0	26	416	18	398
PCT7532	ED	852	246	0	0	1	13	232	23	209
PCT7532	MV	852	398	0	0	1	17	380	38	342
PCT7533	ED	1015	354	0	0	0	15	339	17	322
PCT7533	MV	1015	490	0	0	0	31	459	40	419
PCT7534	ED	936	322	0	0	0	19	303	16	287
PCT7534	MV	936	415	0	0	0	25	390	19	371
PCT7535	ED	767	261	0	0	0	16	245	12	233
PCT7535	MV	767	387	0	0	0	21	366	18	348
PCT7536	ED	863	291	0	0	0	18	273	14	259
PCT7536	MV	863	421	0	0	0	13	408	25	383
PCT7537	ED	752	240	0	0	0	11	229	19	210
PCT7537	MV	752	363	0	0	0	14	349	20	329
PCT7538	ED	771	246	0	0	0	11	235	17	218
PCT7538	MV	771	400	0	0	0	20	380	15	365
PCT7539	ED	922	330	0	0	0	22	308	17	291
PCT7539	MV	922	428	0	0	0	23	405	22	383
PCT7541	ED	805	245	0	0	0	10	235	11	224
PCT7541	MV	805	400	0	0	0	17	383	15	368
PCT7542	ED	821	270	0	0	0	16	254	13	241
PCT7542	MV	821	389	0	0	0	14	375	17	358
PCT7543	ED	909	215	0	0	0	18	197	5	192
PCT7543	MV	909	467	0	0	0	20	447	21	426
PCT7544	ED	898	256	0	0	0	16	240	24	216
PCT7544	MV	898	479	0	0	0	26	453	22	431
PCT7545	ED	918	273	0	0	0	8	265	17	248
PCT7545	MV	918	480	0	0	0	32	448	47	401
PCT7546	ED	982	304	0	0	0	28	276	19	257
PCT7546	MV	982	517	0	0	0	18	499	25	474
PCT7547	ED	1029	314	0	0	0	22	292	9	283
PCT7547	MV	1029	505	0	0	0	33	472	22	450
PCT7548	ED	1073	317	1	0	0	14	302	21	281
PCT7548	MV	1073	512	0	0	0	14	498	39	459
PCT7549	ED	811	215	0	0	0	8	207	20	187
PCT7549	MV	811	431	0	0	1	20	410	33	377
PCT7551	ED	741	239	0	0	1	9	229	19	210
PCT7551	MV	741	394	0	0	0	12	382	22	360
PCT7552	ED	727	241	0	0	0	17	224	22	202
PCT7552	MV	727	360	0	0	0	21	339	21	318
PCT7553	MV	180	126	0	0	0	6	120	16	104
PCT7554	ED	808	247	0	0	0	9	238	28	210
PCT7554	MV	808	442	0	0	0	22	420	32	388
PCT7555	ED	886	289	0	0	0	12	277	16	261
PCT7555	MV	886	459	0	0	0	19	440	32	408
PCT7556	ED	969	275	0	0	0	14	261	39	222
PCT7556	MV	969	573	0	0	0	18	555	34	521
PCT7601	ED	767	190	0	0	0	13	177	19	158
PCT7601	MV	767	290	0	0	0	20	270	34	236
PCT7602	ED	901	210	0	0	0	13	197	22	175
PCT7602	MV	901	379	0	0	0	22	357	33	324
PCT7603	ED	830	249	0	0	0	9	240	25	215
PCT7603	MV	830	376	0	0	0	19	357	31	326
PCT7604	ED	954	265	0	0	0	19	246	30	216
PCT7604	MV	954	352	0	0	0	17	335	40	295
PCT7605	ED	648	120	0	0	0	16	104	10	94
PCT7605	MV	648	203	0	0	1	16	186	27	159
PCT7606	ED	924	204	0	0	0	21	183	32	151
PCT7606	MV	924	330	0	0	0	16	314	44	270
PCT7607	ED	960	215	0	0	0	13	202	27	175
PCT7607	MV	960	407	0	0	0	22	385	42	343
PCT7608	ED	392	70	0	0	0	4	66	11	55
PCT7608	MV	392	136	0	0	0	11	125	25	100
PCT7609	ED	926	120	0	0	1	18	101	21	80
PCT7609	MV	926	352	0	0	0	41	311	43	268
PCT7611	ED	755	126	0	0	1	18	107	21	86
PCT7611	MV	755	269	0	0	0	35	234	27	207
PCT7612	ED	583	97	0	0	0	4	93	15	78
PCT7612	MV	583	265	0	0	0	16	249	37	212
PCT7613	ED	908	202	0	0	0	19	183	19	164
PCT7613	MV	908	340	0	0	0	21	319	42	277
PCT7614	ED	1029	223	0	0	0	22	201	26	175
PCT7614	MV	1029	375	0	0	1	15	359	47	312
PCT7615	ED	762	162	0	0	0	29	133	27	106
PCT7615	MV	762	237	0	0	0	24	213	32	181
PCT7616	ED	1203	322	0	0	0	20	302	34	268
PCT7616	MV	1203	686	0	0	0	17	669	57	612
PCT7617	ED	768	102	0	0	2	10	90	17	73
PCT7617	MV	768	261	0	0	0	20	241	44	197
PCT7618	ED	862	168	0	0	0	9	159	15	144
PCT7618	MV	862	407	0	0	0	19	388	32	356
PCT7619	ED	1063	219	0	0	0	13	206	26	180
PCT7619	MV	1063	563	0	0	0	24	539	60	479
PCT7621	ED	1320	287	0	0	0	18	269	37	232
PCT7621	MV	1320	668	0	0	0	29	639	68	571
PCT7622	ED	988	170	0	0	0	19	151	22	129
PCT7622	MV	988	301	0	0	0	21	280	39	241
PCT7623	ED	746	182	0	0	0	14	168	16	152
PCT7623	MV	746	297	0	0	0	23	274	39	235
PCT7624	ED	859	142	0	0	0	10	132	18	114
PCT7624	MV	859	290	0	0	1	18	271	40	231
PCT7625	ED	822	66	0	0	0	8	58	18	40
PCT7625	MV	822	475	0	0	0	58	417	82	335
PCT7626	ED	1114	224	0	0	0	12	212	21	191
PCT7626	MV	1114	612	0	0	0	20	592	84	508
PCT7627	ED	1187	266	0	0	0	22	244	39	205
PCT7627	MV	1187	582	0	0	0	37	545	128	417
PCT7628	ED	960	239	0	0	0	13	226	21	205
PCT7628	MV	960	428	0	0	0	22	406	33	373
PCT7629	ED	809	208	0	0	0	18	190	14	176
PCT7629	MV	809	343	0	0	0	20	323	32	291
PCT7631	ED	1155	266	0	0	0	20	246	28	218
PCT7631	MV	1155	576	0	0	0	28	548	54	494
PCT7632	ED	1124	288	0	0	0	24	264	36	228
PCT7632	MV	1124	561	0	0	0	27	534	38	496
PCT7633	ED	741	137	0	0	1	9	127	14	113
PCT7633	MV	741	392	0	0	0	35	357	45	312
PCT7634	ED	900	194	0	0	1	15	178	28	150
PCT7634	MV	900	421	0	0	0	17	404	56	348
PCT7635	ED	840	157	0	0	0	14	143	15	128
PCT7635	MV	840	382	0	0	0	17	365	35	330
PCT7636	ED	938	246	0	0	0	9	237	32	205
PCT7636	MV	938	465	0	0	0	19	446	56	390
PCT7637	ED	809	193	0	0	0	6	187	37	150
PCT7637	MV	809	404	0	0	0	18	386	52	334
PCT7638	ED	1467	294	0	0	0	12	282	50	232
PCT7638	MV	1467	871	1	0	0	34	836	158	678
PCT7639	ED	1011	241	0	0	0	13	228	41	187
PCT7639	MV	1011	559	0	0	0	29	530	79	451
PCT7641	ED	972	204	0	0	0	15	189	36	153
PCT7641	MV	972	549	0	0	0	31	518	100	418
PCT7642	ED	937	152	0	0	0	8	144	14	130
PCT7642	MV	937	394	0	0	0	41	353	45	308
PCT7643	ED	920	168	0	0	0	14	154	21	133
PCT7643	MV	920	507	0	0	0	15	492	67	425
PCT7644	ED	1175	329	0	0	0	16	313	40	273
PCT7644	MV	1175	554	0	0	0	24	530	54	476
PCT7645	ED	640	120	0	0	0	7	113	17	96
PCT7645	MV	640	377	0	0	0	22	355	67	288
PCT7646	ED	1100	262	0	0	0	20	242	25	217
PCT7646	MV	1100	591	0	0	0	29	562	63	499
PCT7647	ED	1075	205	0	0	0	14	191	22	169
PCT7647	MV	1075	283	0	0	0	14	269	20	249
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	0	0	0	9	166	19	147
PCT7649	MV	891	395	0	0	0	22	373	58	315
PCT7651	ED	677	165	1	0	0	11	153	22	131
PCT7651	MV	677	351	0	0	0	21	330	42	288
PCT7652	ED	628	135	0	0	0	5	130	23	107
PCT7652	MV	628	301	0	0	1	19	281	30	251
PCT7653	ED	1280	299	0	0	0	23	276	39	237
PCT7653	MV	1280	673	0	0	0	30	643	73	570
PCT7701	ED	1064	295	0	0	0	17	278	32	246
PCT7701	MV	1064	597	0	0	0	29	568	51	517
PCT7702	ED	748	179	0	0	0	8	171	22	149
PCT7702	MV	748	415	0	0	0	14	401	62	339
PCT7703	MV	171	79	0	0	1	11	67	6	61
PCT7704	ED	1008	257	0	0	0	12	245	44	201
PCT7704	MV	1008	557	0	0	0	18	539	79	460
PCT7705	ED	568	149	0	0	0	4	145	18	127
PCT7705	MV	568	335	0	0	0	8	327	58	269
PCT7706	ED	840	252	0	0	0	12	240	32	208
PCT7706	MV	840	467	0	0	0	15	452	81	371
PCT7707	ED	857	240	1	0	0	7	232	34	198
PCT7707	MV	857	495	0	0	0	18	477	48	429
PCT7708	ED	871	205	0	0	0	9	196	30	166
