area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	078:KONSTANTINOS RODITIS	079:BETTY T. YEE
PCT7518	MV	950	480	0	0	0	22	458	29	429
PCT7519	ED	737	224	0	0	0	6	218	15	203
PCT7519	MV	737	355	0	0	0	11	344	19	325
PCT7521	ED	812	291	0	0	0	15	276	17	259
PCT7521	MV	812	354	0	0	0	11	343	6	337
PCT7522	ED	764	207	0	0	0	6	201	12	189
PCT7522	MV	764	397	0	0	0	12	385	12	373
PCT7523	ED	747	275	0	0	0	15	260	15	245
PCT7523	MV	747	359	0	0	0	12	347	25	322
PCT7524	ED	615	181	0	0	0	16	165	6	159
PCT7524	MV	615	262	0	0	0	13	249	17	232
PCT7525	ED	800	205	0	0	0	8	197	9	188
PCT7525	MV	800	341	0	0	0	19	322	19	303
PCT7526	ED	1011	291	0	0	1	8	282	20	262
PCT7526	MV	1011	552	0	0	0	24	528	30	498
PCT7527	ED	725	208	0	0	1	10	197	26	171
PCT7527	MV	725	339	0	0	1	17	321	34	287
PCT7529	ED	948	294	0	0	0	11	283	15	268
PCT7529	MV	948	486	0	0	0	10	476	21	455
PCT7531	ED	865	225	0	0	0	5	220	10	210
PCT7531	MV	865	442	0	0	0	19	423	16	407
PCT7532	ED	852	246	0	0	0	15	231	20	211
PCT7532	MV	852	398	0	0	0	11	387	34	353
PCT7533	ED	1015	354	0	0	0	9	345	19	326
PCT7533	MV	1015	490	0	0	0	29	461	34	427
PCT7534	ED	936	322	0	0	0	13	309	17	292
PCT7534	MV	936	415	0	0	0	20	395	20	375
PCT7535	ED	767	261	0	0	0	14	247	10	237
PCT7535	MV	767	387	0	0	0	18	369	22	347
PCT7536	ED	863	291	0	0	0	13	278	13	265
PCT7536	MV	863	421	0	0	0	7	414	25	389
PCT7537	ED	752	240	0	0	0	11	229	13	216
PCT7537	MV	752	363	0	0	0	8	355	19	336
PCT7538	ED	771	246	0	0	0	6	240	16	224
PCT7538	MV	771	400	0	0	0	16	384	14	370
PCT7539	ED	922	330	0	0	0	18	312	16	296
PCT7539	MV	922	428	0	0	0	21	407	21	386
PCT7541	ED	805	245	0	0	0	9	236	16	220
PCT7541	MV	805	400	0	0	0	17	383	15	368
PCT7542	ED	821	270	0	0	0	13	257	15	242
PCT7542	MV	821	389	0	0	0	9	380	25	355
PCT7543	ED	909	215	0	0	0	12	203	5	198
PCT7543	MV	909	467	0	0	0	13	454	22	432
PCT7544	ED	898	256	0	0	0	11	245	20	225
PCT7544	MV	898	479	0	0	0	21	458	16	442
PCT7545	ED	918	273	0	0	0	6	267	16	251
PCT7545	MV	918	480	0	0	0	24	456	46	410
PCT7546	ED	982	304	0	0	0	22	282	18	264
PCT7546	MV	982	517	0	0	0	15	502	20	482
PCT7547	ED	1029	314	0	0	0	15	299	12	287
PCT7547	MV	1029	505	0	0	0	21	484	16	468
PCT7548	ED	1073	317	1	0	0	15	301	16	285
PCT7548	MV	1073	512	0	0	0	12	500	35	465
PCT7549	ED	811	215	0	0	0	10	205	16	189
PCT7549	MV	811	431	0	0	0	19	412	29	383
PCT7551	ED	741	239	0	0	0	10	229	11	218
PCT7551	MV	741	394	0	0	0	9	385	23	362
PCT7552	ED	727	241	0	0	0	11	230	15	215
PCT7552	MV	727	360	0	0	0	15	345	20	325
PCT7553	MV	180	126	0	0	0	7	119	14	105
PCT7554	ED	808	247	0	0	0	10	237	16	221
PCT7554	MV	808	442	0	0	0	20	422	29	393
PCT7555	ED	886	289	0	0	0	10	279	13	266
PCT7555	MV	886	459	0	0	0	11	448	24	424
PCT7556	ED	969	275	0	0	0	8	267	35	232
PCT7556	MV	969	573	0	0	0	12	561	32	529
PCT7601	ED	767	190	0	0	0	14	176	18	158
PCT7601	MV	767	290	0	0	0	11	279	30	249
PCT7602	ED	901	210	0	0	0	13	197	19	178
PCT7602	MV	901	379	0	0	0	19	360	28	332
PCT7603	ED	830	249	0	0	0	13	236	18	218
PCT7603	MV	830	376	0	0	0	13	363	37	326
PCT7604	ED	954	265	0	0	0	23	242	28	214
PCT7604	MV	954	352	0	0	0	15	337	34	303
PCT7605	ED	648	120	0	0	0	11	109	7	102
PCT7605	MV	648	203	0	0	1	12	190	24	166
PCT7606	ED	924	204	0	0	1	21	182	28	154
PCT7606	MV	924	330	0	0	0	15	315	39	276
PCT7607	ED	960	215	0	0	1	14	200	19	181
PCT7607	MV	960	407	0	0	0	20	387	47	340
PCT7608	ED	392	70	0	0	0	2	68	8	60
PCT7608	MV	392	136	0	0	0	9	127	22	105
PCT7609	ED	926	120	0	0	0	19	101	14	87
PCT7609	MV	926	352	0	0	0	52	300	35	265
PCT7611	ED	755	126	0	0	0	21	105	19	86
PCT7611	MV	755	269	0	0	0	47	222	24	198
PCT7612	ED	583	97	0	0	1	8	88	17	71
PCT7612	MV	583	265	0	0	0	23	242	34	208
PCT7613	ED	908	202	0	0	0	21	181	14	167
PCT7613	MV	908	340	0	0	0	23	317	42	275
PCT7614	ED	1029	223	0	0	0	21	202	19	183
PCT7614	MV	1029	375	0	0	0	16	359	45	314
PCT7615	ED	762	162	0	0	1	28	133	23	110
PCT7615	MV	762	237	0	0	0	24	213	29	184
PCT7616	ED	1203	322	0	0	0	21	301	37	264
PCT7616	MV	1203	686	0	0	0	18	668	56	612
PCT7617	ED	768	102	0	0	1	11	90	15	75
PCT7617	MV	768	261	0	0	0	22	239	48	191
PCT7618	ED	862	168	0	0	0	10	158	15	143
PCT7618	MV	862	407	0	0	0	18	389	35	354
PCT7619	ED	1063	219	0	0	0	7	212	22	190
PCT7619	MV	1063	563	0	0	0	24	539	54	485
PCT7621	ED	1320	287	0	0	0	16	271	28	243
PCT7621	MV	1320	668	0	0	0	28	640	77	563
PCT7622	ED	988	170	0	0	0	20	150	14	136
PCT7622	MV	988	301	0	0	0	21	280	36	244
PCT7623	ED	746	182	0	0	0	17	165	17	148
PCT7623	MV	746	297	0	0	0	17	280	37	243
PCT7624	ED	859	142	0	0	0	8	134	15	119
PCT7624	MV	859	290	0	0	1	15	274	34	240
PCT7625	ED	822	66	0	0	0	8	58	16	42
PCT7625	MV	822	475	0	0	1	68	406	65	341
PCT7626	ED	1114	224	0	0	0	11	213	22	191
PCT7626	MV	1114	612	0	0	0	19	593	75	518
PCT7627	ED	1187	266	0	0	0	17	249	34	215
PCT7627	MV	1187	582	0	0	0	31	551	129	422
PCT7628	ED	960	239	0	0	0	10	229	25	204
PCT7628	MV	960	428	0	0	0	20	408	31	377
PCT7629	ED	809	208	0	0	0	14	194	14	180
PCT7629	MV	809	343	0	0	0	23	320	36	284
PCT7631	ED	1155	266	0	0	0	21	245	31	214
PCT7631	MV	1155	576	0	0	1	32	543	59	484
PCT7632	ED	1124	288	0	0	0	21	267	31	236
PCT7632	MV	1124	561	0	0	0	22	539	46	493
PCT7633	ED	741	137	0	0	1	8	128	17	111
PCT7633	MV	741	392	0	0	0	33	359	44	315
PCT7634	ED	900	194	0	0	0	20	174	28	146
PCT7634	MV	900	421	0	0	0	18	403	61	342
PCT7635	ED	840	157	0	0	0	15	142	14	128
PCT7635	MV	840	382	0	0	0	13	369	36	333
PCT7636	ED	938	246	0	0	0	12	234	34	200
PCT7636	MV	938	465	0	0	0	16	449	60	389
PCT7637	ED	809	193	0	0	0	6	187	41	146
PCT7637	MV	809	404	0	0	0	15	389	50	339
PCT7638	ED	1467	294	0	0	0	12	282	48	234
PCT7638	MV	1467	871	1	0	0	32	838	154	684
PCT7639	ED	1011	241	0	0	1	13	227	37	190
PCT7639	MV	1011	559	0	0	0	26	533	73	460
PCT7641	ED	972	204	0	0	0	15	189	42	147
PCT7641	MV	972	549	0	0	2	25	522	92	430
PCT7642	ED	937	152	0	0	0	5	147	18	129
PCT7642	MV	937	394	0	0	0	42	352	46	306
PCT7643	ED	920	168	0	0	0	13	155	20	135
PCT7643	MV	920	507	0	0	1	23	483	59	424
PCT7644	ED	1175	329	0	0	0	17	312	35	277
PCT7644	MV	1175	554	0	0	0	22	532	50	482
PCT7645	ED	640	120	0	0	0	7	113	19	94
PCT7645	MV	640	377	0	0	0	14	363	67	296
PCT7646	ED	1100	262	0	0	0	15	247	30	217
PCT7646	MV	1100	591	0	0	0	25	566	62	504
PCT7647	ED	1075	205	0	0	0	12	193	19	174
PCT7647	MV	1075	283	0	0	0	17	266	24	242
PCT7648	MV	1	0	0	0	0	0	0	0	0
PCT7649	ED	891	175	0	0	0	10	165	12	153
PCT7649	MV	891	395	0	0	0	21	374	57	317
PCT7651	ED	677	165	1	0	0	8	156	23	133
PCT7651	MV	677	351	0	0	0	20	331	42	289
PCT7652	ED	628	135	0	0	0	4	131	16	115
PCT7652	MV	628	301	0	0	1	20	280	29	251
PCT7653	ED	1280	299	0	0	0	24	275	26	249
PCT7653	MV	1280	673	0	0	0	32	641	71	570
PCT7701	ED	1064	295	0	0	0	12	283	27	256
PCT7701	MV	1064	597	0	0	0	24	573	55	518
PCT7702	ED	748	179	0	0	0	10	169	18	151
PCT7702	MV	748	415	0	0	0	21	394	58	336
PCT7703	MV	171	79	0	0	1	11	67	10	57
PCT7704	ED	1008	257	0	0	0	13	244	39	205
PCT7704	MV	1008	557	0	0	0	25	532	76	456
PCT7705	ED	568	149	0	0	0	8	141	15	126
PCT7705	MV	568	335	0	0	0	11	324	53	271
PCT7706	ED	840	252	0	0	0	11	241	32	209
PCT7706	MV	840	467	0	0	0	15	452	78	374
PCT7707	ED	857	240	1	0	0	6	233	28	205
PCT7707	MV	857	495	0	0	0	19	476	47	429
