area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	095:DAVID CHIU	096:ALEJANDRO FERNANDEZ
PCT7336	MV	955	0	0	0	0	0	0	0
PCT7337	ED	851	0	0	0	0	0	0	0
PCT7337	MV	851	0	0	0	0	0	0	0
PCT7338	ED	915	0	0	0	0	0	0	0
PCT7338	MV	915	0	0	0	0	0	0	0
PCT7339	ED	669	0	0	0	0	0	0	0
PCT7339	MV	669	0	0	0	0	0	0	0
PCT7341	ED	908	0	0	0	0	0	0	0
PCT7341	MV	908	0	0	0	0	0	0	0
PCT7342	ED	947	0	0	0	0	0	0	0
PCT7342	MV	947	0	0	0	0	0	0	0
PCT7343	ED	731	0	0	0	0	0	0	0
PCT7343	MV	731	0	0	0	0	0	0	0
PCT7344	ED	1110	0	0	0	0	0	0	0
PCT7344	MV	1110	0	0	0	0	0	0	0
PCT7345	ED	1141	0	0	0	0	0	0	0
PCT7345	MV	1141	0	0	0	0	0	0	0
PCT7346	ED	920	0	0	0	0	0	0	0
PCT7346	MV	920	0	0	0	0	0	0	0
PCT7347	ED	1040	0	0	0	0	0	0	0
PCT7347	MV	1040	0	0	0	0	0	0	0
PCT7348	ED	861	0	0	0	0	0	0	0
PCT7348	MV	861	0	0	0	0	0	0	0
PCT7349	ED	957	0	0	0	0	0	0	0
PCT7349	MV	957	0	0	0	0	0	0	0
PCT7501	ED	565	0	0	0	0	0	0	0
PCT7501	MV	565	0	0	0	0	0	0	0
PCT7502	ED	784	0	0	0	0	0	0	0
PCT7502	MV	784	0	0	0	0	0	0	0
PCT7503	ED	764	0	0	0	0	0	0	0
PCT7503	MV	764	0	0	0	0	0	0	0
PCT7504	ED	503	0	0	0	0	0	0	0
PCT7504	MV	503	0	0	0	0	0	0	0
PCT7505	ED	869	0	0	0	0	0	0	0
PCT7505	MV	869	0	0	0	0	0	0	0
PCT7506	ED	999	0	0	0	0	0	0	0
PCT7506	MV	999	0	0	0	0	0	0	0
PCT7507	ED	955	0	0	0	0	0	0	0
PCT7507	MV	955	0	0	0	0	0	0	0
PCT7508	ED	727	0	0	0	0	0	0	0
PCT7508	MV	727	0	0	0	0	0	0	0
PCT7509	ED	932	0	0	0	0	0	0	0
PCT7509	MV	932	0	0	0	0	0	0	0
PCT7512	ED	612	0	0	0	0	0	0	0
PCT7512	MV	612	0	0	0	0	0	0	0
PCT7513	ED	818	0	0	0	0	0	0	0
PCT7513	MV	818	0	0	0	0	0	0	0
PCT7514	ED	874	0	0	0	0	0	0	0
PCT7514	MV	874	0	0	0	0	0	0	0
PCT7515	ED	869	0	0	0	0	0	0	0
PCT7515	MV	869	0	0	0	0	0	0	0
PCT7516	ED	922	0	0	0	0	0	0	0
PCT7516	MV	922	0	0	0	0	0	0	0
PCT7517	ED	863	0	0	0	0	0	0	0
PCT7517	MV	863	0	0	0	0	0	0	0
PCT7518	ED	950	0	0	0	0	0	0	0
PCT7518	MV	950	0	0	0	0	0	0	0
PCT7519	ED	737	0	0	0	0	0	0	0
PCT7519	MV	737	0	0	0	0	0	0	0
PCT7521	ED	812	0	0	0	0	0	0	0
PCT7521	MV	812	0	0	0	0	0	0	0
PCT7522	ED	764	0	0	0	0	0	0	0
PCT7522	MV	764	0	0	0	0	0	0	0
PCT7523	ED	747	0	0	0	0	0	0	0
PCT7523	MV	747	0	0	0	0	0	0	0
PCT7524	ED	615	0	0	0	0	0	0	0
PCT7524	MV	615	0	0	0	0	0	0	0
PCT7525	ED	800	0	0	0	0	0	0	0
PCT7525	MV	800	0	0	0	0	0	0	0
PCT7526	ED	1011	0	0	0	0	0	0	0
PCT7526	MV	1011	0	0	0	0	0	0	0
PCT7527	ED	725	0	0	0	0	0	0	0
PCT7527	MV	725	0	0	0	0	0	0	0
PCT7529	ED	948	0	0	0	0	0	0	0
PCT7529	MV	948	0	0	0	0	0	0	0
PCT7531	ED	865	0	0	0	0	0	0	0
PCT7531	MV	865	0	0	0	0	0	0	0
PCT7532	ED	852	0	0	0	0	0	0	0
PCT7532	MV	852	0	0	0	0	0	0	0
PCT7533	ED	1015	0	0	0	0	0	0	0
PCT7533	MV	1015	0	0	0	0	0	0	0
PCT7534	ED	936	0	0	0	0	0	0	0
PCT7534	MV	936	0	0	0	0	0	0	0
PCT7535	ED	767	0	0	0	0	0	0	0
PCT7535	MV	767	0	0	0	0	0	0	0
PCT7536	ED	863	0	0	0	0	0	0	0
PCT7536	MV	863	0	0	0	0	0	0	0
PCT7537	ED	752	0	0	0	0	0	0	0
PCT7537	MV	752	0	0	0	0	0	0	0
PCT7538	ED	771	0	0	0	0	0	0	0
