ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2020PRI   	603	9222 - 2320 Green St		St Vincent De Paul School	2320 Green St	Btw Pierce & Steiner Sts	4.3% slope	9222   	Pct 9222	9222   		6  
2020PRI   	619	9224 - 1801 Green Street		Golden Gate Valley Library - Program Rm	1801 Green St	Enter Thru Iron Gate Btw Octavia & Laguna Sts	3% Slope at entrance	9224   	Pct 9224	9224   		6  
2020PRI   	627	9219 - 1570 Greenwich St		Garage	1570 Greenwich St	Enter Off Franklin At Greenwich Sts	3.9% slope	9219   	Pct 9219	9219   		6  
2020PRI   	630	9225 - 1651 Union St		Sherman School - Library	1651 Union St	Btw Franklin & Gough Sts	8.3% Slope - Ramped Access	9225   	Pct 9225	9225   		6  
2020PRI   	638	9247 - 2150 California St		Firehouse #38	2150 California St	Between Buchanan & Laguna Streets	8.2% Slope	9247   	Pct 9247	9247   		6  
2020PRI   	646	7207 - 1880 Pine St		1880 Pine St Apartments - 2nd Level Community Rm	1880 Pine St	Btw Octavia & Gough Streets	1.9% Slope	7207   	Pct 7207	7207   		3  
2020PRI   	647	7505 -  1501 Post St		The Sequoias - Auditorium	1501 Post St	Between Laguna & Octavia	8.3% Slope Ramped Access	7505   	Pct 7505	7505   		2  
2020PRI   	650	7509/11 - 1031 Franklin St		Urban Life Center - Conference Room	1031 Franklin St	Btw O'farrell & Ellis	8.2% Slope	7509   	Pct 7509/7511	7509   		2  
2020PRI   	650	7509/11 - 1031 Franklin St		Urban Life Center - Conference Room	1031 Franklin St	Btw O'farrell & Ellis	8.2% Slope	7509   	Pct 7509/7511	7511   		2  
2020PRI   	652	7201 - 1150 Francisco Street		Galileo High School - Room 210	1150 Francisco St	Between Van Ness Ave & Polk St	8% Slope	7201   	Pct 7201	7201   		3  
2020PRI   	653	7204 - 2637 Larkin St		Garage	2637 Larkin St	Btw Chestnut & Lombard	4.8% Slope	7204   	Pct 7204	7204   		3  
2020PRI   	654	7202 - 2454 Hyde St		Norwegian Seaman's Church - Garage	2454 Hyde St	Btw Francisco & Chestnut Sts	8% Slope	7202   	Pct 7202	7202   		3  
2020PRI   	663	7304 - 2190 Powell St		Francisco Middle School - Auditorium	2190 Powell St	Enter Schoolyard From Francisco Btw Powell & Stockton	2.7% Slope	7304   	Pct 7304	7304   		2  
2020PRI   	665	7307 - 651 Lombard Street		Joe Dimaggio North Beach Playground	651 Lombard St	Btw Mason & Powell	4% Slope	7307   	Pct 7307	7307   		2  
2020PRI   	671	7331 - 155 Jackson Street		Golden Gateway Ctr - Lobby	155 Jackson St	Enter Off Front St At The Corner Of Jackson	2.8% Slope	7331   	Pct 7331	7331   		2  
2020PRI   	676	7318 - 2041 Larkin Street		The Church For The Fellowship Of All Peoples	2041 Larkin St	Between Broadway & Vallejo	3.2% Slope	7318   	Pct 7318	7318   		2  
2020PRI   	685	7333 - 1325 Leavenworth Street		Firehouse #41	1325 Leavenworth St	Btw Washington & Clay	1.9% Slope	7333   	Pct 7333	7333   		2  
2020PRI   	693	7306 - 756 Union St		San Francisco Evangelical Free Church	756 Union St	Btw Powell & Mason	6.2% Slope	7306   	Pct 7306	7306   		2  
2020PRI   	700	7314 - 1450 Powell Street		Salvation Army - Lobby	1450 Powell Street	Btw Broadway & Vallejo	2.5% Slope	7314   	Pct 7314	7314   		2  
2020PRI   	703	7317 - 350 Broadway Street		John Yehall Chin Elementary School - Library	350 Broadway St	Btw Sansome & Montgomery	8.3% Slope - Ramped Access	7317   	Pct 7317	7317   		2  
2020PRI   	705	7327 - 950 Clay St		Gordon J. Lau Elementary School -  Auditorium Lobby	950 Clay St	Btw Stockton & Powell	3.1% Slope At Entrance	7327   	Pct 7327	7327   		2  
2020PRI   	707	7338 - 777 Stockton Street		Gun Mun Center - Conference Room	777 Stockton St	Corner Sacramento & Stockton St.	3.6% slope	7338   	Pct 7338	7338   		2  
2020PRI   	711	7341 - 1421 Pine Street		Redding Elementary School - Music Room	1421 Pine St	Btw Polk & Larkin	2.5% Slope	7341   	Pct 7341	7341   		2  
2020PRI   	712	7601 - 1067 Post St		Firehouse #3	1067 Post St	Btw Polk & Larkin	3.8% Slope	7601   	Pct 7601	7601   		3  
2020PRI   	726	7602 - 666 Ellis St		Ellis Gardens - Social Room	666 Ellis St	Btw Larkin & Hyde	4.9% Slope	7602   	Pct 7602	7602   		3  
2020PRI   	727	7613 - 378 Golden Gate Ave		Hampton Court	378 Golden Gate Ave	Between Hyde & Larkin	1.2% Slope	7613   	Pct 7613	7613   		3  
2020PRI   	735	7342 - 1040 Bush Street		Mary Elizabeth Inn - Dining Hall	1040 Bush St	Btw Leavenworth & Jones	1.7% Slope	7342   	Pct 7342	7342   		2  
2020PRI   	736	7344 - 1001 Pine St		1001 Pine Street Apartments	1001 Pine St	Btw Jones & Taylor	5.9% Slope	7344   	Pct 7344	7344   		2  
2020PRI   	743	7611 - 174 Ellis St		The Maria Manors	174 Ellis St	Btw Cyril Magnin & Mason	1.7% Slope	7611   	Pct 7611	7611   		3  
2020PRI   	750	7608 - 380 Eddy Street		Cadillac Hotel	380 Eddy St	Btw Jones & Leavenworth	3.3% Slope	7608   	Pct 7608	7608   		3  
2020PRI   	767	9254 - 2725 California St		William Cobb E. S. - Main Hallway	2725 California St	Enter Playground Between Scott St & Divisadero St	7.8% Slope - Ramped Access	9254   	Pct 9254	9254   		6  
2020PRI   	770	7504 - 1975 Post St		Jones Memorial Methodist Church - Multi Purpose Rm	1975 Post St	Entrance On Post At Boswell	7.9% Slope - Ramped Access	7504   	Pct 7504	7504   		2  
2020PRI   	773	7507 - 1501 O'Farrell St		Rosa Parks Elementary School - Auditorium	1501 O'farrell St	Btw Webster & Hollis	6.2% Slope - Ramped Access	7507   	Pct 7507	7507   		2  
2020PRI   	775	9511 - 1750 Mcallister St		Rachel Townsend Apts - Community Rm	1750 Mcallister St	Between Baker & Broderick	8.2% Slope - Ramped Access	9511   	Pct 9511	9511   		5  
2020PRI   	776	9508 - 1601 Turk St		School - Creative Arts Charter - Library	1601 Turk St	Between Scott & Pierce Streets	3.1% Slope	9508   	Pct 9508	9508   		5  
2020PRI   	779	9505 - 1680 Eddy St		M L K - M G Square Apts - Community Room	1680 Eddy St	Enter Between Pierce & Steiner - Gate Closest To Pierce	8.3% Slope - Ramped Access	9505   	Pct 9505	9505   		5  
2020PRI   	781	7516 - 601 Van Ness Ave		Opera Plaza - 2nd Fl Mezzanine - Community Rm	601 Van Ness Ave	Btw Turk St & Golden Gate	8.3% Slope - Ramped Access	7516   	Pct 7516	7516   		2  
2020PRI   	784	9513 - 1399 Mc Allister St		Church - Third Baptist Church	1399 Mc Allister St	Enter Mcallister St Near Pierce St	Exceeds 8.3% Running Slope, 2% Cross Slope. Curbside Voting Avail	9513   	Pct 9513	9513   		5  
2020PRI   	791	7515 - 460 Fulton St		Neighborhood Network Center	460 Fulton St	Enter Off Fulton At Octavia	5% Slope	7515   	Pct 7515	7515   		2  
